localdatetime,datetime_issue,CAPITAL,GENESE,HUDVL,LONGIL,MHKVL,NYC,NORTH,WEST
2018-12-31T20:00:00.0,2018-12-30T18:00:00.0,0,0,0,0,0,0,0,0
2018-12-31T21:00:00.0,2018-12-30T18:00:00.0,0,0,0,0,0,0,0,0
2018-12-31T22:00:00.0,2018-12-30T18:00:00.0,0,0,0,0,0,0,0,0
2018-12-31T23:00:00.0,2018-12-30T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.0,2018-12-30T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T01:00:00.0,2018-12-30T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T02:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T03:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T04:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T05:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T06:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T07:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T08:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T09:00:00.0,2018-12-31T18:00:00.0,13.55628437,2.13473333,12.44659997,47.03514958,3.675339218,1.461019572,0.181784315,2.451417634
2019-01-01T10:00:00.0,2018-12-31T18:00:00.0,34.55240989,6.857248982,26.16543323,92.55197202,9.180762732,2.695342939,0.709325495,9.092345086
2019-01-01T11:00:00.0,2018-12-31T18:00:00.0,42.64287655,11.71295484,27.19204522,106.5483429,8.784045104,2.6981998,1.094480397,12.16082935
2019-01-01T12:00:00.0,2018-12-31T18:00:00.0,35.25941967,11.73030967,19.69859221,111.0780346,6.761064694,2.684201766,1.389980397,9.611954857
2019-01-01T13:00:00.0,2018-12-31T18:00:00.0,25.53864711,8.144621527,12.83669013,102.5162967,5.734947058,2.624560605,1.599366683,6.969423481
2019-01-01T14:00:00.0,2018-12-31T18:00:00.0,18.52599809,5.096323488,9.858194388,67.17634484,5.120031372,2.292815586,1.398262744,8.00060579
2019-01-01T15:00:00.0,2018-12-31T18:00:00.0,11.11826474,3.759227434,6.573931381,43.42607448,3.176125485,1.815082309,0.809380398,7.851327406
2019-01-01T16:00:00.0,2018-12-31T18:00:00.0,4.408205901,3.259535267,3.57105686,14.13353153,1.553441175,0.87251959,0.392613725,10.03817443
2019-01-01T17:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0.05465294
2019-01-01T18:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T19:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T20:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T21:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T22:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-01T23:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T00:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T01:00:00.0,2018-12-31T18:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T02:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T03:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T04:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T05:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T06:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T07:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T08:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T09:00:00.0,2019-01-01T00:00:00.0,22.21277841,4.651272515,10.9507588,38.82844612,11.96038034,0.868078416,1.724037271,4.993433313
2019-01-02T10:00:00.0,2019-01-01T00:00:00.0,47.89963334,13.73686652,24.10546071,78.42526164,29.85440183,1.879290157,4.340970599,15.87697243
2019-01-02T11:00:00.0,2019-01-01T00:00:00.0,58.00983359,19.92380964,26.84620262,84.24033678,37.63435703,2.152747025,5.9994002,22.70520577
2019-01-02T12:00:00.0,2019-01-01T00:00:00.0,58.05526484,21.60506823,29.31333794,91.29266173,39.02963558,2.365433246,5.9994002,24.98324889
2019-01-02T13:00:00.0,2019-01-01T00:00:00.0,57.96073939,21.85803882,29.39137847,90.81665954,39.04030618,2.370097953,5.9994002,25.37294896
2019-01-02T14:00:00.0,2019-01-01T00:00:00.0,47.77043532,16.61058219,22.8021607,64.51747894,32.88590386,1.785447013,5.9994002,14.07415676
2019-01-02T15:00:00.0,2019-01-01T00:00:00.0,37.93548832,13.93770971,18.28602744,50.66284592,25.71991169,1.395905855,4.40826082,11.70342935
2019-01-02T16:00:00.0,2019-01-01T00:00:00.0,18.91844708,8.180937204,9.591671789,26.89520938,12.76928428,0.79867645,1.82325884,7.039131335
2019-01-02T17:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T18:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T19:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T20:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T21:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T22:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-02T23:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T00:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T01:00:00.0,2019-01-01T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T02:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T03:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T04:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T05:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T06:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T07:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T08:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T09:00:00.0,2019-01-02T00:00:00.0,3.309101971,2.218272539,4.73078431,5.201610748,1.942080392,0.369954898,0.207339213,1.217174504
2019-01-03T10:00:00.0,2019-01-02T00:00:00.0,8.785551024,7.042792137,10.8659941,10.76507392,5.659898036,0.748576454,0.544111765,4.334013695
2019-01-03T11:00:00.0,2019-01-02T00:00:00.0,30.83638241,6.255762708,27.35984905,67.95701787,10.21513919,1.874786229,4.834005908,6.699905828
2019-01-03T12:00:00.0,2019-01-02T00:00:00.0,34.15562356,7.60374309,29.56881184,75.62857928,12.16268816,2.097796024,5.522821671,8.090039153
2019-01-03T13:00:00.0,2019-01-02T00:00:00.0,34.35469026,7.946115619,29.70129809,75.68832165,12.38220779,2.112841113,5.547011873,8.503548984
2019-01-03T14:00:00.0,2019-01-02T00:00:00.0,20.28965886,8.208435217,29.08307272,95.15079364,8.549641162,2.572072422,2.08991177,8.538872504
2019-01-03T15:00:00.0,2019-01-02T00:00:00.0,15.01814706,6.489656816,24.27916072,77.73401389,6.121421579,2.201499934,1.383041184,6.691609759
2019-01-03T16:00:00.0,2019-01-02T00:00:00.0,7.541796089,3.713511736,12.00470978,37.03873379,3.108205878,1.177788209,0.622780395,3.8874686
2019-01-03T17:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0.141760782
2019-01-03T18:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T19:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T20:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T21:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T22:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-03T23:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T00:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T01:00:00.0,2019-01-02T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T02:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T03:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T04:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T05:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T06:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T07:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T08:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T09:00:00.0,2019-01-03T00:00:00.0,19.40161179,6.336927447,11.95796665,43.89013288,9.483866685,1.143113694,0.811662751,6.37503327
2019-01-04T10:00:00.0,2019-01-03T00:00:00.0,43.10758252,18.90701158,26.19151958,86.65875318,24.2781294,2.46586661,2.257190195,20.8718489
2019-01-04T11:00:00.0,2019-01-03T00:00:00.0,55.03962944,24.52203311,28.90632813,92.64582074,32.14466078,2.607286161,3.97064511,28.11313502
2019-01-04T12:00:00.0,2019-01-03T00:00:00.0,56.47401985,25.43043648,31.29226943,99.78167782,35.14107467,2.68543315,4.5703922,30.10483728
2019-01-04T13:00:00.0,2019-01-03T00:00:00.0,56.45427866,25.31554433,31.37694077,99.89409899,35.34220405,2.686737076,4.584111782,30.22284121
2019-01-04T14:00:00.0,2019-01-03T00:00:00.0,54.51271967,25.44031503,24.29355876,73.21315147,32.64017836,2.015470555,4.37824512,29.4946392
2019-01-04T15:00:00.0,2019-01-03T00:00:00.0,44.072406,22.39870759,19.51119998,57.35881761,25.93220192,1.561774475,2.970666676,26.15069396
2019-01-04T16:00:00.0,2019-01-03T00:00:00.0,21.22544508,12.74257637,10.14610829,29.43779943,12.90054705,0.91410194,1.228215691,15.33922339
2019-01-04T17:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0.191798037
2019-01-04T18:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T19:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T20:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
2019-01-04T21:00:00.0,2019-01-03T00:00:00.0,0,0,0,0,0,0,0,0
