Operator,   Station        Unit,Zone,PTID,Town,Cnty,St,In-Service,Name Plate Rating (MW),CRIS_Summer,CRIS_Winter,Capability_Summer,Capability_Winter,Dual,Unit_Type,Fuel_1,Fuel_2,Net Energy (GWh)
Jamestown Board of Public Utilities,Jamestown 5,A,1658,Jamestown,13,36,1951-08-01,28.7,23,23,21.9,21.1,YES,ST,NG,FO2,1.7
Jamestown Board of Public Utilities,Jamestown 6,A,1658,Jamestown,13,36,1968-08-01,25,22.4,22.4,19.1,18.3,YES,ST,NG,FO2,8.9
Jamestown Board of Public Utilities,Jamestown 7,A,1659,Jamestown,13,36,2002-01-01,47.3,40,40,39.8,45.7,,GT,NG,,41.9
New York Power Authority,Lewiston PS (Fleet),A,23760,Niagara Falls,63,36,1961-01-01,240,240,240,240,240,,PS,WAT,,-226.2
New York Power Authority,Moses Niagara (Fleet),A,23760,Niagara Falls,63,36,1961-01-01,"2,860.00","2,460.00","2,460.00","2,435.00","2,435.00",,HY,WAT,,"15,767.30"
Indeck-Yerkes LP,Indeck-Yerkes,A,23781,Tonawanda,29,36,1990-02-01,59.9,49.7,60.5,43.8,56.5,YES,CC,NG,FO2,30.8
Erie Blvd. Hydro - NYS Barge,Hydraulic Race,A,23848,Lockport,63,36,1942-01-01,4.7,3.1,3.1,4.7,4.7,,HY,WAT,,7.4
Indeck-Olean LP,Indeck-Olean,A,23982,Olean,9,36,1993-12-01,90.6,79.4,88.5,77.5,85.7,YES,CC,NG,FO2,35.2
"Covanta Niagara, LP",American Ref-Fuel 1,A,24010,Niagara,63,36,1993-05-01,25,19.6,19.6,18.8,17.9,,ST,REF,,245.3
"Covanta Niagara, LP",American Ref-Fuel 2,A,24010,Niagara,63,36,1993-05-01,25,19.6,19.6,18.8,17.9,,ST,REF,,
Model City Energy LLC,Model City Energy,A,24167,Lewiston,63,36,2001-06-01,5.6,5.6,5.6,5.6,5.6,,IC,MTE,,28.6
"Modern Innovative Energy, LLC",Modern LF,A,323580,Lewiston,63,36,2006-02-01,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,33.7
"Niagara Wind Power, LLC",Steel Wind,A,323596,Lackawanna,29,36,2007-01-23,20,0,0,0,0,,WT,WND,,59.7
"WM Renewable Energy,LLC",Chaffee,A,323603,Chaffee,29,36,2007-08-09,6.4,6.4,6.4,6.4,6.4,,IC,MTE,,40
"Valcour Bliss Windpark, LLC",Bliss Wind Power,A,323608,Bliss,121,36,2008-03-20,100.5,100.5,100.5,100.5,100.5,,WT,WND,,169.8
