NYISO Name,PTID,Zone,Facility Name,Facility ID,Unit ID,Unit Type,Fuel Type, Operating Time, Gross Load (MWh), Heat Input (MMBtu), Facility Latitude, Facility Longitude, Max Hourly HI Rate (MMBtu/hr),Name Plate Rating (MW),2018 Net Energy (GWh),2019 CRIS Summer (MW),2019 CRIS Winter (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Combined
Indeck-Yerkes,23781,A,Indeck-Yerkes Energy Center,50451,1,Combined Cycle,Natural Gas,698.25,26932.5,260800.5,42.9671,-78.9182,627,59.9,60.5,49.7,60.5,48,55.7,0
Lockport,23791,A,Lockport,54041,11854,Combined Cycle,Natural Gas,1311.51,49182.66,643046.904,43.1622,-78.7453,1325,221.3,444.9,225.2,261.7,210.8,230.8,1
Lockport,23791,A,Lockport,54041,11855,Combined Cycle,Natural Gas,1383.67,51092.53,643178.948,43.1622,-78.7453,470,221.3,444.9,225.2,261.7,210.8,230.8,1
Lockport,23791,A,Lockport,54041,11856,Combined Cycle,Natural Gas,1309.92,48433.48,631977.764,43.1622,-78.7453,488,221.3,444.9,225.2,261.7,210.8,230.8,1
Indeck-Olean,23982,A,Indeck-Olean Energy Center,54076,1,Combined Cycle,Natural Gas,1927.25,120542,1047455.95,42.0875,-78.4578,3100,90.6,126.8,79.4,88.5,76.8,88,0
Fortistar - N.Tonawanda,24026,A,Fortistar North Tonawanda Inc,54131,NTCT1,Combined Cycle,Natural Gas,333.68,13305.53,155575.425,43.0483,-78.8539,3100,68.5,24.1,59,75,59.1,68.5,0
Allegany,23514,B,Allegany Station No. 133,10619,1,Combined Cycle,Natural Gas,386.8,17538.83,142364.471,42.5083,-78.0661,718,67,35.7,62.9,82.2,61.4,63.4,0
Batavia,24024,B,Batavia Energy,54593,1,Combined Cycle,Natural Gas,192.19,7047.99,85591.613,42.9828,-78.1592,1676,67.3,35.3,57.1,71.7,48.8,60.1,0
Indeck-Silver Springs,23768,C,Indeck-Silver Springs Energy Center,50449,1,Combined Cycle,Natural Gas,1084.5,44569.5,420542.725,42.6544,-78.0772,570,56.6,78.3,51.5,66.1,49.5,63.9,0
Indeck-Oswego,23783,C,Indeck-Oswego Energy Center,50450,1,Combined Cycle,Natural Gas,586.75,25770,232865.925,43.4682,-76.4965,850,57.4,63.9,51.6,66.7,49.8,60,0
Independence,23970,C,Independence,54547,1,Combined Cycle,Natural Gas,5957.8,1377612.86,9697750.41,43.495,-76.4508,812,1254,4912.1,956.4,1130.9,988,1130.9,1
Independence,23970,C,Independence,54547,2,Combined Cycle,Natural Gas,5669.01,1272722.7,8993427.717,43.495,-76.4508,800,1254,4912.1,956.4,1130.9,988,1130.9,1
Independence,23970,C,Independence,54547,3,Combined Cycle,Natural Gas,5696.89,1259071.31,8722408.117,43.495,-76.4508,2156,1254,4912.1,956.4,1130.9,988,1130.9,1
Independence,23970,C,Independence,54547,4,Combined Cycle,Natural Gas,5639.2,1228221.89,8630472.213,43.495,-76.4508,536,1254,4912.1,956.4,1130.9,988,1130.9,1
Syracuse,23985,C,"Syracuse, LLC",10621,1,Combined Cycle,Natural Gas,273.32,15092.83,124672.024,43.0667,-76.2246,416,102.7,32.5,86.8,107.3,85.3,98.9,0
Carr St.-E. Syr,24060,C,Carr Street Generating Station,50978,A,Combined Cycle,Natural Gas,710.69,19721.46,243712.585,43.0611,-76.0819,1531,122.6,150.5,89,116.8,93.2,106.1,1
Carr St.-E. Syr,24060,C,Carr Street Generating Station,50978,B,Combined Cycle,Natural Gas,706.09,19578.08,247726.848,43.0611,-76.0819,789,122.6,150.5,89,116.8,93.2,106.1,1
Saranac Energy,23793,D,"Saranac Power Partners, LP",54574,1,Combined Cycle,Natural Gas,686.88,72748.62,658762.979,44.7132,-73.4557,583,285.6,70.8,253.7,298.4,249.8,276.2,1
Saranac Energy,23793,D,"Saranac Power Partners, LP",54574,2,Combined Cycle,Natural Gas,112.06,12395.39,111039.749,44.7132,-73.4557,551,285.6,70.8,253.7,298.4,249.8,276.2,1
Massena,23902,D,Massena Energy Facility,54592,1,Combined Cycle,Natural Gas,23.41,956.03,13519.895,44.9503,-74.8928,585,102.1,1.7,82.2,107.9,81.2,92.3,0
Sterling,23777,E,Sterling Power Plant,50744,1,Combined Cycle,Natural Gas,162.46,5512.7,63452.529,43.0803,-75.6003,551,65.3,26.2,57.4,72.1,50.9,62.5,0
Carthage Energy,23857,E,Carthage Energy,10620,1,Combined Cycle,Natural Gas,78.08,3207.75,29396.529,43.9842,-75.6225,628,62.9,19.9,59,70.6,56.3,64.5,0
Beaver Falls,23983,E,"Beaver Falls, LLC",10617,1,Combined Cycle,Natural Gas,33,2166.1,18357.198,43.8861,-75.4342,2133,107.8,10.8,80.2,94.9,81.3,91.7,0
Athens 1,23668,F,Athens Generating Company,55405,1,Combined Cycle,Natural Gas,3854.4,1175512.28,8092731.939,42.2728,-73.8492,3165,441,1450.1,316.6,399.9,331,395.1,0
Athens 2,23670,F,Athens Generating Company,55405,2,Combined Cycle,Natural Gas,2042.53,594985.43,4165772.261,42.2728,-73.8492,3165,441,879.8,315.6,398.6,328.8,399,0
Athens 3,23677,F,Athens Generating Company,55405,3,Combined Cycle,Natural Gas,3933.51,1218293.56,8701527.559,42.2728,-73.8492,554,441,1292.1,312.8,395.1,329,395,0
Rensselaer,23796,F,Rensselaer Cogen,54034,1GTDBS,Combined Cycle,Natural Gas,48.02,3466.1,30699.642,42.63,-73.75,2550,96.9,4.2,79,79,77,82.7,0
