region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,5.389357049506615e8,0.0,0.0,8.477112533375314e7,0.0,0.0,3.6910366899116196e7,2.323555579812441e8,0.0,3.8128618493352145e7,0.0,0.0,2.917579216683841e9,0.0,0.0,0.0,0.0,0.0,1.9864778430257242e9,0.0,2.917579216683841e9,2.9175792166838512e9,-1.0013580322265625e-5
CT,CT_natural_gas_combined_cycle,2,1,2,1.375537444704799e8,0.0,0.0,2.0397495624995627e7,0.0,0.0,1.2292373002261149e7,5.487742157669448e7,0.0,9.260406967753762e6,0.0,0.0,8.954110191132333e8,0.0,0.0,0.0,0.0,0.0,6.610295774710494e8,0.0,8.954110191132333e8,8.954110191132344e8,-1.0728836059570312e-6
ME,ME_natural_gas_combined_cycle,3,1,3,3.636413903008552e7,0.0,0.0,9.058229188671608e6,0.0,0.0,4.009261636995979e6,2.353840346849335e7,0.0,4.287180980730006e6,0.0,0.0,2.3394126862029597e8,0.0,0.0,0.0,0.0,0.0,1.5668405431531814e8,0.0,2.3394126862029597e8,2.3394126862029457e8,1.4007091522216797e-6
MA,MA_solar_pv,1,1,4,1.4406293791937993e9,0.0,0.0,3.1683712958588135e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757466508779681e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757466508779681e9,1.7574665087796807e9,2.384185791015625e-7
CT,CT_onshore_wind,2,1,5,1.4589342288849695e9,0.0,0.0,6.484902608948056e8,0.0,0.0,2.8229094211949534e6,0.0,0.0,0.0,0.0,0.0,2.1102473992009795e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1102473992009795e9,2.1102473992009702e9,9.298324584960938e-6
CT,CT_solar_pv,2,1,6,1.4280504607739482e9,0.0,0.0,3.140706523343408e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7421211131082888e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7421211131082888e9,1.742121113108289e9,-2.384185791015625e-7
ME,ME_onshore_wind,3,1,7,1.0384798401863396e9,0.0,0.0,4.616000153832387e8,0.0,0.0,2.3954704253085335e6,0.0,0.0,0.0,0.0,0.0,1.5024753259948883e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5024753259948883e9,1.5024753259948866e9,1.6689300537109375e-6
MA,MA_battery,1,0,8,4.297924053912959e7,2.5401230865910485e8,0.0,1.0742615524869246e7,6.34861384938867e7,0.0,793501.4440381258,0.0,937501.7060941939,0.0,1.4740111594622865e8,0.0,4.973246257053172e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.973246257053172e8,5.203524223133514e8,-2.3027796608034194e7
CT,CT_battery,2,0,9,1.1381509737206307e8,6.259500804241741e8,0.0,2.84479627060993e7,1.564457789697122e8,0.0,2.350760955468431e6,0.0,2.7773640778218564e6,0.0,6.399686889734077e8,0.0,1.4980585111253963e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4980585111253963e9,1.5697557334787464e9,-7.169722235335016e7
ME,ME_battery,3,0,10,3.553961377317121e7,1.3471271158796868e8,0.0,8.883088716282325e6,3.366919465402152e7,0.0,717663.6593934472,0.0,847901.2989052994,0.0,3.386643878747528e7,0.0,2.3692569120774508e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3692569120774508e8,2.4823661247721782e8,-1.1310921269472748e7
