Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,8240.607109337332,8240.607109337332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,2103.268264074616,2103.268264074616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,556.0265906740905,556.0265906740905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,16888.972792424378,16888.972792424378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,15009.611408281577,15009.611408281577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,16741.505987971257,16741.505987971257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,10683.94897311049,10683.94897311049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,2194.6099131499996,2194.6099131499996,0.0,0.0,0.0,11292.447259673907,11292.447259673907,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,5811.636916465639,5811.636916465639,0.0,0.0,0.0,27827.424220866633,27827.424220866633,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,1814.7270104764712,1814.7270104764712,0.0,0.0,0.0,5988.828647104503,5988.828647104503,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,80044.91496596584,80044.91496596584,n/a,0.0,0.0,45108.70012764505,45108.70012764505,0.0,0.0,0.0,0.0
