Zone,1,2,3,Total
CO2_Price_1,479.7448896113957,0.0,0.0,0.0
CO2_Price_2,0.0,504.1961856103104,0.0,0.0
CO2_Price_3,0.0,0.0,260.54498481084096,0.0
AnnualSum,4.14069620342348e6,1.3110562839163516e6,601370.448289665,6.053122935629497e6
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0
t90,1276.3605053559875,0.0,0.0,1276.3605053559875
t91,1403.8605155724458,0.0,0.0,1403.8605155724458
t92,1128.9091593469466,0.0,0.0,1128.9091593469466
t93,1403.8605155724458,0.0,0.0,1403.8605155724458
t94,1403.8605155724458,0.0,0.0,1403.8605155724458
t95,1403.8605155724458,0.0,0.0,1403.8605155724458
t96,1403.8605155724458,0.0,0.0,1403.8605155724458
t97,1371.6161322191267,0.0,0.0,1371.6161322191267
t98,682.3130950069351,0.0,0.0,682.3130950069351
t99,1403.8605155724458,0.0,0.0,1403.8605155724458
t100,1403.8605155724458,0.0,0.0,1403.8605155724458
t101,1262.2019603589865,0.0,0.0,1262.2019603589865
t102,1403.8605155724458,0.0,0.0,1403.8605155724458
t103,1403.8605155724458,0.0,0.0,1403.8605155724458
t104,1403.8605155724458,0.0,0.0,1403.8605155724458
t105,1403.8605155724458,0.0,0.0,1403.8605155724458
t106,657.0067212879047,0.0,0.0,657.0067212879047
t107,657.0067212879047,0.0,0.0,657.0067212879047
t108,657.0067212879047,0.0,0.0,657.0067212879047
t109,657.0067212879047,0.0,0.0,657.0067212879047
t110,657.0067212879047,0.0,0.0,657.0067212879047
t111,1403.8605155724458,0.0,0.0,1403.8605155724458
t112,1403.8605155724458,0.0,0.0,1403.8605155724458
t113,1403.8605155724458,0.0,0.0,1403.8605155724458
t114,1403.8605155724458,0.0,0.0,1403.8605155724458
t115,1403.8605155724458,0.0,0.0,1403.8605155724458
t116,1403.8605155724458,0.0,0.0,1403.8605155724458
t117,1403.8605155724458,0.0,0.0,1403.8605155724458
t118,1403.8605155724458,0.0,0.0,1403.8605155724458
t119,1226.122856214875,0.0,0.0,1226.122856214875
t120,756.0047967583275,0.0,0.0,756.0047967583275
t121,100.77798659016692,0.0,0.0,100.77798659016692
t122,100.77798659016692,0.0,0.0,100.77798659016692
t123,100.77798659016692,0.0,0.0,100.77798659016692
t124,100.77798659016692,0.0,0.0,100.77798659016692
t125,100.77798659016692,0.0,0.0,100.77798659016692
t126,100.77798659016692,0.0,0.0,100.77798659016692
t127,100.77798659016692,0.0,0.0,100.77798659016692
t128,161.0886559986207,0.0,0.0,161.0886559986207
t129,100.77798659016692,0.0,0.0,100.77798659016692
t130,171.73795205709357,0.0,0.0,171.73795205709357
t131,100.77798659016692,0.0,0.0,100.77798659016692
t132,141.24520239082412,0.0,0.0,141.24520239082412
t133,100.77798659016692,0.0,0.0,100.77798659016692
t134,100.77798659016692,0.0,0.0,100.77798659016692
t135,100.77798659016692,0.0,0.0,100.77798659016692
t136,100.77798659016692,0.0,0.0,100.77798659016692
t137,215.33757818411735,0.0,0.0,215.33757818411735
t138,215.33757818411735,0.0,0.0,215.33757818411735
t139,100.77798659016692,0.0,0.0,100.77798659016692
t140,100.77798659016692,0.0,0.0,100.77798659016692
t141,100.77798659016692,0.0,0.0,100.77798659016692
t142,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0
t155,0.0,0.0,0.0,0.0
t156,0.0,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0
t160,0.0,0.0,0.0,0.0
t161,0.0,0.0,0.0,0.0
t162,0.0,0.0,0.0,0.0
t163,0.0,0.0,0.0,0.0
t164,0.0,0.0,0.0,0.0
t165,0.0,0.0,0.0,0.0
t166,0.0,0.0,0.0,0.0
t167,0.0,0.0,0.0,0.0
t168,0.0,0.0,0.0,0.0
t169,0.0,0.0,0.0,0.0
t170,0.0,0.0,0.0,0.0
t171,0.0,0.0,0.0,0.0
t172,0.0,0.0,0.0,0.0
t173,0.0,0.0,0.0,0.0
t174,0.0,0.0,0.0,0.0
t175,0.0,0.0,0.0,0.0
t176,0.0,0.0,0.0,0.0
