Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.0397286450455267e7,3.443241737328053e6,890947.030443551,2.7311356017833054e7,2.822909421194953e7,2.7593660063290577e7,2.395470425308533e7,5.290009626920839e6,1.5671739703122873e7,4.784424395956315e6,1.4756646349038538e8
t1,-0.0,-0.0,-0.0,-0.0,9816.294566590768,-0.0,3419.580683523529,565.609913149999,2216.8222845124355,1814.7270104764712,17833.034458253205
t2,-0.0,-0.0,-0.0,-0.0,9615.640557747862,-0.0,7010.034704476471,422.10991314999944,2276.1492889338892,0.0,19323.93446430822
t3,-0.0,-0.0,-0.0,-0.0,9004.505343215511,-0.0,3800.638034598697,353.1099131499995,2561.7168962000637,1594.698334938887,17314.66852210316
t4,-0.0,-0.0,-0.0,-0.0,8872.996880690333,-0.0,0.0,2194.6099131499996,2619.4711274626534,1581.8602102625623,15268.938131565548
t5,-0.0,-0.0,-0.0,-0.0,7481.019837855582,-0.0,5960.8127858593,854.7052105432549,3322.9596488800285,0.0,17619.497483138166
t6,-0.0,-0.0,-0.0,-0.0,8091.794997876457,-0.0,3489.3178105022293,2194.6099131499996,3050.072068869592,0.0,16825.79479039828
t7,-0.0,-0.0,-0.0,-0.0,8974.046763006818,-0.0,2291.535216662057,2194.6099131499996,2666.44618630441,831.88092594632,16958.519005069604
t8,-0.0,-0.0,-0.0,-0.0,7872.833916094984,-0.0,1388.5251656823652,2071.0532350570875,3279.5526097603274,1663.76185189264,16275.726778487404
t9,-0.0,-0.0,-0.0,3673.3515823523026,0.0,3780.2320520839103,3175.7270104764716,1319.780274973848,5408.853541765865,0.0,17357.944461652398
t10,-0.0,-0.0,-0.0,6892.38979658839,0.0,7413.138851473674,1560.9651585838312,0.0,3532.2963302184507,831.88092594632,20230.671062810663
t11,-0.0,-0.0,-0.0,9479.780428387805,0.0,9271.446016138481,1232.290916086306,0.0,1385.8079909815763,1005.7180471950826,22375.043398789247
t12,-0.0,-0.0,-0.0,8988.311320128254,0.0,10207.296200866078,710.9240033797226,0.0,1165.1477615218603,1265.9015035483742,22337.580789444288
t13,-0.0,-0.0,-0.0,9591.247648817804,0.0,10143.678478111786,510.63808046383696,0.0,850.8656392262997,1362.044465006317,22458.474311626043
t14,-0.0,-0.0,-0.0,8861.644024185074,0.0,8603.459927218431,349.9936147190562,0.0,1939.304621373385,1436.8666978787076,21191.26888537466
t15,-0.0,-0.0,-0.0,7142.34659391627,0.0,7085.005334109437,634.6062267639182,1117.6805788065049,2417.113176544596,1292.5603918562765,19689.312301997004
t16,-0.0,-0.0,-0.0,5259.226127560952,2608.902271197928,6077.1666736335665,1546.251331669099,698.8430023695239,3005.4350953920725,838.2378394036859,20034.06234122683
t17,-0.0,-0.0,-0.0,1840.8980343742573,3903.1277638039373,3023.5159814276094,3904.469152575706,1006.0213553347919,3953.6476951920463,1367.7260823445613,18999.40606505291
t18,-0.0,-0.0,-0.0,-0.0,5451.57123629673,-0.0,6545.607215028241,1948.6099131499989,4794.183949659455,439.71374472411486,19179.686058858537
t19,-0.0,-0.0,-0.0,-0.0,11775.267425332842,-0.0,7426.034704476471,1950.6099131499996,1632.835855141399,0.0,22784.747898100715
t20,-0.0,-0.0,-0.0,-0.0,5343.296511208318,-0.0,5752.360342846698,1845.1099131499996,4818.82131220366,822.8371808148866,18582.425260223565
t21,-0.0,-0.0,-0.0,-0.0,9067.497534230688,-0.0,7341.03470447647,1637.609913149999,2897.7208006924757,0.0,20943.86295254963
t22,-0.0,-0.0,-0.0,-0.0,7913.168884601784,-0.0,3617.580683523529,1296.109913149999,3377.3851255069276,1814.7270104764712,18018.97161725871
t23,-0.0,-0.0,-0.0,-0.0,10294.903283798143,-0.0,4531.201669968084,2194.6099131499996,2077.0179259087477,0.0,19097.732792824976
t24,-0.0,-0.0,-0.0,-0.0,9284.701545871872,-0.0,5136.4854581517275,1458.8799999999999,2471.1187948718834,0.0,18351.18579889548
t25,-0.0,-0.0,-0.0,-0.0,10128.30653352897,-0.0,3510.644624550044,248.10991314999907,1970.3163010433348,1725.6950399632135,17583.072412235564
t26,-0.0,-0.0,-0.0,-0.0,13662.312815302957,-0.0,6923.034704476471,106.10991314999963,162.31316015634033,0.0,20853.77059308577
t27,-0.0,-0.0,-0.0,-0.0,2331.6653026843614,-0.0,3278.580683523529,48.609913149999514,5811.636916465639,1814.7270104764712,13285.2198263
t28,-0.0,-0.0,-0.0,-0.0,13307.38038423521,-0.0,6909.034704476471,51.60991314999963,324.7793756902153,0.0,20592.804377551896
