BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,3.770864246828811e7,5.290009626920839e6,-6.250011373961297e6,0.0,0.0,0.0,0.0,4.5484197126078814e7,-378915.5258980342,-8.185392232142837e7,5.92659960125683e7,1.5671739703122873e7,-1.8515760518812455e7,0.0,0.0,0.0,0.0,-3.284082968650227e7,-204040.64773870577,-2.3377104862637397e7,2.484565128352885e7,4.784424395956315e6,-5.652675326035326e6,0.0,0.0,0.0,0.0,-1.2643367439576278e7,-174874.878159324,-1.1159158035714313e7
t1,0.0,565.609913149999,-1629.0000000000005,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8761.0,9816.294566590768,2216.8222845124355,-3594.814631953203,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2502.0,3419.580683523529,1814.7270104764712,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1195.0
t2,0.0,422.10991314999944,-1772.5,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8474.0,9615.640557747862,2276.1492889338892,-3535.48762753175,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2420.0,7010.034704476471,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1156.0
t3,0.0,353.1099131499995,-1841.5,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8336.0,9004.505343215511,2561.7168962000637,-3249.9200202655747,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2380.0,3800.638034598697,1594.698334938887,-220.0286755375843,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1136.0
t4,0.0,2194.6099131499996,-0.0,0.0,0.0,0.0,0.0,6118.842858024327,-38.45277117432642,-8275.0,8872.996880690333,2619.4711274626534,-3192.1657890029846,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2364.0,0.0,1581.8602102625623,-232.86680021390896,0.0,0.0,0.0,0.0,-218.84285802432697,-2.1505520243264225,-1128.0
t5,0.0,854.7052105432549,-1339.9047026067446,0.0,0.0,0.0,0.0,8880.79374329816,-65.59425123466966,-8330.0,7481.019837855582,3322.9596488800285,-2488.6772675856096,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2379.0,5960.8127858593,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-2980.7937432981594,-29.29203208466965,-1136.0
t6,0.0,2194.6099131499996,-0.0,0.0,0.0,0.0,0.0,6403.64155301288,-41.25146616287876,-8557.0,8091.794997876457,3050.072068869592,-2761.5648475960465,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2444.0,3489.3178105022293,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-503.6415530128794,-4.94924701287876,-1166.0
t7,0.0,2194.6099131499996,-0.0,0.0,0.0,0.0,0.0,6809.631182039113,-45.24109518911293,-8959.0,8974.046763006818,2666.44618630441,-3145.190730161228,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2559.0,2291.535216662057,831.88092594632,-982.8460845301512,0.0,0.0,0.0,0.0,-909.6311820391128,-8.938876039112936,-1222.0
t8,0.0,2071.0532350570875,-123.55667809291182,0.0,0.0,0.0,0.0,7503.563760588499,-52.06031755267549,-9399.0,7872.833916094984,3279.5526097603274,-2532.084306705311,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2684.0,1388.5251656823652,1663.76185189264,-150.96515858383108,0.0,0.0,0.0,0.0,-1603.5637605884986,-15.758098402675488,-1282.0
t9,3673.3515823523026,1319.780274973848,-874.8296381761513,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-9982.0,3780.2320520839103,5408.853541765865,-402.78337469977464,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2850.0,3175.7270104764716,0.0,-1814.7270104764712,0.0,0.0,0.0,0.0,-0.0,-0.0,-1361.0
t10,6892.38979658839,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,5678.157356003273,-34.937239441663614,-10341.0,7413.138851473674,3532.2963302184507,-2279.3405862471877,0.0,0.0,0.0,0.0,-5678.157356003273,-34.937239441663614,-2953.0,1560.9651585838312,831.88092594632,-982.8460845301512,0.0,0.0,0.0,0.0,-0.0,-0.0,-1410.0
t11,9479.780428387805,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,3217.6272831990955,-19.79779843690045,-10483.0,9271.446016138481,1385.8079909815763,-4425.828925484062,0.0,0.0,0.0,0.0,-3217.6272831990955,-19.79779843690045,-2994.0,1232.290916086306,1005.7180471950826,-809.0089632813886,0.0,0.0,0.0,0.0,-0.0,-0.0,-1429.0
t12,8988.311320128254,0.0,-2194.6099131499996,0.0,0.0,0.0,0.0,3710.1267002329514,-22.828107211207286,-10481.0,10207.296200866078,1165.1477615218603,-4646.489154943779,0.0,0.0,0.0,0.0,-3710.1267002329514,-22.828107211207286,-2993.0,710.9240033797226,1265.9015035483742,-548.825506928097,0.0,0.0,0.0,0.0,-0.0,-0.0,-1428.0
