Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,5.1778795114623114e7,1.2498724393407841e8,3.1740950249297064e7,2.0850698929799858e8
t1,7942.418449673911,26178.798908618104,4016.2992878909477,38137.516646182965
t2,9114.30332668478,26957.37221188874,5685.848137529301,41757.52367610282
t3,10424.668203695652,27162.82374335909,4154.906763655524,41742.39871071027
t4,8039.222645923912,27252.365043738955,2649.7309478277957,37941.318637490665
t5,8342.90756955771,25930.0354680916,4319.27979746615,38592.22283511546
t6,5957.462011785971,25155.379400847796,5988.828647104503,37101.67005973827
t7,3572.0164540142323,25150.643800526115,5988.828647104503,34711.48890164485
t8,1434.543777145487,23915.43026512943,4319.27979746615,29669.253839741068
t9,804.8432671220593,18406.802337499023,5988.828647104503,25200.474251725584
t10,2823.8843872200587,16664.343144000293,5988.828647104503,25477.056178324856
t11,4842.925507318058,19229.792721770005,5639.945102893943,29712.663331982007
t12,6861.966627416058,22238.09778614235,4768.884674106516,33868.94908766492
t13,8881.007747514059,25877.153405521778,3704.869501801757,38463.030654837596
t14,10900.048867612057,27331.759311166017,2490.6893612626695,40722.49754004074
t15,10675.953660853174,27827.424220866633,1566.1257027233833,40069.503584443184
t16,11292.447259673907,27142.352618654237,1553.3676538019915,39988.16753213014
t17,11292.447259673907,24554.259555278066,477.94972252621176,36324.656537478186
t18,9400.713006249996,20279.24677424035,1265.012204492168,30944.971984982512
t19,7504.964839782605,22348.922168983216,2934.561054130522,32788.44806289634
t20,5820.950586358692,18024.463272508954,2952.711457402999,26798.125316270645
t21,4553.379811195649,17555.56957652844,4622.260307041353,26731.209694765443
t22,3971.1846882065206,16124.010435615968,2649.7309478277957,22744.926071650287
t23,1585.7391304347825,17302.231726592712,4319.27979746615,23207.250654493648
t24,676.8715200979997,17689.509708380832,5988.828647104503,24355.209875583336
t25,2197.966831891479,19081.87652126138,4194.982581755817,25474.825934908673
t26,4004.0499697719147,24102.82702906991,5864.53143139417,33971.40843023599
t27,5925.53310765235,17785.830380737698,3892.002072180614,27603.365560570663
t28,7840.995375967567,22480.718257718243,5561.550921818968,35883.26455550478
t29,5541.154234609742,27827.424220866633,4319.27979746615,37687.858252942526
t30,6482.239111620612,25557.773954101373,5988.828647104503,38028.841712826485
t31,6088.69790167496,25975.526890510308,4319.27979746615,36383.50458965142
t32,4945.558430859743,20294.465800013022,5988.828647104503,31228.852877977268
t33,2560.112873088004,13977.469151680807,4319.27979746615,20856.86182223496
t34,4052.718456482145,19324.175114829195,5988.828647104503,29365.72221841584
t35,6071.759576580144,21381.825364776025,4319.27979746615,31772.864738822318
t36,8090.800696678144,23251.102600257476,5988.828647104503,37330.73194404012
t37,10109.841816776143,18049.53662532292,4319.27979746615,32478.658239565215
t38,9273.406139575907,23396.242588471305,5988.828647104503,38658.47737515172
t39,11292.447259673907,27827.424220866633,4319.27979746615,43439.15127800669
