Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.882440750973448
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.88244075097345
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973448
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973451
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973451
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973451
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973451
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973451
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.803212495718412,25.022773546440945,12.882440750973451
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.882440750973451
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.802468396085818,25.022773546440945,12.88244075097345
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.882440750973453
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.882440750973446
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80246839608582,25.022773546440945,12.88244075097345
