Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle
t1,64198.32051127403,18131.386694258814,0.0
t2,59698.27336050139,18131.386694258814,0.0
t3,56349.27129947111,18131.386694258814,0.0
t4,54663.50609367347,18131.386694258814,0.0
t5,54403.649774311656,18131.386694258814,0.0
t6,55695.64884845242,18131.386694258814,0.0
t7,58465.53253989403,18131.386694258814,0.0
t8,60968.22078520714,18131.386694258814,0.0
t9,65208.264139286286,18131.386694258814,0.0
t10,69374.18923983206,18131.386694258814,0.0
t11,71876.73000781347,18131.386694258814,0.0
t12,72804.97790496069,18131.386694258814,0.0
t13,73250.48141691764,18131.386694258814,0.0
t14,72426.21925063546,18131.386694258814,0.0
t15,71527.74795758665,18131.386694258814,0.0
t16,72047.46059631027,18131.386694258814,0.0
t17,79816.96584852281,19174.16,0.0
t18,86534.75340034279,20790.399999999998,0.0
t19,86028.33358168944,20669.36,0.0
t20,83391.7720564278,20042.8,0.0
t21,80315.95566717615,19295.2,0.0
t22,76018.66973129119,18262.8,0.0
t23,69507.95157479546,18131.386694258814,0.0
t24,62059.621793519436,18131.386694258814,0.0
t25,55755.14545255077,18131.386694258814,0.0
t26,51938.25900633022,18131.386694258814,0.0
t27,50103.9623388025,18131.386694258814,0.0
t28,49688.2354309439,18131.386694258814,0.0
t29,51188.17169767979,18131.386694258814,0.0
t30,55005.05814390034,18131.386694258814,0.0
t31,60737.846115280336,18131.386694258814,0.0
t32,65438.49133188142,18131.386694258814,0.0
t33,71201.05590735977,18131.386694258814,0.0
t34,76770.7219819395,18447.92,0.0
t35,80241.3607125128,19280.96,0.0
t36,81671.46016847281,19615.600000000002,0.0
t37,81537.2777364778,19587.12,0.0
t38,81008.56791782446,19466.08,0.0
t39,80755.3580084978,19402.0,0.0
t40,81984.25755513113,19693.920000000002,0.0
t41,87146.36546121653,23993.55810822473,0.0
t42,87146.36546121653,33416.6726394948,0.0
t43,87146.36546121653,32379.251202687818,0.0
t44,87146.36546121653,29555.32338254844,0.0
t45,87146.36546121653,24937.394870972734,0.0
t46,84449.33917106612,20292.0,0.0
t47,77016.64936859783,18504.88,0.0
t48,68995.43058550684,18131.386694258814,0.0
t49,63418.60407585692,18131.386694258814,0.0
t50,60633.951257648616,18131.386694258814,0.0
t51,59297.3155794095,18131.386694258814,0.0
t52,59460.61616790628,18131.386694258814,0.0
t53,62260.21985934788,18131.386694258814,0.0
t54,70577.15345634108,18131.386694258814,0.0
t55,83347.1920564278,20021.44,0.0
t56,87146.36546121653,24332.26355851065,0.0
t57,87146.36546121653,25686.622891549756,0.0
t58,87146.36546121653,26443.05907212754,0.0
t59,87146.36546121653,27437.176634879248,0.0
t60,87146.36546121653,27624.577217049464,0.0
t61,87146.36546121653,27170.66261270237,0.0
t62,87146.36546121653,27012.006510534364,0.0
t63,87146.36546121653,26587.155780242505,0.0
t64,87146.36546121653,28121.56446139954,0.0
t65,87146.36546121653,36917.86828615448,0.0
t66,87146.36546121653,46535.59155959549,0.0
t67,87146.36546121653,46787.6892617709,0.0
t68,87146.36546121653,44583.220914094316,0.0
t69,87146.36546121653,40383.16620686204,0.0
t70,87146.36546121653,33013.35822920442,0.0
t71,87146.36546121653,23172.42480764179,0.0
t72,81872.5126004678,19672.56,0.0
t73,77441.04423258784,18611.68,0.0
t74,75032.71148034702,18131.386694258814,0.0
t75,73554.97434037781,18131.386694258814,0.0
t76,73718.3658021079,18131.386694258814,0.0
t77,76085.68720862284,18284.16,0.0
t78,82371.50241912113,19793.6,0.0
t79,87146.36546121653,29000.472870090056,0.0
t80,87146.36546121653,36536.00203586485,0.0
t81,87146.36546121653,36687.449978032106,0.0
t82,87146.36546121653,36363.16084774766,0.0
t83,87146.36546121653,36089.383751519206,0.0
t84,87146.36546121653,34908.00868064887,0.0
t85,87146.36546121653,33200.52757732234,0.0
t86,87146.36546121653,32191.993694569162,0.0
t87,87146.36546121653,31269.781411823387,0.0
t88,87146.36546121653,32465.71587674679,0.0
t89,87146.36546121653,40649.59206903819,0.0
t90,87146.36546121653,47306.35590017401,0.0
t91,87146.36546121653,46283.350783368536,0.0
t92,87146.36546121653,43236.06974105596,0.0
t93,87146.36546121653,38344.275973251075,0.0
t94,87146.36546121653,30261.247529070213,0.0
t95,86333.70096834778,20747.680000000004,0.0
t96,78454.03134722615,18853.760000000002,0.0
t97,72916.21188935911,18131.386694258814,0.0
t98,69567.35730566051,18131.386694258814,0.0
t99,67866.6754957645,18131.386694258814,0.0
t100,67562.33004963599,18131.386694258814,0.0
t101,69775.14702092393,18131.386694258814,0.0
t102,76718.7119819395,18433.68,0.0
t103,87146.36546121653,21695.505086489193,0.0
t104,87146.36546121653,29533.555828494646,0.0
t105,87146.36546121653,30369.391597182213,0.0
t106,87146.36546121653,30873.58700153301,0.0
t107,87146.36546121653,30355.063437181467,0.0
t108,87146.36546121653,28748.375167914644,0.0
t109,87146.36546121653,27343.59196082029,0.0
t110,87146.36546121653,26796.092682414208,0.0
t111,87146.36546121653,25917.096113722946,0.0
t112,87146.36546121653,26630.228420245458,0.0
t113,87146.36546121653,33690.53789572397,0.0
t114,87146.36546121653,41420.44456961744,0.0
t115,87146.36546121653,40966.76119932263,0.0
t116,87146.36546121653,38113.71459107716,0.0
t117,87146.36546121653,33531.88179355596,0.0
t118,87146.36546121653,25967.60814777895,0.0
t119,82892.78223777446,19914.640000000003,0.0
t120,75631.27738996952,18177.36,0.0
t121,69745.3704168256,18131.386694258814,0.0
t122,66530.0398175254,18131.386694258814,0.0
t123,64881.57208905942,18131.386694258814,0.0
t124,64473.18430796753,18131.386694258814,0.0
t125,66500.41069075871,18131.386694258814,0.0
t126,73703.5058021079,18131.386694258814,0.0
t127,84903.74898971946,20398.800000000003,0.0
t128,87146.36546121653,26097.288535892443,0.0
t129,87146.36546121653,27004.886510534358,0.0
t130,87146.36546121653,27120.238738647102,0.0
t131,87146.36546121653,26630.228420245458,0.0
t132,87146.36546121653,24980.698745027992,0.0
t133,87146.36546121653,23172.42480764179,0.0
t134,87146.36546121653,22221.468044893776,0.0
t135,86981.58574166444,20897.2,0.0
t136,87146.36546121653,21248.79864214282,0.0
t137,87146.36546121653,27415.640314877768,0.0
t138,87146.36546121653,33330.296125436565,0.0
t139,87146.36546121653,31442.765673992126,0.0
t140,87146.36546121653,28092.819981397326,0.0
t141,87146.36546121653,23640.667571989616,0.0
t142,84583.52160306113,20327.6,0.0
t143,78059.20900590449,18761.199999999997,0.0
t144,70347.0737410776,18131.386694258814,0.0
t145,63878.967587813866,18131.386694258814,0.0
t146,60292.399207421746,18131.386694258814,0.0
t147,58339.291078163944,18131.386694258814,0.0
t148,57559.483769513514,18131.386694258814,0.0
t149,58317.00107816394,18131.386694258814,0.0
t150,61250.27623133565,18131.386694258814,0.0
t151,66544.89981752541,18131.386694258814,0.0
t152,72129.15632717531,18131.386694258814,0.0
t153,77381.60423258785,18590.320000000003,0.0
t154,80152.05323518114,19252.480000000003,0.0
t155,80926.54296316115,19444.72,0.0
t156,80278.65818984449,19288.08,0.0
t157,78803.97873388449,18932.079999999998,0.0
t158,77135.67684592951,18533.36,0.0
t159,75966.51225395952,18255.68,0.0
t160,76770.7219819395,18447.92,0.0
t161,82401.3698964528,19793.6,0.0
t162,87146.36546121653,22012.53114272208,0.0
t163,87004.0232189961,20904.32,0.0
t164,84211.13673907112,20235.04,0.0
t165,81567.14521380946,19594.239999999998,0.0
t166,77746.41161924617,18682.88,0.0
t167,72084.66720040861,18131.386694258814,0.0
t168,65238.04074338464,18131.386694258814,0.0
t169,59490.483645237946,18131.386694258814,0.0
t170,56156.10323364268,18131.386694258814,0.0
t171,54188.28258171653,18131.386694258814,0.0
t172,53660.99246566123,18131.386694258814,0.0
t173,54210.48170848322,18131.386694258814,0.0
t174,56334.41129947111,18131.386694258814,0.0
t175,60433.35319182017,18131.386694258814,0.0
t176,64733.040627329334,18131.386694258814,0.0
t177,70718.25491807115,18131.386694258814,0.0
t178,75351.97353057387,18131.386694258814,0.0
t179,77716.69161924618,18675.760000000002,0.0
t180,79183.94107520615,19024.640000000003,0.0
t181,79437.15098453281,19081.600000000002,0.0
t182,78990.17116587948,18974.800000000003,0.0
t183,78714.67125655283,18910.72,0.0
t184,79816.96584852281,19181.280000000002,0.0
t185,86661.3583550061,20826.0,0.0
t186,87146.36546121653,28971.72839008784,0.0
t187,87146.36546121653,28798.887201970658,0.0
t188,87146.36546121653,25866.67223966769,0.0
t189,87146.36546121653,22034.06746272356,0.0
t190,82863.06223777446,19907.519999999997,0.0
t191,76026.09973129118,18262.8,0.0
t192,68698.36766204666,18131.386694258814,0.0
t193,63804.79273018213,18131.386694258814,0.0
t194,61458.21342393076,18131.386694258814,0.0
t195,60582.03213088192,18131.386694258814,0.0
t196,60878.94757701042,18131.386694258814,0.0
t197,63760.30360341544,18131.386694258814,0.0
t198,72032.60059631027,18131.386694258814,0.0
t199,84650.39160306113,20341.84,0.0
t200,87146.36546121653,26277.337884010358,0.0
t201,87146.36546121653,27091.49425864488,0.0
t202,87146.36546121653,27199.49525270534,0.0
t203,87146.36546121653,27149.126292700897,0.0
t204,87146.36546121653,26190.96136995214,0.0
t205,87146.36546121653,24317.84723850918,0.0
t206,87146.36546121653,23150.888487640295,0.0
t207,87146.36546121653,21645.224286485485,0.0
t208,87146.36546121653,21998.11482272059,0.0
t209,87146.36546121653,29173.545292259547,0.0
t210,87146.36546121653,38834.19813165197,0.0
t211,87146.36546121653,38531.676555421305,0.0
t212,87146.36546121653,35232.15473688174,0.0
t213,87146.36546121653,30434.17687718812,0.0
t214,87146.36546121653,22531.19778112518,0.0
t215,80144.62323518116,19252.480000000003,0.0
t216,72114.2963271753,18131.386694258814,0.0
t217,66092.02290966679,18131.386694258814,0.0
t218,63084.33454829839,18131.386694258814,0.0
t219,61443.44429716407,18131.386694258814,0.0
t220,61324.54196220069,18131.386694258814,0.0
t221,63641.40126845204,18131.386694258814,0.0
t222,71282.51328765984,18131.386694258814,0.0
t223,83727.0069204178,20114.0,0.0
t224,87146.36546121653,24310.639078508433,0.0
