region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,1.0345422338278285e9,0.0,0.0,1.6272684953190938e8,0.0,0.0,2.4972138392512268e8,1.5809333489922886e9,0.0,1.2973941738360906e6,0.0,0.0,3.029221210451046e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.029221210451046e9,3.0292212104509854e9,6.0558319091796875e-5
CT,CT_natural_gas_combined_cycle,2,1,2,4.92733482566205e8,0.0,0.0,7.306619746065836e7,0.0,0.0,1.694168751390697e8,8.693840826715441e8,0.0,0.0,0.0,0.0,1.6046006378374639e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6046006378374639e9,1.6046006378374772e9,-1.33514404296875e-5
ME,ME_natural_gas_combined_cycle,3,1,3,1.8237172393799998e7,0.0,0.0,4.542840603476999e6,0.0,0.0,87984.86130769477,454253.2650568383,0.0,101630.87271168006,0.0,0.0,2.342388199635323e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.342388199635323e7,2.3423881996353213e7,1.862645149230957e-8
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,MA_battery,1,0,8,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,CT_battery,2,0,9,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,ME_battery,3,0,10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
