Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,Total
Zone,1,2,3,0
AnnualSum,382338.9643021775,263996.65487953083,122.29235691065936,646457.911538619
t1,46.91594372070877,30.1366044383,0.0,77.05254815900877
t2,46.91594372070877,30.1366044383,0.0,77.05254815900877
t3,46.91594372070877,30.1366044383,0.0,77.05254815900877
t4,46.91594372070877,30.1366044383,0.0,77.05254815900877
t5,46.91594372070877,30.1366044383,0.0,77.05254815900877
t6,46.91594372070877,30.1366044383,0.0,77.05254815900877
t7,46.91594372070877,30.1366044383,0.0,77.05254815900877
t8,46.91594372070877,30.1366044383,0.0,77.05254815900877
t9,46.91594372070877,30.1366044383,0.0,77.05254815900877
t10,46.91594372070877,30.1366044383,0.0,77.05254815900877
t11,46.91594372070877,30.1366044383,0.0,77.05254815900877
t12,46.91594372070877,30.1366044383,0.0,77.05254815900877
t13,46.91594372070877,30.1366044383,0.0,77.05254815900877
t14,46.91594372070877,30.1366044383,0.0,77.05254815900877
t15,46.91594372070877,30.1366044383,0.0,77.05254815900877
t16,46.91594372070877,30.1366044383,0.0,77.05254815900877
t17,46.91594372070877,30.1366044383,0.0,77.05254815900877
t18,46.91594372070877,30.1366044383,0.0,77.05254815900877
t19,46.91594372070877,30.1366044383,0.0,77.05254815900877
t20,46.91594372070877,30.1366044383,0.0,77.05254815900877
t21,46.91594372070877,30.1366044383,0.0,77.05254815900877
t22,46.91594372070877,30.1366044383,0.0,77.05254815900877
t23,46.91594372070877,30.1366044383,0.0,77.05254815900877
t24,46.91594372070877,30.1366044383,0.0,77.05254815900877
t25,46.91594372070877,30.1366044383,0.0,77.05254815900877
t26,46.91594372070877,30.1366044383,0.0,77.05254815900877
t27,46.91594372070877,30.1366044383,0.0,77.05254815900877
t28,46.91594372070877,30.1366044383,0.0,77.05254815900877
t29,46.91594372070877,30.1366044383,0.0,77.05254815900877
t30,46.91594372070877,30.1366044383,0.0,77.05254815900877
t31,46.91594372070877,30.1366044383,0.0,77.05254815900877
t32,46.91594372070877,30.1366044383,0.0,77.05254815900877
t33,46.91594372070877,30.1366044383,0.0,77.05254815900877
t34,46.91594372070877,30.1366044383,0.0,77.05254815900877
t35,46.91594372070877,30.1366044383,0.0,77.05254815900877
t36,46.91594372070877,30.1366044383,0.0,77.05254815900877
t37,46.91594372070877,30.1366044383,0.0,77.05254815900877
t38,46.91594372070877,30.1366044383,0.0,77.05254815900877
t39,46.91594372070877,30.1366044383,0.0,77.05254815900877
t40,46.91594372070877,30.1366044383,0.0,77.05254815900877
t41,46.91594372070877,30.1366044383,0.0,77.05254815900877
t42,46.91594372070877,30.1366044383,0.0,77.05254815900877
t43,46.91594372070877,30.1366044383,0.0,77.05254815900877
t44,46.91594372070877,30.1366044383,0.0,77.05254815900877
t45,46.91594372070877,30.1366044383,0.0,77.05254815900877
t46,46.91594372070877,30.1366044383,0.0,77.05254815900877
t47,46.91594372070877,30.1366044383,0.0,77.05254815900877
t48,46.91594372070877,30.1366044383,0.0,77.05254815900877
t49,46.91594372070877,30.1366044383,0.0,77.05254815900877
t50,46.91594372070877,30.1366044383,0.0,77.05254815900877
t51,46.91594372070877,30.1366044383,0.0,77.05254815900877
t52,46.91594372070877,30.1366044383,0.0,77.05254815900877
t53,46.91594372070877,30.1366044383,0.0,77.05254815900877
t54,46.91594372070877,30.1366044383,0.0,77.05254815900877
t55,46.91594372070877,30.1366044383,0.0,77.05254815900877
t56,46.91594372070877,30.1366044383,0.0,77.05254815900877
t57,46.91594372070877,30.1366044383,0.0,77.05254815900877
t58,46.91594372070877,30.1366044383,0.0,77.05254815900877
t59,46.91594372070877,30.1366044383,0.0,77.05254815900877
t60,46.91594372070877,30.1366044383,0.0,77.05254815900877
t61,46.91594372070877,30.1366044383,0.0,77.05254815900877
t62,46.91594372070877,30.1366044383,0.0,77.05254815900877
t63,46.91594372070877,30.1366044383,0.0,77.05254815900877
t64,46.91594372070877,30.1366044383,0.0,77.05254815900877
t65,46.91594372070877,30.1366044383,0.0,77.05254815900877
t66,46.91594372070877,30.1366044383,0.0,77.05254815900877
t67,46.91594372070877,30.1366044383,0.0,77.05254815900877
t68,46.91594372070877,30.1366044383,0.0,77.05254815900877
t69,46.91594372070877,30.1366044383,0.0,77.05254815900877
t70,46.91594372070877,30.1366044383,0.0,77.05254815900877
t71,46.91594372070877,30.1366044383,0.0,77.05254815900877
t72,46.91594372070877,30.1366044383,0.0,77.05254815900877
t73,46.91594372070877,30.1366044383,0.0,77.05254815900877
t74,46.91594372070877,30.1366044383,0.0,77.05254815900877
t75,46.91594372070877,30.1366044383,0.0,77.05254815900877
t76,46.91594372070877,30.1366044383,0.0,77.05254815900877
t77,46.91594372070877,30.1366044383,0.0,77.05254815900877
t78,46.91594372070877,30.1366044383,0.0,77.05254815900877
t79,46.91594372070877,30.1366044383,0.0,77.05254815900877
t80,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t81,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t82,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t83,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t84,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t85,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t86,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t87,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t88,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t89,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t90,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t91,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t92,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t93,46.91594372070877,30.1366044383,0.0,77.05254815900877
t94,46.91594372070877,30.1366044383,0.0,77.05254815900877
t95,46.91594372070877,30.1366044383,0.0,77.05254815900877
t96,46.91594372070877,30.1366044383,0.0,77.05254815900877
t97,46.91594372070877,30.1366044383,0.0,77.05254815900877
t98,46.91594372070877,30.1366044383,0.0,77.05254815900877
t99,46.91594372070877,30.1366044383,0.0,77.05254815900877
t100,46.91594372070877,30.1366044383,0.0,77.05254815900877
t101,46.91594372070877,30.1366044383,0.0,77.05254815900877
t102,46.91594372070877,30.1366044383,0.0,77.05254815900877
t103,46.91594372070877,30.1366044383,0.0,77.05254815900877
t104,46.91594372070877,30.1366044383,0.0,77.05254815900877
t105,46.91594372070877,30.1366044383,0.0,77.05254815900877
t106,46.91594372070877,30.1366044383,0.0,77.05254815900877
t107,46.91594372070877,30.1366044383,0.0,77.05254815900877
t108,46.91594372070877,30.1366044383,0.0,77.05254815900877
t109,46.91594372070877,30.1366044383,0.0,77.05254815900877
t110,46.91594372070877,30.1366044383,0.0,77.05254815900877
t111,46.91594372070877,30.1366044383,0.0,77.05254815900877
t112,46.91594372070877,30.1366044383,0.0,77.05254815900877
t113,46.91594372070877,30.1366044383,0.0,77.05254815900877
t114,46.91594372070877,30.1366044383,0.0,77.05254815900877
t115,46.91594372070877,30.1366044383,0.0,77.05254815900877
t116,46.91594372070877,30.1366044383,0.0,77.05254815900877
t117,46.91594372070877,30.1366044383,0.0,77.05254815900877
t118,46.91594372070877,30.1366044383,0.0,77.05254815900877
t119,46.91594372070877,30.1366044383,0.0,77.05254815900877
t120,46.91594372070877,30.1366044383,0.0,77.05254815900877
t121,46.91594372070877,30.1366044383,0.0,77.05254815900877
t122,46.91594372070877,30.1366044383,0.0,77.05254815900877
t123,46.91594372070877,30.1366044383,0.0,77.05254815900877
t124,46.91594372070877,30.1366044383,0.0,77.05254815900877
t125,46.91594372070877,30.1366044383,0.0,77.05254815900877
t126,46.91594372070877,30.1366044383,0.0,77.05254815900877
t127,46.91594372070877,30.1366044383,0.0,77.05254815900877
t128,46.91594372070877,30.1366044383,0.0,77.05254815900877
t129,46.91594372070877,30.1366044383,0.0,77.05254815900877
t130,46.91594372070877,30.1366044383,0.0,77.05254815900877
t131,46.91594372070877,30.1366044383,0.0,77.05254815900877
t132,46.91594372070877,30.1366044383,0.0,77.05254815900877
t133,46.91594372070877,30.1366044383,0.0,77.05254815900877
t134,46.91594372070877,30.1366044383,0.0,77.05254815900877
t135,46.91594372070877,30.1366044383,0.0,77.05254815900877
t136,46.91594372070877,30.1366044383,0.0,77.05254815900877
t137,46.91594372070877,30.1366044383,0.0,77.05254815900877
t138,46.91594372070877,30.1366044383,0.0,77.05254815900877
t139,46.91594372070877,30.1366044383,0.0,77.05254815900877
t140,46.91594372070877,30.1366044383,0.0,77.05254815900877
t141,46.91594372070877,30.1366044383,0.0,77.05254815900877
t142,46.91594372070877,30.1366044383,0.0,77.05254815900877
t143,46.91594372070877,30.1366044383,0.0,77.05254815900877
t144,46.91594372070877,30.1366044383,0.0,77.05254815900877
t145,46.91594372070877,30.1366044383,0.0,77.05254815900877
t146,46.91594372070877,30.1366044383,0.0,77.05254815900877
t147,46.91594372070877,30.1366044383,0.0,77.05254815900877
t148,46.91594372070877,30.1366044383,0.0,77.05254815900877
t149,46.91594372070877,30.1366044383,0.0,77.05254815900877
t150,46.91594372070877,30.1366044383,0.0,77.05254815900877
t151,46.91594372070877,30.1366044383,0.0,77.05254815900877
t152,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t153,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t154,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t155,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t156,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t157,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t158,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t159,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t160,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t161,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t162,46.91594372070877,30.1366044383,0.0,77.05254815900877
t163,46.91594372070877,30.1366044383,0.0,77.05254815900877
t164,46.91594372070877,30.1366044383,0.0,77.05254815900877
t165,46.91594372070877,30.1366044383,0.0,77.05254815900877
t166,46.91594372070877,30.1366044383,0.0,77.05254815900877
t167,46.91594372070877,30.1366044383,0.0,77.05254815900877
t168,46.91594372070877,30.1366044383,0.0,77.05254815900877
t169,46.91594372070877,30.1366044383,0.0,77.05254815900877
t170,46.91594372070877,30.1366044383,0.0,77.05254815900877
t171,46.91594372070877,30.1366044383,0.0,77.05254815900877
t172,46.91594372070877,30.1366044383,0.0,77.05254815900877
t173,46.91594372070877,30.1366044383,0.0,77.05254815900877
t174,46.91594372070877,30.1366044383,0.0,77.05254815900877
t175,46.91594372070877,30.1366044383,0.0,77.05254815900877
t176,46.91594372070877,30.1366044383,0.0,77.05254815900877
t177,46.91594372070877,30.1366044383,0.0,77.05254815900877
t178,46.91594372070877,30.1366044383,0.0,77.05254815900877
t179,46.91594372070877,30.1366044383,0.0,77.05254815900877
t180,46.91594372070877,30.1366044383,0.0,77.05254815900877
t181,46.91594372070877,30.1366044383,0.0,77.05254815900877
t182,46.91594372070877,30.1366044383,0.0,77.05254815900877
t183,46.91594372070877,30.1366044383,0.0,77.05254815900877
t184,46.91594372070877,30.1366044383,0.0,77.05254815900877
t185,46.91594372070877,30.1366044383,0.0,77.05254815900877
t186,46.91594372070877,30.1366044383,0.0,77.05254815900877
t187,46.91594372070877,30.1366044383,0.0,77.05254815900877
t188,46.91594372070877,30.1366044383,0.0,77.05254815900877
t189,46.91594372070877,30.1366044383,0.0,77.05254815900877
t190,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t191,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t192,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t193,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t194,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t195,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t196,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t197,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t198,46.91594372070877,30.1366044383,0.0,77.05254815900877
t199,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t200,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t201,46.91594372070877,30.1366044383,0.0,77.05254815900877
t202,46.91594372070877,30.1366044383,0.0,77.05254815900877
t203,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t204,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t205,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t206,46.91594372070877,30.1366044383,0.0,77.05254815900877
t207,46.91594372070877,30.1366044383,0.0,77.05254815900877
t208,46.91594372070877,30.1366044383,0.0,77.05254815900877
t209,46.91594372070877,30.1366044383,0.0,77.05254815900877
t210,46.91594372070877,30.1366044383,0.0,77.05254815900877
t211,46.91594372070877,30.1366044383,0.0,77.05254815900877
t212,46.91594372070877,30.1366044383,0.0,77.05254815900877
t213,46.91594372070877,30.1366044383,0.0,77.05254815900877
t214,46.91594372070877,30.1366044383,0.0,77.05254815900877
t215,46.91594372070877,30.1366044383,0.0,77.05254815900877
t216,46.91594372070877,30.1366044383,0.0,77.05254815900877
t217,46.91594372070877,30.1366044383,0.0,77.05254815900877
t218,46.91594372070877,30.1366044383,0.0,77.05254815900877
t219,46.91594372070877,30.1366044383,0.0,77.05254815900877
t220,46.91594372070877,30.1366044383,0.0,77.05254815900877
t221,46.91594372070877,30.1366044383,0.0,77.05254815900877
t222,46.91594372070877,30.1366044383,0.0,77.05254815900877
t223,46.91594372070877,30.1366044383,0.0,77.05254815900877
t224,46.91594372070877,30.1366044383,0.0,77.05254815900877
t225,46.91594372070877,30.1366044383,0.0,77.05254815900877
t226,46.91594372070877,30.1366044383,0.0,77.05254815900877
t227,46.91594372070877,30.1366044383,0.0,77.05254815900877
t228,46.91594372070877,30.1366044383,0.0,77.05254815900877
t229,46.91594372070877,30.1366044383,0.0,77.05254815900877
t230,46.91594372070877,30.1366044383,0.0,77.05254815900877
t231,46.91594372070877,30.1366044383,0.0,77.05254815900877
t232,46.91594372070877,30.1366044383,0.0,77.05254815900877
t233,46.91594372070877,30.1366044383,0.0,77.05254815900877
t234,46.91594372070877,30.1366044383,0.0,77.05254815900877
t235,46.91594372070877,30.1366044383,0.0,77.05254815900877
t236,46.91594372070877,30.1366044383,0.0,77.05254815900877
t237,46.91594372070877,30.1366044383,0.0,77.05254815900877
t238,46.91594372070877,30.1366044383,0.0,77.05254815900877
t239,46.91594372070877,30.1366044383,0.0,77.05254815900877
t240,46.91594372070877,30.1366044383,0.0,77.05254815900877
t241,46.91594372070877,30.1366044383,0.0,77.05254815900877
t242,46.91594372070877,30.1366044383,0.0,77.05254815900877
t243,46.91594372070877,30.1366044383,0.0,77.05254815900877
t244,46.91594372070877,30.1366044383,0.0,77.05254815900877
t245,46.91594372070877,30.1366044383,0.0,77.05254815900877
t246,46.91594372070877,30.1366044383,0.0,77.05254815900877
t247,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t248,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t249,46.91594372070877,30.1366044383,0.0,77.05254815900877
t250,46.91594372070877,30.1366044383,0.0,77.05254815900877
t251,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t252,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t253,46.91594372070877,30.1366044383,0.0,77.05254815900877
t254,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t255,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t256,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t257,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t258,46.91594372070877,30.1366044383,-0.0,77.05254815900877
t259,46.91594372070877,30.1366044383,0.0,77.05254815900877
t260,46.91594372070877,30.1366044383,0.0,77.05254815900877
t261,46.91594372070877,30.1366044383,0.0,77.05254815900877
t262,46.91594372070877,30.1366044383,0.0,77.05254815900877
t263,46.91594372070877,30.1366044383,0.0,77.05254815900877
t264,46.91594372070877,30.1366044383,0.0,77.05254815900877
t265,46.91594372070877,30.1366044383,0.0,77.05254815900877
t266,46.91594372070877,30.1366044383,0.0,77.05254815900877
t267,46.91594372070877,30.1366044383,0.0,77.05254815900877
t268,46.91594372070877,30.1366044383,0.0,77.05254815900877
t269,46.91594372070877,30.1366044383,0.0,77.05254815900877
t270,46.91594372070877,30.1366044383,0.0,77.05254815900877
t271,46.91594372070877,30.1366044383,0.0,77.05254815900877
t272,46.91594372070877,30.1366044383,0.0,77.05254815900877
t273,46.91594372070877,30.1366044383,0.0,77.05254815900877
t274,46.91594372070877,30.1366044383,0.0,77.05254815900877
t275,46.91594372070877,30.1366044383,0.0,77.05254815900877
t276,46.91594372070877,30.1366044383,0.0,77.05254815900877
t277,46.91594372070877,30.1366044383,0.0,77.05254815900877
t278,46.91594372070877,30.1366044383,0.0,77.05254815900877
t279,46.91594372070877,30.1366044383,0.0,77.05254815900877
t280,46.91594372070877,30.1366044383,0.0,77.05254815900877
t281,46.91594372070877,30.1366044383,0.0,77.05254815900877
t282,46.91594372070877,30.1366044383,0.0,77.05254815900877
t283,46.91594372070877,30.1366044383,0.0,77.05254815900877
t284,46.91594372070877,30.1366044383,0.0,77.05254815900877
t285,46.91594372070877,30.1366044383,0.0,77.05254815900877
t286,46.91594372070877,30.1366044383,0.0,77.05254815900877
t287,46.91594372070877,30.1366044383,0.0,77.05254815900877
t288,46.91594372070877,30.1366044383,0.0,77.05254815900877
t289,46.91594372070877,30.1366044383,0.0,77.05254815900877
t290,46.91594372070877,30.1366044383,0.0,77.05254815900877
t291,46.91594372070877,30.1366044383,0.0,77.05254815900877
t292,46.91594372070877,30.1366044383,0.0,77.05254815900877
t293,46.91594372070877,30.1366044383,0.0,77.05254815900877
t294,46.91594372070877,30.1366044383,0.0,77.05254815900877
t295,46.91594372070877,30.1366044383,0.0,77.05254815900877
t296,46.91594372070877,30.1366044383,0.0,77.05254815900877
t297,46.91594372070877,30.1366044383,0.0,77.05254815900877
t298,46.91594372070877,30.1366044383,0.0,77.05254815900877
t299,46.91594372070877,30.1366044383,0.0,77.05254815900877
t300,46.91594372070877,30.1366044383,0.0,77.05254815900877
t301,46.91594372070877,30.1366044383,0.0,77.05254815900877
t302,46.91594372070877,30.1366044383,0.0,77.05254815900877
t303,46.91594372070877,30.1366044383,0.0,77.05254815900877
t304,46.91594372070877,30.1366044383,0.0,77.05254815900877
t305,46.91594372070877,30.1366044383,0.0,77.05254815900877
t306,46.91594372070877,30.1366044383,0.0,77.05254815900877
t307,46.91594372070877,30.1366044383,0.0,77.05254815900877
t308,46.91594372070877,30.1366044383,0.0,77.05254815900877
t309,46.91594372070877,30.1366044383,0.0,77.05254815900877
t310,46.91594372070877,30.1366044383,0.0,77.05254815900877
t311,46.91594372070877,30.1366044383,0.0,77.05254815900877
t312,46.91594372070877,30.1366044383,0.0,77.05254815900877
t313,46.91594372070877,30.1366044383,0.0,77.05254815900877
t314,46.91594372070877,30.1366044383,0.0,77.05254815900877
t315,46.91594372070877,30.1366044383,0.0,77.05254815900877
t316,46.91594372070877,30.1366044383,0.0,77.05254815900877
t317,46.91594372070877,30.1366044383,0.0,77.05254815900877
t318,46.91594372070877,30.1366044383,0.0,77.05254815900877
t319,46.91594372070877,30.1366044383,0.0,77.05254815900877
t320,46.91594372070877,30.1366044383,0.0,77.05254815900877
t321,46.91594372070877,30.1366044383,0.0,77.05254815900877
t322,46.91594372070877,30.1366044383,0.0,77.05254815900877
t323,46.91594372070877,30.1366044383,0.0,77.05254815900877
t324,46.91594372070877,30.1366044383,0.0,77.05254815900877
t325,46.91594372070877,30.1366044383,0.0,77.05254815900877
t326,46.91594372070877,30.1366044383,0.0,77.05254815900877
t327,46.91594372070877,30.1366044383,0.0,77.05254815900877
t328,46.91594372070877,30.1366044383,0.0,77.05254815900877
t329,46.91594372070877,30.1366044383,0.0,77.05254815900877
t330,46.91594372070877,30.1366044383,0.0,77.05254815900877
t331,46.91594372070877,30.1366044383,0.0,77.05254815900877
t332,46.91594372070877,30.1366044383,0.0,77.05254815900877
t333,46.91594372070877,30.1366044383,0.0,77.05254815900877
t334,46.91594372070877,30.1366044383,0.0,77.05254815900877
t335,46.91594372070877,30.1366044383,0.0,77.05254815900877
t336,46.91594372070877,30.1366044383,0.0,77.05254815900877
t337,46.91594372070877,30.1366044383,0.0,77.05254815900877
t338,46.91594372070877,30.1366044383,0.0,77.05254815900877
t339,46.91594372070877,30.1366044383,0.0,77.05254815900877
t340,46.91594372070877,30.1366044383,0.0,77.05254815900877
t341,46.91594372070877,30.1366044383,0.0,77.05254815900877
t342,46.91594372070877,30.1366044383,0.0,77.05254815900877
t343,46.91594372070877,30.1366044383,0.0,77.05254815900877
t344,46.91594372070877,30.1366044383,0.0,77.05254815900877
t345,46.91594372070877,30.1366044383,0.0,77.05254815900877
t346,46.91594372070877,30.1366044383,0.0,77.05254815900877
t347,46.91594372070877,30.1366044383,0.0,77.05254815900877
t348,46.91594372070877,30.1366044383,0.0,77.05254815900877
t349,46.91594372070877,30.1366044383,0.0,77.05254815900877
t350,46.91594372070877,30.1366044383,0.0,77.05254815900877
t351,46.91594372070877,30.1366044383,0.0,77.05254815900877
t352,46.91594372070877,30.1366044383,0.0,77.05254815900877
t353,46.91594372070877,30.1366044383,0.0,77.05254815900877
t354,46.91594372070877,30.1366044383,0.0,77.05254815900877
t355,46.91594372070877,30.1366044383,0.0,77.05254815900877
t356,46.91594372070877,30.1366044383,0.0,77.05254815900877
t357,46.91594372070877,30.1366044383,0.0,77.05254815900877
t358,46.91594372070877,30.1366044383,0.0,77.05254815900877
t359,46.91594372070877,30.1366044383,0.0,77.05254815900877
t360,46.91594372070877,30.1366044383,0.0,77.05254815900877
t361,46.91594372070877,30.1366044383,0.0,77.05254815900877
t362,46.91594372070877,30.1366044383,0.0,77.05254815900877
t363,46.91594372070877,30.1366044383,0.0,77.05254815900877
t364,46.91594372070877,30.1366044383,0.0,77.05254815900877
t365,46.91594372070877,30.1366044383,0.0,77.05254815900877
t366,46.91594372070877,30.1366044383,0.0,77.05254815900877
t367,46.91594372070877,30.1366044383,0.0,77.05254815900877
t368,46.91594372070877,30.1366044383,0.0,77.05254815900877
t369,46.91594372070877,30.1366044383,0.0,77.05254815900877
t370,46.91594372070877,30.1366044383,0.0,77.05254815900877
t371,46.91594372070877,30.1366044383,0.0,77.05254815900877
t372,46.91594372070877,30.1366044383,0.0,77.05254815900877
t373,46.91594372070877,30.1366044383,0.0,77.05254815900877
t374,46.91594372070877,30.1366044383,0.0,77.05254815900877
t375,46.91594372070877,30.1366044383,0.0,77.05254815900877
