Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,7.034405180989371e7,4.745570732186827e7,19552.19140170995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1781931132316369e8
t1,8640.419988058416,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,11186.963063094767
t2,8034.760882974617,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10581.303958010967
t3,7584.020363320473,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10130.563438356823
t4,7357.134063751478,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,9903.677138787829
t5,7322.16013113212,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,9868.70320616847
t6,7496.049643129532,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10042.592718165883
t7,7868.846909810772,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10415.389984847123
t8,8205.682474455873,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10752.225549492223
t9,8776.34779801969,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,11322.89087305604
t10,9337.037582749941,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11883.580657786291
t11,9673.853298494412,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12220.396373530763
t12,9798.785720721493,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12345.328795757843
t13,9858.745816543424,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12405.288891579774
t14,9747.808782050535,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12294.351857086886
t15,9626.883978140868,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12173.427053177218
t16,9696.831843379578,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,12243.374918415928
t17,10742.525686207646,2693.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13435.525686207646
t18,11646.669367475475,2920.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14566.669367475475
t19,11578.51057627045,2903.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,14481.51057627045
t20,11223.657073543447,2815.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,14038.657073543447
t21,10809.684477412671,2710.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,13519.684477412671
t22,10231.314903269338,2565.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,12796.314903269338
t23,9355.040588801541,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,11901.583663837891
t24,8352.573592667488,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10899.116667703838
t25,7504.057261446941,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10050.60033648329
t26,6990.344415387647,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,9536.887490423996
t27,6743.467340350268,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,9290.01041538662
t28,6687.514862845748,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,9234.057937882098
t29,6889.390538045733,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,9435.933613082083
t30,7403.103384105026,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,9949.646459141375
t31,8174.67646235267,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10721.21953738902
t32,8807.333961222264,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,11353.877036258615
t33,9582.914657787318,2546.5430750363503,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,12129.457732823668
t34,10332.533241176245,2591.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,12923.533241176245
t35,10799.644779611413,2708.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,13507.644779611413
t36,10992.121153226488,2755.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,13747.121153226488
t37,10974.061606524603,2751.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13725.061606524603
