BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,7.034405180989371e7,0.0,0.0,0.0,0.0,224.60185716437456,0.0,1.2407559672257334e7,-257522.0840075458,-8.2494314e7,4.745570732186827e7,0.0,0.0,0.0,0.0,28.560000000000002,0.0,-2.374555541465947e7,-146104.46720364914,-2.3564076e7,19552.19140170995,0.0,0.0,0.0,0.0,88.683,0.0,1.1337995742402162e7,-111417.61680391198,-1.1246219e7
t1,8640.419988058416,0.0,-0.0,0.0,0.0,0.0,0.0,-777.9384565110335,-12.481531547383472,-7850.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-302.68070532496324,-1.8623697113870146,-2242.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1080.6191618359967,-10.619161835996458,-1070.0
t2,8034.760882974617,0.0,-0.0,0.0,0.0,0.0,0.0,-598.1089039691336,-12.651979005483868,-7424.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-423.9346397486499,-2.6084352877003028,-2120.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1022.0435437177835,-10.043543717783564,-1012.0
t3,7584.020363320473,0.0,-0.0,0.0,0.0,0.0,0.0,-464.2386441420613,-12.78171917841161,-7107.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-514.3781482122196,-3.164926824130708,-2029.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,978.6167923542808,-9.616792354280902,-969.0
t4,7357.134063751478,0.0,-0.0,0.0,0.0,0.0,0.0,-397.2954943575637,-12.838569393913911,-6947.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-559.1029600898089,-3.440114946541347,-1984.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,956.3984544473726,-9.398454447372565,-947.0
t5,7322.16013113212,0.0,-0.0,0.0,0.0,0.0,0.0,-387.3085280478855,-12.851603084235743,-6922.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-566.060153048545,-3.482921987805224,-1977.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,953.3686810964305,-9.36868109643052,-944.0
t6,7496.049643129532,0.0,-0.0,0.0,0.0,0.0,0.0,-438.25328404659035,-12.796359082940603,-7045.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-531.2741882548644,-3.2688867814858376,-2012.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,969.5274723014547,-9.527472301454765,-960.0
t7,7868.846909810772,0.0,-0.0,0.0,0.0,0.0,0.0,-549.1519173872108,-12.694992423560759,-7307.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-456.7328351255486,-2.810239910801438,-2087.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1005.8847525127594,-9.88475251275932,-996.0
t8,8205.682474455873,0.0,-0.0,0.0,0.0,0.0,0.0,-649.0696997097614,-12.612774746111869,-7544.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-390.1425596633603,-2.4005153729900437,-2154.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1039.2122593731217,-10.212259373121825,-1029.0
t9,8776.34779801969,0.0,-0.0,0.0,0.0,0.0,0.0,-817.9023614916692,-12.44543652801929,-7946.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-275.84581819840946,-1.6972568379406303,-2269.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1093.7481796900788,-10.748179690078658,-1083.0
t10,9337.037582749941,0.0,-0.0,0.0,0.0,0.0,0.0,-984.7472538567949,-12.29032889314496,-8340.0,2546.5430750363503,0.0,-0.0,0.0,0.0,0.0,0.0,-163.53684615024068,-1.0062288861094695,-2382.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1148.2841000070357,-11.284100007035489,-1137.0
