Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-47.58646077002978
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-40.00118039575321
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-40.00118039575321
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-40.00118039575321
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-40.00118039575321
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-40.00118039575321
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-40.00118039575321
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.73859709707475,-40.00118039575321
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-40.00118039575321
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-40.00118039575321
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-40.00118039575321
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-40.00118039575321
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-40.00118039575321
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-47.58646077002978
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-47.58646077002978
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-47.58646077002978
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-38.84608000000001,-47.58646077002978
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.219968,-46.09475082357602,-47.58646077002978
