NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 10Hr
0.0,0.0,0.0,0.0,13.856964298227581
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9662.16025163515
0.0,0.0,0.0,0.0,10244.663182960609
0.0,0.0,0.0,0.0,10348.000236270356
0.0,0.0,0.0,0.0,7683.698225405853
0.0,0.0,0.0,0.0,15365.852345509837
0.0,0.0,0.0,0.0,7720.252559897716
0.0,0.0,0.0,0.0,1158.0378839846617
0.0,0.0,0.0,0.0,173.70568259769925
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,166.60600997860254
0.0,0.0,0.0,0.0,1154.8044961226972
0.0,0.0,0.0,0.0,1316.1654428266907
0.0,0.0,0.0,0.0,994.9203390502141
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4732.048452373384
0.0,0.0,0.0,0.0,4173.719795024478
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,538.094825744629
0.0,0.0,0.0,0.0,4689.830426082772
0.0,0.0,0.0,0.0,9046.115479637194
0.0,0.0,0.0,0.0,11420.214040242228
0.0,0.0,0.0,0.0,10856.26675237873
0.0,0.0,0.0,0.0,7429.724550953701
0.0,0.0,0.0,0.0,4551.912821127786
0.0,0.0,0.0,0.0,4848.400530700587
0.0,0.0,0.0,0.0,5572.540704424028
0.0,0.0,0.0,0.0,17403.906531632067
0.0,0.0,0.0,0.0,17556.08674650139
0.0,0.0,0.0,0.0,17556.08674650139
0.0,0.0,0.0,0.0,17556.08674650139
0.0,0.0,0.0,0.0,17556.08674650139
0.0,0.0,0.0,0.0,17556.08674650139
0.0,0.0,0.0,0.0,17556.08674650139
0.0,0.0,0.0,0.0,17556.08674650139
0.0,0.0,0.0,0.0,6198.69565984547
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
