Time_Index,Coal-new,NG Combustion Turbine (F-Frame),NG 2-on-1 Combined Cycle (H-Frame) 95% CCS,NG 2-on-1 Combined Cycle (F-Frame),RICE,HTGR,Microreactor,PBR-HTGR,iPWR_Pack,Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 10Hr
0,1,1,1,1,1,1,1,1,1,0.3591882119878238,0.0,1
1,1,1,1,1,1,1,1,1,1,0.341951677332016,0.0,1
2,1,1,1,1,1,1,1,1,1,0.3271465108016441,0.0,1
3,1,1,1,1,1,1,1,1,1,0.3210439605968765,0.0,1
4,1,1,1,1,1,1,1,1,1,0.3114093374241428,0.0,1
5,1,1,1,1,1,1,1,1,1,0.2946954033185857,0.0,1
6,1,1,1,1,1,1,1,1,1,0.2740677138697927,0.0,1
7,1,1,1,1,1,1,1,1,1,0.2544596389312921,0.010627124458169,1
8,1,1,1,1,1,1,1,1,1,0.2270734917188918,0.2077666509008409,1
9,1,1,1,1,1,1,1,1,1,0.1990252628935448,0.5312638125994995,1
10,1,1,1,1,1,1,1,1,1,0.1682166594294896,0.5717953539536328,1
11,1,1,1,1,1,1,1,1,1,0.1381243446647276,0.5916902324528641,1
12,1,1,1,1,1,1,1,1,1,0.1096376846580638,0.6591130733350549,1
13,1,1,1,1,1,1,1,1,1,0.0970619915223785,0.7055235797934702,1
14,1,1,1,1,1,1,1,1,1,0.0861736610063208,0.6593091100523684,1
15,1,1,1,1,1,1,1,1,1,0.0764377760923461,0.6967183759199396,1
16,1,1,1,1,1,1,1,1,1,0.0678477390396708,0.4796128159927041,1
17,1,1,1,1,1,1,1,1,1,0.068946033183153,0.0834725421636124,1
18,1,1,1,1,1,1,1,1,1,0.0942081187628085,2.2469712348780523e-05,1
19,1,1,1,1,1,1,1,1,1,0.1260681619294346,0.0,1
20,1,1,1,1,1,1,1,1,1,0.1521071208782695,0.0,1
21,1,1,1,1,1,1,1,1,1,0.1727956893268165,0.0,1
22,1,1,1,1,1,1,1,1,1,0.1865708267628326,0.0,1
23,1,1,1,1,1,1,1,1,1,0.2028323067876349,0.0,1
24,1,1,1,1,1,1,1,1,1,0.2141393423497547,0.0,1
25,1,1,1,1,1,1,1,1,1,0.2147676622513403,0.0,1
26,1,1,1,1,1,1,1,1,1,0.2154397082680771,0.0,1
27,1,1,1,1,1,1,1,1,1,0.2116320719867745,0.0,1
28,1,1,1,1,1,1,1,1,1,0.1972833703798563,0.0,1
29,1,1,1,1,1,1,1,1,1,0.1821708329465576,0.0,1
30,1,1,1,1,1,1,1,1,1,0.1687087831014005,0.0,1
31,1,1,1,1,1,1,1,1,1,0.1456214597580394,0.011563978501311,1
32,1,1,1,1,1,1,1,1,1,0.1167116197275912,0.2042302002968646,1
33,1,1,1,1,1,1,1,1,1,0.0947639353316003,0.1129648237567332,1
34,1,1,1,1,1,1,1,1,1,0.0828938931393992,0.1568945708416251,1
35,1,1,1,1,1,1,1,1,1,0.078055299086799,0.2022811476161474,1
36,1,1,1,1,1,1,1,1,1,0.0808419300568427,0.2488062633070245,1
37,1,1,1,1,1,1,1,1,1,0.0929798106911753,0.2629138177273568,1
38,1,1,1,1,1,1,1,1,1,0.1089426314642303,0.3757181266933161,1
39,1,1,1,1,1,1,1,1,1,0.1269932155629534,0.3631959835151804,1
40,1,1,1,1,1,1,1,1,1,0.1392410317755328,0.2807800733011744,1
41,1,1,1,1,1,1,1,1,1,0.1517724401334776,0.0660215832723381,1
42,1,1,1,1,1,1,1,1,1,0.1676560245955337,2.765503058311449e-05,1
43,1,1,1,1,1,1,1,1,1,0.1680503515138766,0.0,1
44,1,1,1,1,1,1,1,1,1,0.1650094063124544,0.0,1
45,1,1,1,1,1,1,1,1,1,0.1899041043606216,0.0,1
46,1,1,1,1,1,1,1,1,1,0.2558866877339966,0.0,1
47,1,1,1,1,1,1,1,1,1,0.3527960891508619,0.0,1
48,1,1,1,1,1,1,1,1,1,0.4573131740304457,0.0,1
49,1,1,1,1,1,1,1,1,1,0.5245757387288417,0.0,1
50,1,1,1,1,1,1,1,1,1,0.5708099388477947,0.0,1
51,1,1,1,1,1,1,1,1,1,0.5867405772453561,0.0,1
52,1,1,1,1,1,1,1,1,1,0.5811375106143694,0.0,1
53,1,1,1,1,1,1,1,1,1,0.5800230980175634,0.0,1
54,1,1,1,1,1,1,1,1,1,0.5832688546425697,0.0,1
55,1,1,1,1,1,1,1,1,1,0.550756809605327,0.0178899165650185,1
56,1,1,1,1,1,1,1,1,1,0.4774984439317072,0.3146392564271474,1
57,1,1,1,1,1,1,1,1,1,0.303186787528094,0.7381566957032606,1
58,1,1,1,1,1,1,1,1,1,0.1488979174327368,0.8425794472489478,1
59,1,1,1,1,1,1,1,1,1,0.0994656299013474,0.8015596628595294,1
60,1,1,1,1,1,1,1,1,1,0.0814355580428294,0.7724857665421477,1
61,1,1,1,1,1,1,1,1,1,0.0610989042404158,0.7897311836436873,1
62,1,1,1,1,1,1,1,1,1,0.0483650061429869,0.8294787226773135,1
63,1,1,1,1,1,1,1,1,1,0.0359800755997674,0.8285567630446938,1
64,1,1,1,1,1,1,1,1,1,0.0294091994561614,0.5784837978711678,1
65,1,1,1,1,1,1,1,1,1,0.0267831665813953,0.1127878087712075,1
66,1,1,1,1,1,1,1,1,1,0.0273920758749366,1.7284394114446556e-06,1
67,1,1,1,1,1,1,1,1,1,0.0315040700434592,0.0,1
68,1,1,1,1,1,1,1,1,1,0.0394499728433805,0.0,1
69,1,1,1,1,1,1,1,1,1,0.0494306497052336,0.0,1
70,1,1,1,1,1,1,1,1,1,0.0624925336014758,0.0,1
71,1,1,1,1,1,1,1,1,1,0.0860605366482355,0.0,1
72,1,1,1,1,1,1,1,1,1,0.1110858896356437,0.0,1
73,1,1,1,1,1,1,1,1,1,0.1328784969547255,0.0,1
74,1,1,1,1,1,1,1,1,1,0.1486409446807388,0.0,1
75,1,1,1,1,1,1,1,1,1,0.1668877406608546,0.0,1
76,1,1,1,1,1,1,1,1,1,0.1883794462535178,0.0,1
77,1,1,1,1,1,1,1,1,1,0.2137725380869896,0.0,1
78,1,1,1,1,1,1,1,1,1,0.2395813740476437,0.0,1
79,1,1,1,1,1,1,1,1,1,0.2668448492419576,0.0295650201490353,1
80,1,1,1,1,1,1,1,1,1,0.303282781553262,0.3407603912645608,1
81,1,1,1,1,1,1,1,1,1,0.2579851237382546,0.7199872504112236,1
82,1,1,1,1,1,1,1,1,1,0.1773276254476616,0.7693013382308218,1
83,1,1,1,1,1,1,1,1,1,0.1497455308061804,0.6564526805183297,1
84,1,1,1,1,1,1,1,1,1,0.1420258989418172,0.5428502746406748,1
85,1,1,1,1,1,1,1,1,1,0.1324218662953213,0.5565115524065993,1
86,1,1,1,1,1,1,1,1,1,0.1165439071536209,0.5850020648935863,1
87,1,1,1,1,1,1,1,1,1,0.1191955941157363,0.4962700534206284,1
88,1,1,1,1,1,1,1,1,1,0.1432139719736249,0.2308503909024232,1
89,1,1,1,1,1,1,1,1,1,0.2167199327896512,0.0226454026455379,1
90,1,1,1,1,1,1,1,1,1,0.3148494694630441,6.913757645778623e-06,1
91,1,1,1,1,1,1,1,1,1,0.3779773490088919,0.0,1
92,1,1,1,1,1,1,1,1,1,0.3985588645995227,0.0,1
93,1,1,1,1,1,1,1,1,1,0.3888620387672594,0.0,1
94,1,1,1,1,1,1,1,1,1,0.3747981003076449,0.0,1
95,1,1,1,1,1,1,1,1,1,0.3618959492625029,0.0,1
96,1,1,1,1,1,1,1,1,1,0.3532486251349436,0.0,1
97,1,1,1,1,1,1,1,1,1,0.3374644959873077,0.0,1
98,1,1,1,1,1,1,1,1,1,0.3189722946460852,0.0,1
99,1,1,1,1,1,1,1,1,1,0.3030620469138139,0.0,1
100,1,1,1,1,1,1,1,1,1,0.2927846644794585,0.0,1
101,1,1,1,1,1,1,1,1,1,0.2765940277976322,0.0,1
102,1,1,1,1,1,1,1,1,1,0.2621579188975548,0.0,1
103,1,1,1,1,1,1,1,1,1,0.2545959748116257,0.0070661594620364,1
104,1,1,1,1,1,1,1,1,1,0.2357329641110223,0.2378260845498438,1
105,1,1,1,1,1,1,1,1,1,0.1445449253097207,0.5841814751596665,1
106,1,1,1,1,1,1,1,1,1,0.0754726456822537,0.6272863126284195,1
107,1,1,1,1,1,1,1,1,1,0.0476020093959383,0.6560366029652701,1
108,1,1,1,1,1,1,1,1,1,0.0340284151604029,0.6207393997315211,1
109,1,1,1,1,1,1,1,1,1,0.0298026444641828,0.6501391696139093,1
110,1,1,1,1,1,1,1,1,1,0.0272217651720043,0.6004130667780471,1
111,1,1,1,1,1,1,1,1,1,0.0287339585385944,0.667243832468287,1
112,1,1,1,1,1,1,1,1,1,0.0356716585132865,0.5225668520520617,1
113,1,1,1,1,1,1,1,1,1,0.0603802835623319,0.1028965512603598,1
114,1,1,1,1,1,1,1,1,1,0.0984720824899233,4.321098528611639e-05,1
115,1,1,1,1,1,1,1,1,1,0.1546585002302757,0.0,1
116,1,1,1,1,1,1,1,1,1,0.2133089669668165,0.0,1
117,1,1,1,1,1,1,1,1,1,0.2701095750474732,0.0,1
118,1,1,1,1,1,1,1,1,1,0.2984350556232101,0.0,1
119,1,1,1,1,1,1,1,1,1,0.3092783711565671,0.0,1
120,1,1,1,1,1,1,1,1,1,0.319369430261209,0.0,1
121,1,1,1,1,1,1,1,1,1,0.3033459491983184,0.0,1
122,1,1,1,1,1,1,1,1,1,0.272559599256239,0.0,1
123,1,1,1,1,1,1,1,1,1,0.2409287318066698,0.0,1
124,1,1,1,1,1,1,1,1,1,0.2091070129631356,0.0,1
125,1,1,1,1,1,1,1,1,1,0.1865160048858113,0.0,1
126,1,1,1,1,1,1,1,1,1,0.1727307387680625,0.0,1
127,1,1,1,1,1,1,1,1,1,0.1630781487074829,0.0299426225127636,1
128,1,1,1,1,1,1,1,1,1,0.1658961033672335,0.3084997637143943,1
129,1,1,1,1,1,1,1,1,1,0.1331407652010744,0.5371321018377163,1
130,1,1,1,1,1,1,1,1,1,0.0996920349117177,0.6219011865420574,1
131,1,1,1,1,1,1,1,1,1,0.1057304007725192,0.6877413110111431,1
