NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 2Hr
0.0,0.0,0.0,0.0,26078.900250718503
0.0,0.0,0.0,0.0,26078.900250718503
0.0,0.0,0.0,0.0,25638.715142238212
0.0,0.0,0.0,0.0,25025.08448966468
0.0,0.0,0.0,0.0,24972.20735465461
0.0,0.0,0.0,0.0,24181.957381928572
0.0,0.0,0.0,0.0,21604.477840004776
0.0,0.0,0.0,0.0,17891.980008163846
0.0,0.0,0.0,0.0,15825.873947412361
0.0,0.0,0.0,0.0,18678.115118298912
0.0,0.0,0.0,0.0,21219.494696184294
0.0,0.0,0.0,0.0,24080.412355184173
0.0,0.0,0.0,0.0,25779.127066388355
0.0,0.0,0.0,0.0,26033.934273068982
0.0,0.0,0.0,0.0,26072.155354071074
0.0,0.0,0.0,0.0,26077.88851622139
0.0,0.0,0.0,0.0,26078.318503382663
0.0,0.0,0.0,0.0,19146.681608452047
0.0,0.0,0.0,0.0,13269.902597766542
0.0,0.0,0.0,0.0,9528.695766310611
0.0,0.0,0.0,0.0,8948.521620972475
0.0,0.0,0.0,0.0,9405.06482214435
0.0,0.0,0.0,0.0,9846.94130651935
0.0,0.0,0.0,0.0,15236.365749698914
0.0,0.0,0.0,0.0,17257.376025361256
0.0,0.0,0.0,0.0,19404.172674821388
0.0,0.0,0.0,0.0,21206.142628457954
0.0,0.0,0.0,0.0,21742.293855319684
0.0,0.0,0.0,0.0,21742.293855319684
0.0,0.0,0.0,0.0,21155.280388310453
0.0,0.0,0.0,0.0,18676.792587127773
0.0,0.0,0.0,0.0,14634.991950612048
0.0,0.0,0.0,0.0,14161.022274916206
0.0,0.0,0.0,0.0,9669.29156370739
0.0,0.0,0.0,0.0,6607.597278977458
0.0,0.0,0.0,0.0,5929.110376403929
0.0,0.0,0.0,0.0,6741.933206673829
0.0,0.0,0.0,0.0,8555.127163549249
0.0,0.0,0.0,0.0,13263.582193742297
