Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
5000.0,1.0,1.0,1.0,2000.0,1.0,8686.0,8686.0,1,50699.578125
,,,,,,,,2,50811.015625
,,,,,,,,3,51228.93359375
,,,,,,,,4,52158.60546875
,,,,,,,,5,53510.66796875
,,,,,,,,6,54709.17578125
,,,,,,,,7,55260.15234375
,,,,,,,,8,55814.41796875
,,,,,,,,9,56115.23046875
,,,,,,,,10,55729.27734375
,,,,,,,,11,54888.97265625
,,,,,,,,12,53525.359375
,,,,,,,,13,52135.625
,,,,,,,,14,51089.9375
,,,,,,,,15,50833.25390625
,,,,,,,,16,52073.26171875
,,,,,,,,17,55731.578125
,,,,,,,,18,57228.02734375
,,,,,,,,19,57304.34765625
,,,,,,,,20,57080.421875
,,,,,,,,21,55684.32421875
,,,,,,,,22,53710.96484375
,,,,,,,,23,51985.46875
,,,,,,,,24,50886.56640625
,,,,,,,,25,50361.74609375
,,,,,,,,26,50245.15625
,,,,,,,,27,50614.28515625
,,,,,,,,28,51913.234375
,,,,,,,,29,54458.12890625
,,,,,,,,30,57013.90625
,,,,,,,,31,58020.203125
,,,,,,,,32,58612.76953125
,,,,,,,,33,59101.23046875
,,,,,,,,34,59083.46875
,,,,,,,,35,58413.96484375
,,,,,,,,36,57671.38671875
,,,,,,,,37,57136.04296875
,,,,,,,,38,56931.421875
,,,,,,,,39,57247.87890625
,,,,,,,,40,58493.79296875
,,,,,,,,41,61227.05078125
,,,,,,,,42,62006.42578125
,,,,,,,,43,61617.45703125
,,,,,,,,44,60635.37890625
,,,,,,,,45,58624.11328125
,,,,,,,,46,56163.26171875
,,,,,,,,47,54507.65625
,,,,,,,,48,53809.484375
,,,,,,,,49,53711.3125
,,,,,,,,50,54147.5625
,,,,,,,,51,55067.70703125
,,,,,,,,52,56766.73046875
,,,,,,,,53,59794.046875
,,,,,,,,54,62592.45703125
,,,,,,,,55,62527.234375
,,,,,,,,56,60341.68359375
,,,,,,,,57,57474.74609375
,,,,,,,,58,54254.859375
,,,,,,,,59,51127.01171875
,,,,,,,,60,48207.921875
,,,,,,,,61,45848.95703125
,,,,,,,,62,43885.04296875
,,,,,,,,63,42971.08984375
,,,,,,,,64,43655.921875
,,,,,,,,65,47538.859375
,,,,,,,,66,50126.84375
,,,,,,,,67,51028.31640625
,,,,,,,,68,51428.53515625
,,,,,,,,69,50596.00390625
,,,,,,,,70,48942.61328125
,,,,,,,,71,47708.12890625
,,,,,,,,72,47265.27734375
,,,,,,,,73,47277.10546875
,,,,,,,,74,47762.515625
,,,,,,,,75,48646.78515625
,,,,,,,,76,50577.609375
,,,,,,,,77,53716.99609375
,,,,,,,,78,56824.421875
,,,,,,,,79,56826.05078125
,,,,,,,,80,54353.74609375
,,,,,,,,81,51007.08203125
,,,,,,,,82,47980.578125
,,,,,,,,83,45368.45703125
,,,,,,,,84,43164.47265625
,,,,,,,,85,41524.90625
,,,,,,,,86,40474.8515625
,,,,,,,,87,40544.08203125
,,,,,,,,88,41734.24609375
,,,,,,,,89,45006.83203125
,,,,,,,,90,46491.46484375
,,,,,,,,91,46756.98828125
,,,,,,,,92,46429.16015625
,,,,,,,,93,44933.58984375
,,,,,,,,94,42839.7421875
,,,,,,,,95,41237.33203125
,,,,,,,,96,40330.76953125
,,,,,,,,97,40063.46484375
,,,,,,,,98,40207.0
,,,,,,,,99,40956.88671875
,,,,,,,,100,42625.81640625
,,,,,,,,101,45544.05078125
,,,,,,,,102,48515.19921875
,,,,,,,,103,48874.125
,,,,,,,,104,47589.94140625
,,,,,,,,105,45834.76953125
,,,,,,,,106,43854.29296875
,,,,,,,,107,41678.109375
,,,,,,,,108,39722.87890625
,,,,,,,,109,38307.30078125
,,,,,,,,110,37184.66796875
,,,,,,,,111,36549.796875
,,,,,,,,112,36948.28515625
,,,,,,,,113,39443.5078125
,,,,,,,,114,40986.1875
,,,,,,,,115,41245.9140625
,,,,,,,,116,41339.08984375
,,,,,,,,117,40889.6640625
,,,,,,,,118,39706.16796875
,,,,,,,,119,38454.55078125
,,,,,,,,120,37638.78515625
,,,,,,,,121,37383.42578125
,,,,,,,,122,37552.671875
,,,,,,,,123,38143.31640625
,,,,,,,,124,39117.76171875
,,,,,,,,125,40601.18359375
,,,,,,,,126,42337.04296875
,,,,,,,,127,43457.95703125
,,,,,,,,128,43207.3203125
,,,,,,,,129,42021.33984375
,,,,,,,,130,40168.13671875
,,,,,,,,131,38269.35546875
,,,,,,,,132,36464.90234375
,,,,,,,,133,35170.73046875
,,,,,,,,134,34276.109375
,,,,,,,,135,34091.5546875
,,,,,,,,136,34579.38671875
,,,,,,,,137,36761.63671875
,,,,,,,,138,37905.35546875
,,,,,,,,139,37748.50390625
,,,,,,,,140,37402.15234375
,,,,,,,,141,36585.02734375
,,,,,,,,142,35312.7578125
,,,,,,,,143,33833.33984375
,,,,,,,,144,32715.523437500004
,,,,,,,,145,31992.794921875
,,,,,,,,146,31591.9140625
,,,,,,,,147,31558.427734375
,,,,,,,,148,31868.474609375
,,,,,,,,149,32695.1953125
,,,,,,,,150,33744.484375
,,,,,,,,151,34714.73828125
,,,,,,,,152,35895.38671875
,,,,,,,,153,36387.86328125
,,,,,,,,154,36316.8828125
,,,,,,,,155,36102.609375
,,,,,,,,156,35873.90234375
,,,,,,,,157,35641.94140625
,,,,,,,,158,35308.40234375
,,,,,,,,159,35445.04296875
,,,,,,,,160,36067.26171875
,,,,,,,,161,37690.0
,,,,,,,,162,38123.57421875
,,,,,,,,163,37676.609375
,,,,,,,,164,36769.63671875
,,,,,,,,165,35271.9765625
,,,,,,,,166,33255.5546875
,,,,,,,,167,31508.59375
,,,,,,,,168,30516.234375
,,,,,,,,169,30188.009765625
,,,,,,,,170,30350.1953125
,,,,,,,,171,31192.935546875
,,,,,,,,172,33115.81640625
,,,,,,,,173,36629.76171875
,,,,,,,,174,40408.01171875
,,,,,,,,175,40960.609375
,,,,,,,,176,40255.80078125
,,,,,,,,177,39511.54296875
,,,,,,,,178,38731.0546875
,,,,,,,,179,37866.8125
,,,,,,,,180,37065.5625
,,,,,,,,181,36454.890625
,,,,,,,,182,35835.99609375
,,,,,,,,183,35570.94921875
,,,,,,,,184,35944.36328125
,,,,,,,,185,38258.453125
,,,,,,,,186,39877.51171875
,,,,,,,,187,39928.390625
,,,,,,,,188,39510.42578125
,,,,,,,,189,38067.26171875
,,,,,,,,190,36242.83984375
,,,,,,,,191,34781.0625
,,,,,,,,192,33827.01953125
,,,,,,,,193,33793.453125
,,,,,,,,194,34388.58203125
,,,,,,,,195,35405.19140625
,,,,,,,,196,37513.01171875
,,,,,,,,197,41345.25390625
,,,,,,,,198,45440.12890625
,,,,,,,,199,45434.375
,,,,,,,,200,44191.70703125
,,,,,,,,201,42784.40234375
,,,,,,,,202,41524.53515625
,,,,,,,,203,40177.33203125
,,,,,,,,204,39028.1484375
,,,,,,,,205,38066.58984375
,,,,,,,,206,37456.54296875
,,,,,,,,207,37315.31640625
,,,,,,,,208,37991.08984375
,,,,,,,,209,40344.83984375
,,,,,,,,210,41935.09765625
,,,,,,,,211,41846.48828125
,,,,,,,,212,41141.36328125
,,,,,,,,213,39335.09375
,,,,,,,,214,36962.94140625
,,,,,,,,215,34987.52734375
,,,,,,,,216,33934.0234375
,,,,,,,,217,33554.85546875
,,,,,,,,218,33483.36328125
,,,,,,,,219,33838.11328125
,,,,,,,,220,35301.015625
,,,,,,,,221,38568.5859375
,,,,,,,,222,42055.53515625
,,,,,,,,223,42001.27734375
,,,,,,,,224,41458.35546875
,,,,,,,,225,41147.52734375
,,,,,,,,226,40527.26171875
,,,,,,,,227,39834.25
,,,,,,,,228,39049.76953125
,,,,,,,,229,38374.23828125
,,,,,,,,230,37599.64453125
,,,,,,,,231,37108.00390625
,,,,,,,,232,37084.078125
,,,,,,,,233,39186.59765625
,,,,,,,,234,40427.890625
,,,,,,,,235,39893.1484375
,,,,,,,,236,39096.921875
,,,,,,,,237,37224.87890625
,,,,,,,,238,34695.78515625
,,,,,,,,239,32516.861328125004
,,,,,,,,240,31104.978515625
,,,,,,,,241,30327.421875
,,,,,,,,242,29997.560546875
,,,,,,,,243,30142.7578125
,,,,,,,,244,31449.607421875
,,,,,,,,245,34496.40234375
,,,,,,,,246,37911.66796875
,,,,,,,,247,38145.24609375
,,,,,,,,248,37805.96484375
,,,,,,,,249,37743.21484375
,,,,,,,,250,37938.9609375
,,,,,,,,251,38084.546875
,,,,,,,,252,38425.875
,,,,,,,,253,39086.89453125
,,,,,,,,254,39671.41015625
,,,,,,,,255,40733.37890625
,,,,,,,,256,42118.15234375
,,,,,,,,257,44585.734375
,,,,,,,,258,46536.44921875
,,,,,,,,259,47247.71875
,,,,,,,,260,47482.15234375
,,,,,,,,261,46518.796875
,,,,,,,,262,44793.38671875
,,,,,,,,263,43562.65234375
,,,,,,,,264,43220.94921875
,,,,,,,,265,43461.37890625
,,,,,,,,266,44069.8125
