NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 2Hr
0.0,0.0,0.0,0.0,90382.70878562758
0.0,0.0,0.0,0.0,90425.83137169691
0.0,0.0,0.0,0.0,90323.61984777534
0.0,0.0,0.0,0.0,89895.33051986624
0.0,0.0,0.0,0.0,88089.32135917364
0.0,0.0,0.0,0.0,84412.56226188027
0.0,0.0,0.0,0.0,78290.53525143338
0.0,0.0,0.0,0.0,70803.78342379528
0.0,0.0,0.0,0.0,69730.16345351019
0.0,0.0,0.0,0.0,77582.85328036411
0.0,0.0,0.0,0.0,81883.12972770573
0.0,0.0,0.0,0.0,86176.57998204247
0.0,0.0,0.0,0.0,89351.75923865914
0.0,0.0,0.0,0.0,89836.92447090165
0.0,0.0,0.0,0.0,90343.96372448801
0.0,0.0,0.0,0.0,90420.01961252598
0.0,0.0,0.0,0.0,90425.72380412882
0.0,0.0,0.0,0.0,75876.81070573634
0.0,0.0,0.0,0.0,63240.74654467777
0.0,0.0,0.0,0.0,53642.542008946744
0.0,0.0,0.0,0.0,47955.288970141024
0.0,0.0,0.0,0.0,46391.99909590209
0.0,0.0,0.0,0.0,47154.37072911198
0.0,0.0,0.0,0.0,47154.37072911198
0.0,0.0,0.0,0.0,47411.73585761623
0.0,0.0,0.0,0.0,47737.93044432981
0.0,0.0,0.0,0.0,47929.96445939448
0.0,0.0,0.0,0.0,47929.96445939448
0.0,0.0,0.0,0.0,47455.138390017615
0.0,0.0,0.0,0.0,42822.78664997691
0.0,0.0,0.0,0.0,35833.75818707669
0.0,0.0,0.0,0.0,26749.809067745096
0.0,0.0,0.0,0.0,24795.015359973662
0.0,0.0,0.0,0.0,16106.739587224936
0.0,0.0,0.0,0.0,9502.81809831676
0.0,0.0,0.0,0.0,5759.087988053499
0.0,0.0,0.0,0.0,5319.052364581401
0.0,0.0,0.0,0.0,6506.8760068276215
0.0,0.0,0.0,0.0,12754.717919052177
0.0,0.0,0.0,0.0,18599.671944521942
0.0,0.0,0.0,0.0,19732.93457752496
0.0,0.0,0.0,0.0,19003.447215392607
0.0,0.0,0.0,0.0,14431.387250736421
0.0,0.0,0.0,0.0,11640.420538739849
0.0,0.0,0.0,0.0,3618.624157514475
0.0,0.0,0.0,0.0,479.35659484980505
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,414.9530170556653
0.0,0.0,0.0,0.0,3105.5387469438615
0.0,0.0,0.0,0.0,5161.761253727585
0.0,0.0,0.0,0.0,5670.010652165085
0.0,0.0,0.0,0.0,6202.046536930709
0.0,0.0,0.0,0.0,6202.046536930709
0.0,0.0,0.0,0.0,6202.046536930709
