NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 2Hr
0.0,0.0,0.0,0.0,90238.96683206312
0.0,0.0,0.0,0.0,90321.61845536268
0.0,0.0,0.0,0.0,90199.31558478842
0.0,0.0,0.0,0.0,88836.97923160749
0.0,0.0,0.0,0.0,85044.61984030825
0.0,0.0,0.0,0.0,78386.15569222471
0.0,0.0,0.0,0.0,69282.42452856344
0.0,0.0,0.0,0.0,58382.23062380213
0.0,0.0,0.0,0.0,55202.04099368444
0.0,0.0,0.0,0.0,59119.94143170803
0.0,0.0,0.0,0.0,63359.502653403724
0.0,0.0,0.0,0.0,67160.12003863418
0.0,0.0,0.0,0.0,72933.56207821058
0.0,0.0,0.0,0.0,83086.60955172229
0.0,0.0,0.0,0.0,89331.41648661112
0.0,0.0,0.0,0.0,90268.13752684444
0.0,0.0,0.0,0.0,90408.64568287943
0.0,0.0,0.0,0.0,80089.22709675592
0.0,0.0,0.0,0.0,67453.162540764
0.0,0.0,0.0,0.0,57854.95850767544
0.0,0.0,0.0,0.0,52167.70765895472
0.0,0.0,0.0,0.0,50604.41853867948
0.0,0.0,0.0,0.0,51808.66574836643
0.0,0.0,0.0,0.0,54970.53318303476
0.0,0.0,0.0,0.0,59290.19903354641
0.0,0.0,0.0,0.0,63748.516993103694
0.0,0.0,0.0,0.0,67935.37598020057
0.0,0.0,0.0,0.0,70778.46189739592
0.0,0.0,0.0,0.0,70423.4670975157
0.0,0.0,0.0,0.0,65791.11733214182
0.0,0.0,0.0,0.0,58802.08944369015
0.0,0.0,0.0,0.0,49718.139678103966
0.0,0.0,0.0,0.0,47763.34579081736
0.0,0.0,0.0,0.0,39075.06926410496
0.0,0.0,0.0,0.0,32471.14957034842
0.0,0.0,0.0,0.0,28727.419460085162
0.0,0.0,0.0,0.0,28287.38324815831
0.0,0.0,0.0,0.0,29475.20577498705
0.0,0.0,0.0,0.0,35723.047583451844
0.0,0.0,0.0,0.0,41568.00116794262
0.0,0.0,0.0,0.0,42701.26380094565
0.0,0.0,0.0,0.0,33050.035954867824
0.0,0.0,0.0,0.0,21763.490870731344
0.0,0.0,0.0,0.0,11640.422186689086
0.0,0.0,0.0,0.0,3618.623794893847
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,397.54071790131496
0.0,0.0,0.0,0.0,2860.3818940622077
0.0,0.0,0.0,0.0,4881.780335084226
0.0,0.0,0.0,0.0,4881.780335084226
0.0,0.0,0.0,0.0,4881.780335084226
0.0,0.0,0.0,0.0,4881.780335084226
0.0,0.0,0.0,0.0,4881.780335084226
0.0,0.0,0.0,0.0,11486.716361740782
0.0,0.0,0.0,0.0,26091.961419801642
0.0,0.0,0.0,0.0,37647.373093782306
0.0,0.0,0.0,0.0,47000.1203603543
0.0,0.0,0.0,0.0,56108.59090875492
0.0,0.0,0.0,0.0,66267.41803336795
0.0,0.0,0.0,0.0,77925.27991325148
0.0,0.0,0.0,0.0,88557.21704084042
0.0,0.0,0.0,0.0,90152.00760997884
0.0,0.0,0.0,0.0,78556.10231246268
0.0,0.0,0.0,0.0,64010.90976351948
0.0,0.0,0.0,0.0,50053.13842987782
0.0,0.0,0.0,0.0,37767.05306628856
0.0,0.0,0.0,0.0,28295.64059453709
0.0,0.0,0.0,0.0,21414.49572243765
0.0,0.0,0.0,0.0,17107.57010333428
0.0,0.0,0.0,0.0,14966.907070542466
0.0,0.0,0.0,0.0,14153.721357052034
0.0,0.0,0.0,0.0,13627.41529203889
0.0,0.0,0.0,0.0,12465.199848760722
0.0,0.0,0.0,0.0,9481.922294074846
0.0,0.0,0.0,0.0,5055.066288255825
0.0,0.0,0.0,0.0,1278.9116354549635
0.0,0.0,0.0,0.0,639.4558177274818
0.0,0.0,0.0,0.0,2786.4359136518538
0.0,0.0,0.0,0.0,19192.083938941218
0.0,0.0,0.0,0.0,34631.593590659264
0.0,0.0,0.0,0.0,45882.42615158697
0.0,0.0,0.0,0.0,53686.144677008815
0.0,0.0,0.0,0.0,62301.594130553254
0.0,0.0,0.0,0.0,70950.94211327782
0.0,0.0,0.0,0.0,75354.0948639209
0.0,0.0,0.0,0.0,70992.2711335907
0.0,0.0,0.0,0.0,60240.715660033005
0.0,0.0,0.0,0.0,56524.56806142519
0.0,0.0,0.0,0.0,56524.56806142519
0.0,0.0,0.0,0.0,56837.38512890166
0.0,0.0,0.0,0.0,58250.504799097995
0.0,0.0,0.0,0.0,60140.44095015008
0.0,0.0,0.0,0.0,61988.8508062721
0.0,0.0,0.0,0.0,63520.177012901986
0.0,0.0,0.0,0.0,63935.991896180654
0.0,0.0,0.0,0.0,63935.991896180654
0.0,0.0,0.0,0.0,63743.64263255989
0.0,0.0,0.0,0.0,59531.85219011485
0.0,0.0,0.0,0.0,50414.08695866156
0.0,0.0,0.0,0.0,39616.39575876814
0.0,0.0,0.0,0.0,30045.63439283045
0.0,0.0,0.0,0.0,30045.63439283045
0.0,0.0,0.0,0.0,37612.32432953341
0.0,0.0,0.0,0.0,44333.51673988436
0.0,0.0,0.0,0.0,52064.50079833376
0.0,0.0,0.0,0.0,58791.27067043461
0.0,0.0,0.0,0.0,67333.30689914506
0.0,0.0,0.0,0.0,74346.3293991383
0.0,0.0,0.0,0.0,83677.71858995958
0.0,0.0,0.0,0.0,85778.78563025527
0.0,0.0,0.0,0.0,72141.83525082737
0.0,0.0,0.0,0.0,56060.68502008382
0.0,0.0,0.0,0.0,44762.52070624066
0.0,0.0,0.0,0.0,39102.65148904403
0.0,0.0,0.0,0.0,39102.65148904403
0.0,0.0,0.0,0.0,39102.65148904403
0.0,0.0,0.0,0.0,39927.31935231582
0.0,0.0,0.0,0.0,41604.20803790751
0.0,0.0,0.0,0.0,42128.665386833236
0.0,0.0,0.0,0.0,42128.665386833236
0.0,0.0,0.0,0.0,40959.58624059387
0.0,0.0,0.0,0.0,35273.034586267866
0.0,0.0,0.0,0.0,25576.193753975836
0.0,0.0,0.0,0.0,13359.673758232133
0.0,0.0,0.0,0.0,556.4900245405706
0.0,0.0,0.0,0.0,556.4900245405706
0.0,0.0,0.0,0.0,278.2450122702854
0.0,0.0,0.0,0.0,661.0606971687412
0.0,0.0,0.0,0.0,1993.852827639017
0.0,0.0,0.0,0.0,3279.3430307334997
0.0,0.0,0.0,0.0,10637.696383653145
0.0,0.0,0.0,0.0,18934.812762576905
0.0,0.0,0.0,0.0,20198.68938172516
0.0,0.0,0.0,0.0,21542.32713463959
0.0,0.0,0.0,0.0,22927.767946178286
0.0,0.0,0.0,0.0,24307.475790721743
0.0,0.0,0.0,0.0,25674.52448342499
0.0,0.0,0.0,0.0,27011.70717595276
0.0,0.0,0.0,0.0,28302.388532001343
0.0,0.0,0.0,0.0,29538.99709771332
0.0,0.0,0.0,0.0,30734.749454814762
0.0,0.0,0.0,0.0,31904.086076862186
0.0,0.0,0.0,0.0,33058.77050517258
0.0,0.0,0.0,0.0,33327.017141563265
0.0,0.0,0.0,0.0,34491.80990136322
0.0,0.0,0.0,0.0,35686.81925099549
0.0,0.0,0.0,0.0,36920.1801392859
0.0,0.0,0.0,0.0,38189.003774387216
0.0,0.0,0.0,0.0,39500.98012326417
0.0,0.0,0.0,0.0,40830.95652173219
0.0,0.0,0.0,0.0,42158.338598567825
0.0,0.0,0.0,0.0,43477.88891099153
0.0,0.0,0.0,0.0,44789.080005962234
0.0,0.0,0.0,0.0,46091.79295209108
0.0,0.0,0.0,0.0,71119.94289790267
0.0,0.0,0.0,0.0,73915.65102411898
0.0,0.0,0.0,0.0,75233.90940424593
0.0,0.0,0.0,0.0,76611.47885405215
0.0,0.0,0.0,0.0,78004.89545828494
0.0,0.0,0.0,0.0,79381.97551867159
0.0,0.0,0.0,0.0,80725.90578982027
0.0,0.0,0.0,0.0,85240.56763486158
0.0,0.0,0.0,0.0,86456.05814084303
0.0,0.0,0.0,0.0,87607.69727029097
0.0,0.0,0.0,0.0,88723.06560267699
0.0,0.0,0.0,0.0,89826.43734120618
0.0,0.0,0.0,0.0,90084.41399811994
0.0,0.0,0.0,0.0,89997.63759096345
0.0,0.0,0.0,0.0,90047.91386213664
0.0,0.0,0.0,0.0,87755.62870256684
0.0,0.0,0.0,0.0,79765.20030584422
0.0,0.0,0.0,0.0,68434.23536127107
0.0,0.0,0.0,0.0,54984.163136243784
0.0,0.0,0.0,0.0,47776.65774649163
0.0,0.0,0.0,0.0,46827.19413761739
0.0,0.0,0.0,0.0,50119.40528671698
0.0,0.0,0.0,0.0,56873.380563297746
0.0,0.0,0.0,0.0,63522.07452182574
0.0,0.0,0.0,0.0,71647.25168102623
0.0,0.0,0.0,0.0,81340.03112348678
0.0,0.0,0.0,0.0,88763.90263993255
0.0,0.0,0.0,0.0,85920.70083910055
0.0,0.0,0.0,0.0,64048.316901472535
0.0,0.0,0.0,0.0,41398.613081891366
0.0,0.0,0.0,0.0,23661.260710329294
0.0,0.0,0.0,0.0,11123.280253285886
0.0,0.0,0.0,0.0,3564.0708800786624
0.0,0.0,0.0,0.0,736.5775481468613
0.0,0.0,0.0,0.0,368.2887740734306
0.0,0.0,0.0,0.0,911.7048394921396
