NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 4Hr
0.0,0.0,0.0,0.0,64978.71513041717
0.0,0.0,0.0,0.0,65021.837716486516
0.0,0.0,0.0,0.0,64663.714178230635
0.0,0.0,0.0,0.0,64050.083525657115
0.0,0.0,0.0,0.0,63421.46469433116
0.0,0.0,0.0,0.0,62398.588451788266
0.0,0.0,0.0,0.0,60084.216729771884
0.0,0.0,0.0,0.0,54723.651944658835
0.0,0.0,0.0,0.0,51888.16922802584
0.0,0.0,0.0,0.0,54534.78838567834
0.0,0.0,0.0,0.0,57308.68890261439
0.0,0.0,0.0,0.0,60267.94252422556
0.0,0.0,0.0,0.0,64173.30311588471
0.0,0.0,0.0,0.0,64901.02591430664
0.0,0.0,0.0,0.0,65010.184334069934
0.0,0.0,0.0,0.0,65026.55809703442
0.0,0.0,0.0,0.0,65029.0141614791
0.0,0.0,0.0,0.0,57404.85532325194
0.0,0.0,0.0,0.0,49126.44570279845
0.0,0.0,0.0,0.0,43130.42026484876
0.0,0.0,0.0,0.0,40427.44465397111
0.0,0.0,0.0,0.0,41099.40582935176
0.0,0.0,0.0,0.0,43868.91943839642
0.0,0.0,0.0,0.0,48317.251576698414
0.0,0.0,0.0,0.0,49892.35198287113
0.0,0.0,0.0,0.0,51337.758231412336
0.0,0.0,0.0,0.0,52500.18361509608
0.0,0.0,0.0,0.0,52662.78210307147
0.0,0.0,0.0,0.0,52662.78210307147
0.0,0.0,0.0,0.0,50091.1672017559
0.0,0.0,0.0,0.0,45482.32855937304
0.0,0.0,0.0,0.0,39038.26564565682
0.0,0.0,0.0,0.0,35818.45936478109
0.0,0.0,0.0,0.0,28660.23314572262
0.0,0.0,0.0,0.0,22773.3487112225
0.0,0.0,0.0,0.0,18730.484851328485
0.0,0.0,0.0,0.0,18058.29611051966
0.0,0.0,0.0,0.0,17517.382667333433
0.0,0.0,0.0,0.0,19896.980854347887
0.0,0.0,0.0,0.0,21789.665443951235
0.0,0.0,0.0,0.0,21069.34719946594
0.0,0.0,0.0,0.0,15116.98643867738
0.0,0.0,0.0,0.0,10584.558162851143
0.0,0.0,0.0,0.0,3067.436815257354
0.0,0.0,0.0,0.0,1531.2650455241644
0.0,0.0,0.0,0.0,660.744255514706
0.0,0.0,0.0,0.0,629.3006786475447
0.0,0.0,0.0,0.0,1086.6812958350442
0.0,0.0,0.0,0.0,4851.382317803461
0.0,0.0,0.0,0.0,11325.796005377111
0.0,0.0,0.0,0.0,17280.05655919376
0.0,0.0,0.0,0.0,24375.23438120418
0.0,0.0,0.0,0.0,24375.23438120418
0.0,0.0,0.0,0.0,26210.894093126764
0.0,0.0,0.0,0.0,26210.894093126764
0.0,0.0,0.0,0.0,27644.62199377761
0.0,0.0,0.0,0.0,35531.50870588011
0.0,0.0,0.0,0.0,42811.62215373566
0.0,0.0,0.0,0.0,47736.36619744043
0.0,0.0,0.0,0.0,49661.0841533764
0.0,0.0,0.0,0.0,52174.096468513366
0.0,0.0,0.0,0.0,55775.64845020686
0.0,0.0,0.0,0.0,60390.82610361867
0.0,0.0,0.0,0.0,64333.65436246673
0.0,0.0,0.0,0.0,64925.07860129395
0.0,0.0,0.0,0.0,55599.29407456433
0.0,0.0,0.0,0.0,45163.22015592003
0.0,0.0,0.0,0.0,35051.27135970166
0.0,0.0,0.0,0.0,26422.453445587988
0.0,0.0,0.0,0.0,20371.46549546569
0.0,0.0,0.0,0.0,16600.791073595803
0.0,0.0,0.0,0.0,14845.069211707161
0.0,0.0,0.0,0.0,14475.315234328868
0.0,0.0,0.0,0.0,14475.315234328868
0.0,0.0,0.0,0.0,14475.315234328868
0.0,0.0,0.0,0.0,13913.283724308287
0.0,0.0,0.0,0.0,11053.191690916483
0.0,0.0,0.0,0.0,6146.945785380924
0.0,0.0,0.0,0.0,2761.153068741534
0.0,0.0,0.0,0.0,1404.7008159408583
0.0,0.0,0.0,0.0,1404.7008159408583
0.0,0.0,0.0,0.0,6615.339781323732
0.0,0.0,0.0,0.0,11108.837122391526
0.0,0.0,0.0,0.0,13918.277365345099
0.0,0.0,0.0,0.0,15458.25263530973
0.0,0.0,0.0,0.0,17728.659220776186
0.0,0.0,0.0,0.0,19792.248153170556
0.0,0.0,0.0,0.0,19792.248153170556
