NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 4Hr
0.0,0.0,0.0,0.0,17.144004915422784
0.0,0.0,0.0,0.0,1.2858003686631037
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9848.11018619386
0.0,0.0,0.0,0.0,5904.94314710325
0.0,0.0,0.0,0.0,7595.655866829247
0.0,0.0,0.0,0.0,2403.0879901183334
0.0,0.0,0.0,0.0,440.90972425887287
0.0,0.0,0.0,0.0,589.386948475493
0.0,0.0,0.0,0.0,88.40804227131116
0.0,0.0,0.0,0.0,6.630603170350469
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,222.8567703038029
0.0,0.0,0.0,0.0,508.8656640625
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,488.08751624490577
0.0,0.0,0.0,0.0,6490.763296067307
0.0,0.0,0.0,0.0,5972.66763889666
0.0,0.0,0.0,0.0,455.21622146593006
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3096.322001868195
0.0,0.0,0.0,0.0,5530.88673500676
0.0,0.0,0.0,0.0,4987.77515674567
0.0,0.0,0.0,0.0,3079.0803806904423
0.0,0.0,0.0,0.0,625.9245703125
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5222.036466730252
0.0,0.0,0.0,0.0,13100.368714862812
0.0,0.0,0.0,0.0,21228.02670691771
0.0,0.0,0.0,0.0,18013.436174577633
0.0,0.0,0.0,0.0,15439.54219859183
0.0,0.0,0.0,0.0,14593.524107442472
0.0,0.0,0.0,0.0,15883.239308359713
0.0,0.0,0.0,0.0,17619.146416597116
0.0,0.0,0.0,0.0,13336.479317632486
0.0,0.0,0.0,0.0,2437.0311163948772
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1539.2818654538055
0.0,0.0,0.0,0.0,18902.02698765987
0.0,0.0,0.0,0.0,17953.385039587836
0.0,0.0,0.0,0.0,12911.865597247268
0.0,0.0,0.0,0.0,8712.102134693321
