NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 4Hr
0.0,0.0,0.0,0.0,131412.3071293647
0.0,0.0,0.0,0.0,131318.41843464386
0.0,0.0,0.0,0.0,129958.353703424
0.0,0.0,0.0,0.0,126983.62588677293
0.0,0.0,0.0,0.0,121595.78622697445
0.0,0.0,0.0,0.0,113371.17898251786
0.0,0.0,0.0,0.0,102737.51152287555
0.0,0.0,0.0,0.0,90358.95056989253
0.0,0.0,0.0,0.0,86066.64574519944
0.0,0.0,0.0,0.0,89291.1320518055
0.0,0.0,0.0,0.0,97981.47037810253
0.0,0.0,0.0,0.0,106760.78295354678
0.0,0.0,0.0,0.0,116246.72410347748
0.0,0.0,0.0,0.0,124009.34536716195
0.0,0.0,0.0,0.0,130316.43526921241
0.0,0.0,0.0,0.0,131262.49875451997
0.0,0.0,0.0,0.0,131404.4082773161
0.0,0.0,0.0,0.0,119672.17089089927
0.0,0.0,0.0,0.0,105444.25818104015
0.0,0.0,0.0,0.0,94198.24731241816
0.0,0.0,0.0,0.0,86817.48468426247
0.0,0.0,0.0,0.0,83524.37012615282
0.0,0.0,0.0,0.0,83364.38798256702
0.0,0.0,0.0,0.0,85238.36500654237
0.0,0.0,0.0,0.0,88255.80120507025
0.0,0.0,0.0,0.0,91411.09269630522
0.0,0.0,0.0,0.0,94294.07294660147
0.0,0.0,0.0,0.0,95838.10885642625
0.0,0.0,0.0,0.0,93756.3319406978
0.0,0.0,0.0,0.0,87377.70099461394
0.0,0.0,0.0,0.0,78666.02122008662
0.0,0.0,0.0,0.0,67918.60785307735
0.0,0.0,0.0,0.0,64662.05679107304
0.0,0.0,0.0,0.0,54563.24493230608
0.0,0.0,0.0,0.0,46665.57129464729
0.0,0.0,0.0,0.0,41684.789845615465
0.0,0.0,0.0,0.0,40115.302850015556
0.0,0.0,0.0,0.0,40434.61508058112
0.0,0.0,0.0,0.0,45951.763778478555
0.0,0.0,0.0,0.0,51028.53083056172
0.0,0.0,0.0,0.0,51230.69487016474
0.0,0.0,0.0,0.0,39993.10121397823
0.0,0.0,0.0,0.0,26961.000613023647
0.0,0.0,0.0,0.0,15116.435756497436
0.0,0.0,0.0,0.0,5378.4788184310255
0.0,0.0,0.0,0.0,660.7442519244033
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2883.733447113357
0.0,0.0,0.0,0.0,7836.848110631795
0.0,0.0,0.0,0.0,12328.317284129775
0.0,0.0,0.0,0.0,13900.996793020473
0.0,0.0,0.0,0.0,13900.996793020515
0.0,0.0,0.0,0.0,13900.996793020515
0.0,0.0,0.0,0.0,14127.504377752266
0.0,0.0,0.0,0.0,23707.953184855633
0.0,0.0,0.0,0.0,42003.63638351938
0.0,0.0,0.0,0.0,57566.919263910364
0.0,0.0,0.0,0.0,70942.3926278726
0.0,0.0,0.0,0.0,84062.55106040082
0.0,0.0,0.0,0.0,98278.9664798708
0.0,0.0,0.0,0.0,114056.91546427099
0.0,0.0,0.0,0.0,128823.57078377876
0.0,0.0,0.0,0.0,131038.56908170493
0.0,0.0,0.0,0.0,117504.53160835349
0.0,0.0,0.0,0.0,100248.91380591172
0.0,0.0,0.0,0.0,83471.45147751075
0.0,0.0,0.0,0.0,68351.72805459514
0.0,0.0,0.0,0.0,56029.158916995235
0.0,0.0,0.0,0.0,46273.93047663544
0.0,0.0,0.0,0.0,39051.55349652544
0.0,0.0,0.0,0.0,33951.51329307179
0.0,0.0,0.0,0.0,30140.69888369746
0.0,0.0,0.0,0.0,26635.106110672186
0.0,0.0,0.0,0.0,22415.567166553534
0.0,0.0,0.0,0.0,16337.24274426769
0.0,0.0,0.0,0.0,8770.768586719545
0.0,0.0,0.0,0.0,3203.7172241110575
0.0,0.0,0.0,0.0,639.4558177274821
0.0,0.0,0.0,0.0,2678.9926602086716
0.0,0.0,0.0,0.0,19476.863375363842
0.0,0.0,0.0,0.0,35468.38884969685
0.0,0.0,0.0,0.0,47174.62189014242
0.0,0.0,0.0,0.0,55311.057621633445
0.0,0.0,0.0,0.0,64287.33439942482
0.0,0.0,0.0,0.0,73350.86877071786
0.0,0.0,0.0,0.0,78061.37369709095
0.0,0.0,0.0,0.0,73605.93486121496
0.0,0.0,0.0,0.0,62295.700914696325
0.0,0.0,0.0,0.0,57812.09433024937
0.0,0.0,0.0,0.0,57812.09433024937
0.0,0.0,0.0,0.0,57812.09433024937
0.0,0.0,0.0,0.0,58611.877087394976
0.0,0.0,0.0,0.0,59906.311787747465
0.0,0.0,0.0,0.0,61175.582311780876
0.0,0.0,0.0,0.0,62138.73546183299
0.0,0.0,0.0,0.0,62243.44460643223
0.0,0.0,0.0,0.0,62243.44460643223
0.0,0.0,0.0,0.0,61741.96441413559
0.0,0.0,0.0,0.0,56929.95151401448
0.0,0.0,0.0,0.0,47240.38247797828
0.0,0.0,0.0,0.0,35896.226487582026
0.0,0.0,0.0,0.0,25803.67819890556
0.0,0.0,0.0,0.0,25803.67819890556
0.0,0.0,0.0,0.0,33819.99151957382
0.0,0.0,0.0,0.0,41128.66774338209
0.0,0.0,0.0,0.0,49516.006360816886
0.0,0.0,0.0,0.0,56875.18393812517
0.0,0.0,0.0,0.0,66089.2702781536
0.0,0.0,0.0,0.0,73719.62969983675
0.0,0.0,0.0,0.0,83744.37022213443
0.0,0.0,0.0,0.0,86361.28091424219
0.0,0.0,0.0,0.0,73065.8691333879
0.0,0.0,0.0,0.0,57093.39198151174
0.0,0.0,0.0,0.0,45805.209662402696
0.0,0.0,0.0,0.0,40052.376070338294
0.0,0.0,0.0,0.0,40052.376070338294
0.0,0.0,0.0,0.0,40052.376070338294
0.0,0.0,0.0,0.0,40642.2912692221
0.0,0.0,0.0,0.0,42071.63011378422
0.0,0.0,0.0,0.0,42379.842977000655
0.0,0.0,0.0,0.0,42379.842977000655
0.0,0.0,0.0,0.0,41069.319798735945
0.0,0.0,0.0,0.0,35297.17925918418
0.0,0.0,0.0,0.0,25554.40246169607
0.0,0.0,0.0,0.0,13316.143121512821
0.0,0.0,0.0,0.0,2185.7821296242914
0.0,0.0,0.0,0.0,740.9946142603186
0.0,0.0,0.0,0.0,370.497307130159
0.0,0.0,0.0,0.0,836.8008767484015
0.0,0.0,0.0,0.0,1565.0043737679575
0.0,0.0,0.0,0.0,1692.0910101815145
0.0,0.0,0.0,0.0,1957.134173673742
0.0,0.0,0.0,0.0,2246.9124043408565
0.0,0.0,0.0,0.0,2540.8371994916133
0.0,0.0,0.0,0.0,2853.3110955182246
0.0,0.0,0.0,0.0,3175.5066330853633
0.0,0.0,0.0,0.0,2958.0564681782444
0.0,0.0,0.0,0.0,2518.0311385884006
0.0,0.0,0.0,0.0,2829.003857780905
0.0,0.0,0.0,0.0,2413.5596295525047
0.0,0.0,0.0,0.0,2701.1430169273826
0.0,0.0,0.0,0.0,2979.2249604393455
0.0,0.0,0.0,0.0,3251.1637097527
0.0,0.0,0.0,0.0,11721.955121383886
0.0,0.0,0.0,0.0,28075.947750918996
0.0,0.0,0.0,0.0,28346.829788081777
