NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 4Hr
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4955.649690292258
0.0,0.0,0.0,0.0,5861.915214311422
0.0,0.0,0.0,0.0,6092.218973684703
0.0,0.0,0.0,0.0,9364.151393165408
0.0,0.0,0.0,0.0,12253.102336202686
0.0,0.0,0.0,0.0,9261.66066998708
0.0,0.0,0.0,0.0,1897.5816581762501
0.0,0.0,0.0,0.0,284.63724872642615
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,431.35805220878774
0.0,0.0,0.0,0.0,1759.1304749162723
0.0,0.0,0.0,0.0,1924.6491944534405
0.0,0.0,0.0,0.0,1607.8512117437676
0.0,0.0,0.0,0.0,265.76926720046026
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,154.0050203287749
0.0,0.0,0.0,0.0,1744.397747975622
0.0,0.0,0.0,0.0,9531.285261079991
0.0,0.0,0.0,0.0,8929.391596303854
0.0,0.0,0.0,0.0,2137.620774031298
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,624.4313145784961
0.0,0.0,0.0,0.0,3304.474825730049
0.0,0.0,0.0,0.0,2845.9451370501956
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,12766.612829894151
0.0,0.0,0.0,0.0,28169.888548237268
0.0,0.0,0.0,0.0,25634.106541039073
0.0,0.0,0.0,0.0,22209.307688093795
0.0,0.0,0.0,0.0,21396.12915194026
0.0,0.0,0.0,0.0,22825.260694773082
0.0,0.0,0.0,0.0,25164.946179726958
0.0,0.0,0.0,0.0,23459.646812211304
0.0,0.0,0.0,0.0,4331.915679928165
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
