NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 8Hr
0.0,0.0,0.0,0.0,84580.13561123559
0.0,0.0,0.0,0.0,84580.13561123559
0.0,0.0,0.0,0.0,84580.13561123559
0.0,0.0,0.0,0.0,84416.52512587536
0.0,0.0,0.0,0.0,84049.16299925375
0.0,0.0,0.0,0.0,82180.03297574865
0.0,0.0,0.0,0.0,78321.78053799353
0.0,0.0,0.0,0.0,72792.26538098043
0.0,0.0,0.0,0.0,69810.13038569095
0.0,0.0,0.0,0.0,71495.35327360946
0.0,0.0,0.0,0.0,73151.7838615442
0.0,0.0,0.0,0.0,74899.47293586102
0.0,0.0,0.0,0.0,77661.46802440159
0.0,0.0,0.0,0.0,81527.6819282512
0.0,0.0,0.0,0.0,84122.26755878793
0.0,0.0,0.0,0.0,84511.45540336844
0.0,0.0,0.0,0.0,84569.83358005552
0.0,0.0,0.0,0.0,76073.35499254089
0.0,0.0,0.0,0.0,67133.61665058344
0.0,0.0,0.0,0.0,60517.559660287254
0.0,0.0,0.0,0.0,57236.65066889742
0.0,0.0,0.0,0.0,57481.04060928515
0.0,0.0,0.0,0.0,59873.250065237706
0.0,0.0,0.0,0.0,63963.27332763856
0.0,0.0,0.0,0.0,69030.44475700377
0.0,0.0,0.0,0.0,74226.22975383815
0.0,0.0,0.0,0.0,79139.81863322706
0.0,0.0,0.0,0.0,82770.46828710087
0.0,0.0,0.0,0.0,83564.0479589349
0.0,0.0,0.0,0.0,80673.23462079938
0.0,0.0,0.0,0.0,75723.43240757074
0.0,0.0,0.0,0.0,68853.6583494051
0.0,0.0,0.0,0.0,64161.1837682905
0.0,0.0,0.0,0.0,55869.06856793553
0.0,0.0,0.0,0.0,48648.96010239045
0.0,0.0,0.0,0.0,43078.92618623034
0.0,0.0,0.0,0.0,39438.213113931844
0.0,0.0,0.0,0.0,37166.37398987023
0.0,0.0,0.0,0.0,37964.80413770026
0.0,0.0,0.0,0.0,38310.020795672106
0.0,0.0,0.0,0.0,34421.20560006
0.0,0.0,0.0,0.0,25267.783642164377
0.0,0.0,0.0,0.0,16018.145444309845
0.0,0.0,0.0,0.0,7948.862476969742
0.0,0.0,0.0,0.0,2048.09488717841
0.0,0.0,0.0,0.0,646.2278009019977
0.0,0.0,0.0,0.0,646.2278009019977
0.0,0.0,0.0,0.0,1574.7007055698334
0.0,0.0,0.0,0.0,6648.769428632496
0.0,0.0,0.0,0.0,14511.114403048714
0.0,0.0,0.0,0.0,23497.753811742496
0.0,0.0,0.0,0.0,32053.474875710377
0.0,0.0,0.0,0.0,34238.94734141625
0.0,0.0,0.0,0.0,37527.304824475235
0.0,0.0,0.0,0.0,38058.78630602737
0.0,0.0,0.0,0.0,42196.46424292978
0.0,0.0,0.0,0.0,44372.92447768248
0.0,0.0,0.0,0.0,49504.62513599708
0.0,0.0,0.0,0.0,56923.4506987439
0.0,0.0,0.0,0.0,63379.66981822461
0.0,0.0,0.0,0.0,70899.03030213072
0.0,0.0,0.0,0.0,79432.0800147902
0.0,0.0,0.0,0.0,82234.55021045746
0.0,0.0,0.0,0.0,84228.29780111887
0.0,0.0,0.0,0.0,84285.15022453523
0.0,0.0,0.0,0.0,72851.14450735919
0.0,0.0,0.0,0.0,61436.94778769379
0.0,0.0,0.0,0.0,51600.371403501864
0.0,0.0,0.0,0.0,43259.771505570825
0.0,0.0,0.0,0.0,35884.93326316291
0.0,0.0,0.0,0.0,30811.522329436444
0.0,0.0,0.0,0.0,27791.166250699116
0.0,0.0,0.0,0.0,26383.68166278184
0.0,0.0,0.0,0.0,25821.769709585034
0.0,0.0,0.0,0.0,23974.68136302003
0.0,0.0,0.0,0.0,21042.179192766147
0.0,0.0,0.0,0.0,15813.364132108994
0.0,0.0,0.0,0.0,8579.447635419656
0.0,0.0,0.0,0.0,2916.22395859675
0.0,0.0,0.0,0.0,639.4558177274818
0.0,0.0,0.0,0.0,639.4558177274818
0.0,0.0,0.0,0.0,4707.945183453851
0.0,0.0,0.0,0.0,8064.984034543565
0.0,0.0,0.0,0.0,10040.099832787688
0.0,0.0,0.0,0.0,11073.32075436558
0.0,0.0,0.0,0.0,12785.280409244968
0.0,0.0,0.0,0.0,14187.461389246932
0.0,0.0,0.0,0.0,14187.461389246932
0.0,0.0,0.0,0.0,12257.38043512387
0.0,0.0,0.0,0.0,8354.193146142487
0.0,0.0,0.0,0.0,8354.193146142487
0.0,0.0,0.0,0.0,8354.193146142487
0.0,0.0,0.0,0.0,9110.67628289959
0.0,0.0,0.0,0.0,11191.50471897427
0.0,0.0,0.0,0.0,13973.846371754533
0.0,0.0,0.0,0.0,16920.796819971652
0.0,0.0,0.0,0.0,19688.82018919636
0.0,0.0,0.0,0.0,21593.512113977336
0.0,0.0,0.0,0.0,21992.28631890328
0.0,0.0,0.0,0.0,21992.28631890328
0.0,0.0,0.0,0.0,21992.28631890328
0.0,0.0,0.0,0.0,19056.0466573622
0.0,0.0,0.0,0.0,14759.109855956087
0.0,0.0,0.0,0.0,11651.262879551414
0.0,0.0,0.0,0.0,11651.262879551414
0.0,0.0,0.0,0.0,11782.32434726639
0.0,0.0,0.0,0.0,11782.32434726639
0.0,0.0,0.0,0.0,11999.105461992684
0.0,0.0,0.0,0.0,12186.230094770894
0.0,0.0,0.0,0.0,13501.227510765262
0.0,0.0,0.0,0.0,14371.044928338068
0.0,0.0,0.0,0.0,16133.838657125494
0.0,0.0,0.0,0.0,16133.838657125494
0.0,0.0,0.0,0.0,10473.55249180463
0.0,0.0,0.0,0.0,4511.523328155922
0.0,0.0,0.0,0.0,2091.271532844095
0.0,0.0,0.0,0.0,2091.271532844095
0.0,0.0,0.0,0.0,2091.271532844095
0.0,0.0,0.0,0.0,3436.1411775379693
0.0,0.0,0.0,0.0,5983.684573260508
0.0,0.0,0.0,0.0,9222.225955424276
0.0,0.0,0.0,0.0,11564.339957575032
0.0,0.0,0.0,0.0,11958.477045513124
0.0,0.0,0.0,0.0,11958.477045513124
0.0,0.0,0.0,0.0,11958.477045513124
0.0,0.0,0.0,0.0,10048.424580415589
0.0,0.0,0.0,0.0,5923.529551868846
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2185.782129624311
0.0,0.0,0.0,0.0,2606.3871443782696
0.0,0.0,0.0,0.0,1859.7062324075137
0.0,0.0,0.0,0.0,135.49954638108193
0.0,0.0,0.0,0.0,1269.3117935636233
0.0,0.0,0.0,0.0,7478.743978638096
0.0,0.0,0.0,0.0,8815.926671165867
0.0,0.0,0.0,0.0,9116.085126060887
0.0,0.0,0.0,0.0,9403.668513435765
0.0,0.0,0.0,0.0,18390.307922129545
0.0,0.0,0.0,0.0,27376.94733082333
0.0,0.0,0.0,0.0,27645.47859322109
0.0,0.0,0.0,0.0,27913.725229611777
0.0,0.0,0.0,0.0,28184.60726677456
0.0,0.0,0.0,0.0,37171.24667546834
0.0,0.0,0.0,0.0,43547.77032975645
0.0,0.0,0.0,0.0,43842.84559373351
0.0,0.0,0.0,0.0,51103.94965427269
0.0,0.0,0.0,0.0,58046.677540284916
0.0,0.0,0.0,0.0,65412.102628828
0.0,0.0,0.0,0.0,65718.97479450793
0.0,0.0,0.0,0.0,72008.43659843046
0.0,0.0,0.0,0.0,73311.14954455932
0.0,0.0,0.0,0.0,80303.09763052015
0.0,0.0,0.0,0.0,81598.613903065
0.0,0.0,0.0,0.0,83826.3356387014
0.0,0.0,0.0,0.0,84146.70062702843
0.0,0.0,0.0,0.0,82928.71413531652
0.0,0.0,0.0,0.0,81465.58562410738
0.0,0.0,0.0,0.0,77929.75124550809
0.0,0.0,0.0,0.0,75016.72760616415
0.0,0.0,0.0,0.0,75058.35037032797
0.0,0.0,0.0,0.0,75278.68025625253
0.0,0.0,0.0,0.0,75257.0852484785
0.0,0.0,0.0,0.0,75257.0852484785
0.0,0.0,0.0,0.0,75257.0852484785
0.0,0.0,0.0,0.0,75257.0852484785
0.0,0.0,0.0,0.0,75257.0852484785
0.0,0.0,0.0,0.0,75257.0852484785
0.0,0.0,0.0,0.0,74879.56775230414
0.0,0.0,0.0,0.0,71942.28973305681
0.0,0.0,0.0,0.0,67416.72030138133
0.0,0.0,0.0,0.0,64463.05444060315
0.0,0.0,0.0,0.0,62244.70379176953
0.0,0.0,0.0,0.0,62244.70379176953
0.0,0.0,0.0,0.0,62244.70379176953
0.0,0.0,0.0,0.0,62244.70379176953
0.0,0.0,0.0,0.0,62244.70379176953
0.0,0.0,0.0,0.0,62740.2494701657
0.0,0.0,0.0,0.0,62740.2494701657
0.0,0.0,0.0,0.0,61076.96845777794
0.0,0.0,0.0,0.0,50656.046083236746
0.0,0.0,0.0,0.0,41364.45116496368
0.0,0.0,0.0,0.0,35863.90708849716
0.0,0.0,0.0,0.0,34673.94753766395
0.0,0.0,0.0,0.0,34673.94753766395
0.0,0.0,0.0,0.0,34673.94753766395
0.0,0.0,0.0,0.0,34673.94753766395
0.0,0.0,0.0,0.0,34673.94753766395
0.0,0.0,0.0,0.0,34673.94753766395
0.0,0.0,0.0,0.0,35390.47525578273
0.0,0.0,0.0,0.0,36196.2749631427
0.0,0.0,0.0,0.0,36196.2749631427
0.0,0.0,0.0,0.0,32536.63290089999
0.0,0.0,0.0,0.0,29035.160346548466
0.0,0.0,0.0,0.0,25875.605107850562
0.0,0.0,0.0,0.0,25875.605107850562
0.0,0.0,0.0,0.0,26098.622838669733
0.0,0.0,0.0,0.0,24198.06027937412
0.0,0.0,0.0,0.0,21393.3938608618
0.0,0.0,0.0,0.0,19969.046315724612
0.0,0.0,0.0,0.0,19969.046315724612
0.0,0.0,0.0,0.0,19586.436550274284
0.0,0.0,0.0,0.0,16969.859458873212
0.0,0.0,0.0,0.0,10613.185113533897
0.0,0.0,0.0,0.0,3258.4162749104044
0.0,0.0,0.0,0.0,1488.368194461068
0.0,0.0,0.0,0.0,1048.2102569512765
0.0,0.0,0.0,0.0,1626.6721417321585
0.0,0.0,0.0,0.0,1940.8571335687063
0.0,0.0,0.0,0.0,2238.251104058208
0.0,0.0,0.0,0.0,4862.530211043605
0.0,0.0,0.0,0.0,5147.746481490382
0.0,0.0,0.0,0.0,5432.355076384792
0.0,0.0,0.0,0.0,5719.979027343043
0.0,0.0,0.0,0.0,7010.231087088831
0.0,0.0,0.0,0.0,7338.06405484701
0.0,0.0,0.0,0.0,5966.624350396486
0.0,0.0,0.0,0.0,4384.846118702527
0.0,0.0,0.0,0.0,2969.192034522434
0.0,0.0,0.0,0.0,2081.580716301413
0.0,0.0,0.0,0.0,2426.062424828024
0.0,0.0,0.0,0.0,2764.653561760397
0.0,0.0,0.0,0.0,3096.5766097798064
0.0,0.0,0.0,0.0,3422.7576247944553
0.0,0.0,0.0,0.0,4797.024602295372
0.0,0.0,0.0,0.0,7797.99571005829
0.0,0.0,0.0,0.0,16784.63511875207
0.0,0.0,0.0,0.0,18216.905199509212
0.0,0.0,0.0,0.0,24285.770451424592
0.0,0.0,0.0,0.0,25743.8650959711
0.0,0.0,0.0,0.0,32571.890054332547
0.0,0.0,0.0,0.0,33932.459426318936
0.0,0.0,0.0,0.0,42919.098835012715
0.0,0.0,0.0,0.0,51905.7382437065
0.0,0.0,0.0,0.0,53042.62521012572
0.0,0.0,0.0,0.0,53300.40829022673
0.0,0.0,0.0,0.0,53555.38755448607
0.0,0.0,0.0,0.0,54657.105338032525
0.0,0.0,0.0,0.0,55806.5885049179
0.0,0.0,0.0,0.0,56099.807928211965
0.0,0.0,0.0,0.0,56422.05709660796
0.0,0.0,0.0,0.0,57816.26578667907
0.0,0.0,0.0,0.0,59198.073822911065
0.0,0.0,0.0,0.0,59518.89113896636
0.0,0.0,0.0,0.0,59841.3723077133
0.0,0.0,0.0,0.0,61233.36243241576
0.0,0.0,0.0,0.0,61559.982383663926
0.0,0.0,0.0,0.0,70546.6217923577
0.0,0.0,0.0,0.0,79533.26120105149
0.0,0.0,0.0,0.0,81022.06621680618
0.0,0.0,0.0,0.0,83688.4209048147
0.0,0.0,0.0,0.0,84067.39965504358
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83519.91201466272
0.0,0.0,0.0,0.0,83387.67799788342
0.0,0.0,0.0,0.0,79258.90624940833
0.0,0.0,0.0,0.0,70171.17985463304
0.0,0.0,0.0,0.0,60556.635810995744
0.0,0.0,0.0,0.0,51679.57173028301
0.0,0.0,0.0,0.0,51210.4857581058
0.0,0.0,0.0,0.0,51372.76849153183
0.0,0.0,0.0,0.0,53049.50029038834
0.0,0.0,0.0,0.0,54912.22606254196
0.0,0.0,0.0,0.0,56912.81031413359
0.0,0.0,0.0,0.0,59570.55461634834
0.0,0.0,0.0,0.0,62355.00037832061
0.0,0.0,0.0,0.0,63931.02742394874
0.0,0.0,0.0,0.0,63931.02742394874
0.0,0.0,0.0,0.0,54282.15747190043
0.0,0.0,0.0,0.0,47519.438525122336
0.0,0.0,0.0,0.0,47519.438525122336
0.0,0.0,0.0,0.0,48450.478860555944
0.0,0.0,0.0,0.0,51097.84358536344
0.0,0.0,0.0,0.0,54228.13582265069
0.0,0.0,0.0,0.0,56785.11079539431
0.0,0.0,0.0,0.0,58309.08387035598
0.0,0.0,0.0,0.0,58616.33886841043
0.0,0.0,0.0,0.0,58616.33886841043
0.0,0.0,0.0,0.0,58616.33886841043
0.0,0.0,0.0,0.0,58208.70305956261
0.0,0.0,0.0,0.0,53237.729164625
0.0,0.0,0.0,0.0,44436.705929722666
0.0,0.0,0.0,0.0,34595.1829198773
0.0,0.0,0.0,0.0,31269.801123474605
0.0,0.0,0.0,0.0,31269.801123474605
0.0,0.0,0.0,0.0,31269.801123474605
0.0,0.0,0.0,0.0,31269.801123474605
0.0,0.0,0.0,0.0,31269.801123474605
0.0,0.0,0.0,0.0,32541.962268002186
0.0,0.0,0.0,0.0,35582.945789882455
0.0,0.0,0.0,0.0,38709.80933873616
0.0,0.0,0.0,0.0,38709.80933873616
0.0,0.0,0.0,0.0,30211.10254431161
0.0,0.0,0.0,0.0,23123.91345372105
0.0,0.0,0.0,0.0,21200.8997001113
0.0,0.0,0.0,0.0,21200.8997001113
0.0,0.0,0.0,0.0,24880.216962578117
0.0,0.0,0.0,0.0,32144.54393121367
0.0,0.0,0.0,0.0,41088.17873004879
0.0,0.0,0.0,0.0,50074.81813874257
0.0,0.0,0.0,0.0,57853.60639063581
0.0,0.0,0.0,0.0,63221.39506592384
0.0,0.0,0.0,0.0,65345.55450239189
0.0,0.0,0.0,0.0,65345.55450239189
0.0,0.0,0.0,0.0,65345.55450239189
0.0,0.0,0.0,0.0,63347.29986593777
0.0,0.0,0.0,0.0,59681.62174761796
0.0,0.0,0.0,0.0,59681.62174761796
0.0,0.0,0.0,0.0,61182.87159251671
0.0,0.0,0.0,0.0,63796.40607058434
0.0,0.0,0.0,0.0,66327.28788835903
0.0,0.0,0.0,0.0,68479.14982251792
0.0,0.0,0.0,0.0,71118.48866614899
0.0,0.0,0.0,0.0,74330.2002564946
0.0,0.0,0.0,0.0,76705.43396913787
0.0,0.0,0.0,0.0,76705.43396913787
0.0,0.0,0.0,0.0,69165.77997152347
0.0,0.0,0.0,0.0,58833.21525761246
0.0,0.0,0.0,0.0,52236.109864170365
0.0,0.0,0.0,0.0,50192.42975010883
0.0,0.0,0.0,0.0,50192.42975010883
0.0,0.0,0.0,0.0,50192.42975010883
0.0,0.0,0.0,0.0,50192.42975010883
0.0,0.0,0.0,0.0,50192.42975010883
0.0,0.0,0.0,0.0,51867.40092107825
0.0,0.0,0.0,0.0,54163.08615967096
0.0,0.0,0.0,0.0,55398.0130508028
0.0,0.0,0.0,0.0,55235.934879140055
0.0,0.0,0.0,0.0,51608.84591100064
0.0,0.0,0.0,0.0,45972.89083291873
0.0,0.0,0.0,0.0,42290.25752707051
0.0,0.0,0.0,0.0,42936.944842633166
0.0,0.0,0.0,0.0,45852.791071690976
0.0,0.0,0.0,0.0,47448.908552822446
0.0,0.0,0.0,0.0,47679.83981354047
0.0,0.0,0.0,0.0,50801.72269212332
0.0,0.0,0.0,0.0,57694.48119815585
0.0,0.0,0.0,0.0,66681.12060684962
0.0,0.0,0.0,0.0,75667.7600155434
0.0,0.0,0.0,0.0,82884.8714464118
0.0,0.0,0.0,0.0,83361.1638377499
0.0,0.0,0.0,0.0,83401.86901466205
0.0,0.0,0.0,0.0,83401.86901466205
0.0,0.0,0.0,0.0,83694.51560569833
0.0,0.0,0.0,0.0,84086.45943283848
0.0,0.0,0.0,0.0,84296.27180865726
0.0,0.0,0.0,0.0,84296.27180865726
0.0,0.0,0.0,0.0,84296.27180865726
0.0,0.0,0.0,0.0,84537.55604084884
0.0,0.0,0.0,0.0,84537.55604084884
0.0,0.0,0.0,0.0,84537.55604084884
0.0,0.0,0.0,0.0,84537.55604084884
0.0,0.0,0.0,0.0,84537.55604084884
0.0,0.0,0.0,0.0,84537.55604084884
0.0,0.0,0.0,0.0,84555.65235826322
0.0,0.0,0.0,0.0,84576.46312328972
0.0,0.0,0.0,0.0,84579.5847380437
0.0,0.0,0.0,0.0,84320.740823145
0.0,0.0,0.0,0.0,84541.226393022
0.0,0.0,0.0,0.0,84574.29922850354
0.0,0.0,0.0,0.0,84579.26015382579
0.0,0.0,0.0,0.0,84580.00429262413
0.0,0.0,0.0,0.0,84580.11591344388
0.0,0.0,0.0,0.0,84580.13265656683
0.0,0.0,0.0,0.0,80748.60949209768
0.0,0.0,0.0,0.0,72390.03997728325
0.0,0.0,0.0,0.0,63808.31192699694
0.0,0.0,0.0,0.0,57198.81460008074
0.0,0.0,0.0,0.0,52820.23658904992
0.0,0.0,0.0,0.0,50061.68309004155
0.0,0.0,0.0,0.0,47218.50282462946
0.0,0.0,0.0,0.0,44721.30773633784
0.0,0.0,0.0,0.0,42009.09427518807
0.0,0.0,0.0,0.0,38730.61648233
0.0,0.0,0.0,0.0,33959.61194228479
0.0,0.0,0.0,0.0,26476.71081811269
0.0,0.0,0.0,0.0,17348.779615015657
0.0,0.0,0.0,0.0,8219.248231685402
0.0,0.0,0.0,0.0,753.0112771426926
0.0,0.0,0.0,0.0,253.6428079651935
0.0,0.0,0.0,0.0,126.82140398259675
0.0,0.0,0.0,0.0,1879.8427452466653
0.0,0.0,0.0,0.0,7886.788434164539
0.0,0.0,0.0,0.0,15859.774827497795
0.0,0.0,0.0,0.0,24688.72945401351
0.0,0.0,0.0,0.0,33675.36886270729
0.0,0.0,0.0,0.0,37318.01953984316
0.0,0.0,0.0,0.0,32113.21445254537
0.0,0.0,0.0,0.0,19938.115503294055
0.0,0.0,0.0,0.0,8271.029584358737
0.0,0.0,0.0,0.0,1706.9214107914252
0.0,0.0,0.0,0.0,1958.7474347390569
0.0,0.0,0.0,0.0,1958.7474347390569
0.0,0.0,0.0,0.0,3368.780778534572
0.0,0.0,0.0,0.0,6092.021812954659
0.0,0.0,0.0,0.0,8638.257468142594
0.0,0.0,0.0,0.0,10826.232451849164
0.0,0.0,0.0,0.0,11180.860717480768
0.0,0.0,0.0,0.0,11801.469689242598
0.0,0.0,0.0,0.0,11801.469689242598
0.0,0.0,0.0,0.0,8513.811933079814
0.0,0.0,0.0,0.0,5226.2902524377905
0.0,0.0,0.0,0.0,3264.9261251948387
0.0,0.0,0.0,0.0,3264.9261251948387
0.0,0.0,0.0,0.0,3264.9261251948387
0.0,0.0,0.0,0.0,3264.9261251948387
0.0,0.0,0.0,0.0,3264.9261251948387
0.0,0.0,0.0,0.0,3448.070294140055
0.0,0.0,0.0,0.0,4524.060997314012
0.0,0.0,0.0,0.0,4732.921362540334
0.0,0.0,0.0,0.0,4732.921362540334
0.0,0.0,0.0,0.0,4732.921362540334
0.0,0.0,0.0,0.0,2697.5406871122473
0.0,0.0,0.0,0.0,2697.5406871122473
0.0,0.0,0.0,0.0,2697.5406871122473
0.0,0.0,0.0,0.0,2697.5406871122473
0.0,0.0,0.0,0.0,2697.5406871122473
0.0,0.0,0.0,0.0,4089.535197546632
0.0,0.0,0.0,0.0,6550.310583083844
0.0,0.0,0.0,0.0,8772.140991786533
0.0,0.0,0.0,0.0,10550.96189015879
0.0,0.0,0.0,0.0,11329.879077870484
0.0,0.0,0.0,0.0,11329.879077870484
0.0,0.0,0.0,0.0,10820.676750441919
0.0,0.0,0.0,0.0,6923.925738758678
0.0,0.0,0.0,0.0,3820.5895943623195
0.0,0.0,0.0,0.0,2547.3751965691063
0.0,0.0,0.0,0.0,2547.3751965691063
0.0,0.0,0.0,0.0,2547.3751965691063
0.0,0.0,0.0,0.0,2547.3751965691063
0.0,0.0,0.0,0.0,2547.3751965691063
0.0,0.0,0.0,0.0,2547.3751965691063
0.0,0.0,0.0,0.0,2773.9160424774336
0.0,0.0,0.0,0.0,4365.520635065615
0.0,0.0,0.0,0.0,5618.905132962329
0.0,0.0,0.0,0.0,4738.600398144198
0.0,0.0,0.0,0.0,2213.807862225702
0.0,0.0,0.0,0.0,2213.807862225702
0.0,0.0,0.0,0.0,2213.807862225702
0.0,0.0,0.0,0.0,2213.807862225702
0.0,0.0,0.0,0.0,2114.927865408906
0.0,0.0,0.0,0.0,3185.590913430723
0.0,0.0,0.0,0.0,5281.346940108888
0.0,0.0,0.0,0.0,7984.338196197505
0.0,0.0,0.0,0.0,11105.231416354154
0.0,0.0,0.0,0.0,14353.23131839077
0.0,0.0,0.0,0.0,17161.94202167087
0.0,0.0,0.0,0.0,18496.363484431073
0.0,0.0,0.0,0.0,17778.13871335308
0.0,0.0,0.0,0.0,15351.164217504702
0.0,0.0,0.0,0.0,12672.871126614997
0.0,0.0,0.0,0.0,14090.780399240692
0.0,0.0,0.0,0.0,14907.002591319348
0.0,0.0,0.0,0.0,11263.754800503388
0.0,0.0,0.0,0.0,6160.371899787825
0.0,0.0,0.0,0.0,2993.472326640669
0.0,0.0,0.0,0.0,2357.1492907669444
0.0,0.0,0.0,0.0,3525.938883223752
0.0,0.0,0.0,0.0,4762.379978112996
0.0,0.0,0.0,0.0,4963.446301416482
0.0,0.0,0.0,0.0,1739.913841082091
0.0,0.0,0.0,0.0,3032.7029964349713
0.0,0.0,0.0,0.0,8083.528889275607
0.0,0.0,0.0,0.0,14979.588474131095
0.0,0.0,0.0,0.0,16174.736693239676
0.0,0.0,0.0,0.0,25161.376101933456
0.0,0.0,0.0,0.0,34148.015510627236
0.0,0.0,0.0,0.0,34393.2599201884
0.0,0.0,0.0,0.0,35424.93457505366
0.0,0.0,0.0,0.0,44411.57398374745
0.0,0.0,0.0,0.0,45435.65236671635
0.0,0.0,0.0,0.0,45678.606409151034
0.0,0.0,0.0,0.0,54665.24581784482
0.0,0.0,0.0,0.0,55777.67941712613
0.0,0.0,0.0,0.0,56047.91605233426
0.0,0.0,0.0,0.0,63224.43068282744
0.0,0.0,0.0,0.0,72211.07009152122
0.0,0.0,0.0,0.0,73457.57589596458
0.0,0.0,0.0,0.0,74712.5785324926
0.0,0.0,0.0,0.0,75967.34470051476
0.0,0.0,0.0,0.0,76256.82698887536
0.0,0.0,0.0,0.0,77503.61764305779
0.0,0.0,0.0,0.0,78761.55062073418
0.0,0.0,0.0,0.0,80079.70261791894
0.0,0.0,0.0,0.0,80394.9916785116
0.0,0.0,0.0,0.0,80708.78030804344
0.0,0.0,0.0,0.0,81015.60218266198
0.0,0.0,0.0,0.0,81307.50606182762
0.0,0.0,0.0,0.0,81581.57872799583
0.0,0.0,0.0,0.0,81839.55160740562
0.0,0.0,0.0,0.0,82086.90141609855
0.0,0.0,0.0,0.0,83132.87467735953
0.0,0.0,0.0,0.0,83376.22921627708
0.0,0.0,0.0,0.0,83625.75068443963
0.0,0.0,0.0,0.0,83889.9758517141
0.0,0.0,0.0,0.0,84183.29374951072
0.0,0.0,0.0,0.0,81969.29036760952
0.0,0.0,0.0,0.0,78711.63347597886
0.0,0.0,0.0,0.0,77539.56695253949
0.0,0.0,0.0,0.0,77867.37420733074
0.0,0.0,0.0,0.0,79264.71457140545
0.0,0.0,0.0,0.0,80602.5177163
0.0,0.0,0.0,0.0,80917.38531769466
0.0,0.0,0.0,0.0,82250.11122025202
0.0,0.0,0.0,0.0,83559.86496037195
0.0,0.0,0.0,0.0,83862.28145474146
0.0,0.0,0.0,0.0,84167.36947125147
0.0,0.0,0.0,0.0,83721.11756839072
0.0,0.0,0.0,0.0,83721.11756839072
0.0,0.0,0.0,0.0,83721.11756839072
0.0,0.0,0.0,0.0,83721.11756839072
