NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 8Hr
0.0,0.0,0.0,0.0,31.450968631645537
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4252.844003299896
0.0,0.0,0.0,0.0,10680.911936510607
0.0,0.0,0.0,0.0,10696.855415507474
0.0,0.0,0.0,0.0,1420.1774868731115
0.0,0.0,0.0,0.0,734.3828730309667
0.0,0.0,0.0,0.0,110.15743095464359
0.0,0.0,0.0,0.0,16.523614643205065
0.0,0.0,0.0,0.0,2.478542196485023
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,499.7574800634842
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,56.83033475524291
0.0,0.0,0.0,0.0,5862.995553467026
0.0,0.0,0.0,0.0,5277.811044546837
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2052.16544450879
0.0,0.0,0.0,0.0,3603.1690285451036
0.0,0.0,0.0,0.0,2935.814858574096
0.0,0.0,0.0,0.0,5555.175080474839
0.0,0.0,0.0,0.0,4428.412069959595
0.0,0.0,0.0,0.0,2154.7087752646544
0.0,0.0,0.0,0.0,3908.85846190211
0.0,0.0,0.0,0.0,399.0377697844097
0.0,0.0,0.0,0.0,4970.504281881372
0.0,0.0,0.0,0.0,17168.172506433497
0.0,0.0,0.0,0.0,20442.921155416803
0.0,0.0,0.0,0.0,20360.5609437425
0.0,0.0,0.0,0.0,20416.193931168524
0.0,0.0,0.0,0.0,19410.341523320752
0.0,0.0,0.0,0.0,20104.51135233278
0.0,0.0,0.0,0.0,20442.921155416803
0.0,0.0,0.0,0.0,20442.921155416803
0.0,0.0,0.0,0.0,3066.4381733125197
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,910.8623224074197
0.0,0.0,0.0,0.0,19267.6192443316
0.0,0.0,0.0,0.0,18300.17267080737
0.0,0.0,0.0,0.0,13047.851722776866
0.0,0.0,0.0,0.0,8594.384692003398
0.0,0.0,0.0,0.0,9634.741000184042
0.0,0.0,0.0,0.0,9837.89878011568
0.0,0.0,0.0,0.0,4500.555555488576
