NG 2-on-1 Combined Cycle (F-Frame),NG Combustion Turbine (F-Frame),Land-Based Wind - Class 1 - Technology 1,Utility PV - Class 1,Utility-Scale Battery Storage - 8Hr
0.0,0.0,0.0,0.0,163347.361511224
0.0,0.0,0.0,0.0,162749.58485681223
0.0,0.0,0.0,0.0,161442.26005048378
0.0,0.0,0.0,0.0,159676.21298383342
0.0,0.0,0.0,0.0,157938.62399154113
0.0,0.0,0.0,0.0,154436.62447022842
0.0,0.0,0.0,0.0,148575.79518953606
0.0,0.0,0.0,0.0,141047.5033631407
0.0,0.0,0.0,0.0,139815.81585444105
0.0,0.0,0.0,0.0,143430.73325724594
0.0,0.0,0.0,0.0,152509.50840327996
0.0,0.0,0.0,0.0,161601.83550646133
0.0,0.0,0.0,0.0,162808.98637030346
0.0,0.0,0.0,0.0,163433.2118123798
0.0,0.0,0.0,0.0,163526.84562869123
0.0,0.0,0.0,0.0,163540.89070113795
0.0,0.0,0.0,0.0,163542.99746200498
0.0,0.0,0.0,0.0,150353.41243333428
0.0,0.0,0.0,0.0,134373.57312510343
0.0,0.0,0.0,0.0,121297.98827633377
0.0,0.0,0.0,0.0,112024.24141745709
0.0,0.0,0.0,0.0,106787.7644623554
0.0,0.0,0.0,0.0,104723.63352460861
0.0,0.0,0.0,0.0,105137.7118720755
0.0,0.0,0.0,0.0,105137.7118720755
0.0,0.0,0.0,0.0,105137.7118720755
0.0,0.0,0.0,0.0,105137.7118720755
0.0,0.0,0.0,0.0,104881.9101892448
0.0,0.0,0.0,0.0,100797.14179824527
0.0,0.0,0.0,0.0,92452.3174282808
0.0,0.0,0.0,0.0,81807.22763336377
0.0,0.0,0.0,0.0,69214.92270362475
0.0,0.0,0.0,0.0,64721.96484280399
0.0,0.0,0.0,0.0,53185.30302024733
0.0,0.0,0.0,0.0,43976.32673564854
0.0,0.0,0.0,0.0,37847.82854947889
0.0,0.0,0.0,0.0,37175.639808670065
0.0,0.0,0.0,0.0,36621.0233767476
0.0,0.0,0.0,0.0,41604.569597194575
0.0,0.0,0.0,0.0,46090.708985059384
0.0,0.0,0.0,0.0,45364.00987735968
0.0,0.0,0.0,0.0,32418.63464879834
0.0,0.0,0.0,0.0,17455.766998246407
0.0,0.0,0.0,0.0,3679.3971113940015
0.0,0.0,0.0,0.0,2965.6904365808823
0.0,0.0,0.0,0.0,660.7442555147061
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1744.3406278324715
0.0,0.0,0.0,0.0,4807.03430209581
0.0,0.0,0.0,0.0,7302.476931883791
0.0,0.0,0.0,0.0,12024.375750287405
0.0,0.0,0.0,0.0,15788.526009753059
0.0,0.0,0.0,0.0,17620.028468728015
0.0,0.0,0.0,0.0,20942.55816134481
0.0,0.0,0.0,0.0,21281.74026566156
0.0,0.0,0.0,0.0,25506.668905260725
0.0,0.0,0.0,0.0,40099.6155357292
0.0,0.0,0.0,0.0,57476.09851783348
0.0,0.0,0.0,0.0,74782.57532001461
0.0,0.0,0.0,0.0,92136.34016150786
0.0,0.0,0.0,0.0,108635.1304563305
0.0,0.0,0.0,0.0,125723.96510581336
0.0,0.0,0.0,0.0,143100.44808791764
0.0,0.0,0.0,0.0,160476.9310700219
0.0,0.0,0.0,0.0,163083.40351733755
0.0,0.0,0.0,0.0,148373.8050277166
0.0,0.0,0.0,0.0,129293.1587072485
0.0,0.0,0.0,0.0,110622.97674893044
0.0,0.0,0.0,0.0,93591.18461741872
0.0,0.0,0.0,0.0,79332.23985647866
0.0,0.0,0.0,0.0,67608.83126627866
0.0,0.0,0.0,0.0,58360.882163202485
0.0,0.0,0.0,0.0,51174.33102014612
0.0,0.0,0.0,0.0,45223.93596169326
0.0,0.0,0.0,0.0,39540.378956189365
0.0,0.0,0.0,0.0,33098.44231175041
0.0,0.0,0.0,0.0,24745.383074494646
0.0,0.0,0.0,0.0,14842.338209289623
0.0,0.0,0.0,0.0,6895.288345183393
0.0,0.0,0.0,0.0,2338.3929007635165
0.0,0.0,0.0,0.0,3112.6258748098226
0.0,0.0,0.0,0.0,19490.10223249168
0.0,0.0,0.0,0.0,35045.24900267795
0.0,0.0,0.0,0.0,46135.922967038285
0.0,0.0,0.0,0.0,53441.14995524117
0.0,0.0,0.0,0.0,61630.6798053976
0.0,0.0,0.0,0.0,69992.89376849594
0.0,0.0,0.0,0.0,73818.36599066122
0.0,0.0,0.0,0.0,67296.6772875727
0.0,0.0,0.0,0.0,53159.71495539973
0.0,0.0,0.0,0.0,45547.193293569
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,43555.05084678407
0.0,0.0,0.0,0.0,42127.85303001258
0.0,0.0,0.0,0.0,36415.15104279241
0.0,0.0,0.0,0.0,25864.31611631582
0.0,0.0,0.0,0.0,13694.051621675908
0.0,0.0,0.0,0.0,2813.543987289501
0.0,0.0,0.0,0.0,2813.543987289501
0.0,0.0,0.0,0.0,11649.298235208658
0.0,0.0,0.0,0.0,19985.916817400735
0.0,0.0,0.0,0.0,29508.245988045117
0.0,0.0,0.0,0.0,37955.072766780235
0.0,0.0,0.0,0.0,48323.56818312334
0.0,0.0,0.0,0.0,57012.53769503084
0.0,0.0,0.0,0.0,68228.07960780458
0.0,0.0,0.0,0.0,71731.6537527228
0.0,0.0,0.0,0.0,58999.26274285688
0.0,0.0,0.0,0.0,43209.79571824409
0.0,0.0,0.0,0.0,31967.67881993762
0.0,0.0,0.0,0.0,26118.08965325198
0.0,0.0,0.0,0.0,26025.237197771497
0.0,0.0,0.0,0.0,26025.237197771497
0.0,0.0,0.0,0.0,26334.243016741213
0.0,0.0,0.0,0.0,27453.994283478314
0.0,0.0,0.0,0.0,27621.509375044912
0.0,0.0,0.0,0.0,27621.509375044912
0.0,0.0,0.0,0.0,27621.509375044912
0.0,0.0,0.0,0.0,25556.654281995776
0.0,0.0,0.0,0.0,19576.17470554047
0.0,0.0,0.0,0.0,11133.782133929457
0.0,0.0,0.0,0.0,2522.5620835789023
0.0,0.0,0.0,0.0,1761.746633060206
0.0,0.0,0.0,0.0,871.4013912402679
0.0,0.0,0.0,0.0,1301.0208936292438
0.0,0.0,0.0,0.0,1693.8254786461778
0.0,0.0,0.0,0.0,1709.9649333641335
0.0,0.0,0.0,0.0,1674.6867683967369
0.0,0.0,0.0,0.0,1662.0522965024556
0.0,0.0,0.0,0.0,1680.7573606376477
0.0,0.0,0.0,0.0,3562.542003578146
0.0,0.0,0.0,0.0,3116.5966451222635
0.0,0.0,0.0,0.0,2672.496599166381
0.0,0.0,0.0,0.0,2232.4712774752047
0.0,0.0,0.0,0.0,1844.0130732228001
0.0,0.0,0.0,0.0,1736.7596294082853
0.0,0.0,0.0,0.0,1659.8362108218976
0.0,0.0,0.0,0.0,1602.2854828797554
0.0,0.0,0.0,0.0,2771.622137274287
0.0,0.0,0.0,0.0,3926.3065962586616
0.0,0.0,0.0,0.0,5079.767129950068
0.0,0.0,0.0,0.0,6244.5598769227245
0.0,0.0,0.0,0.0,7439.5692655945995
0.0,0.0,0.0,0.0,24070.6732704318
0.0,0.0,0.0,0.0,25339.496954611484
0.0,0.0,0.0,0.0,26651.473339181794
0.0,0.0,0.0,0.0,27981.449742111483
0.0,0.0,0.0,0.0,32037.628043218887
0.0,0.0,0.0,0.0,38576.59517652742
0.0,0.0,0.0,0.0,53923.87106544374
0.0,0.0,0.0,0.0,71300.35404754803
0.0,0.0,0.0,0.0,88676.83702965232
0.0,0.0,0.0,0.0,106053.3200117566
0.0,0.0,0.0,0.0,123429.80299386088
0.0,0.0,0.0,0.0,140806.28597596515
0.0,0.0,0.0,0.0,147811.50579777153
0.0,0.0,0.0,0.0,152568.30748130922
0.0,0.0,0.0,0.0,155200.66783290065
0.0,0.0,0.0,0.0,158056.08808204535
0.0,0.0,0.0,0.0,162437.60485429733
0.0,0.0,0.0,0.0,162705.42790117234
0.0,0.0,0.0,0.0,162939.60904802196
0.0,0.0,0.0,0.0,163196.20713102975
0.0,0.0,0.0,0.0,162941.59456563223
0.0,0.0,0.0,0.0,160679.0244729923
0.0,0.0,0.0,0.0,156877.17875955135
0.0,0.0,0.0,0.0,147473.84711205002
0.0,0.0,0.0,0.0,132774.36876066646
0.0,0.0,0.0,0.0,114592.21247399859
0.0,0.0,0.0,0.0,94801.65190120254
0.0,0.0,0.0,0.0,82475.83885043407
0.0,0.0,0.0,0.0,79905.19270031873
0.0,0.0,0.0,0.0,83265.81388690365
