Resource,Zone,region,cluster,Technology,New_Build,Can_Retire,Model,LDS,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWhIn,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration
Battery_A_Existing,1,A,1,Battery,0,1,1,0,40.0,160.0,40.0,160.0,0,0,0.0,0.0,28024.477200912246,4670.746200152042,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_A_New,1,A,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,112197.93661017192,18699.65610169532,14012.238600456123,2335.373100076021,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_B_New,2,B,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,112197.93661017192,18699.65610169532,14012.238600456123,2335.373100076021,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_C_Existing,3,C,1,Battery,0,1,1,0,2.0,8.0,2.0,8.0,0,0,0.0,0.0,28024.477200912246,4670.746200152042,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_C_New,3,C,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,112197.93661017192,18699.65610169532,14012.238600456123,2335.373100076021,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_D_Existing,4,D,1,Battery,0,1,1,0,20.0,80.0,20.0,80.0,0,0,0.0,0.0,28024.477200912246,4670.746200152042,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_D_New,4,D,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,112197.93661017192,18699.65610169532,14012.238600456123,2335.373100076021,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_E_New,5,E,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,112197.93661017192,18699.65610169532,14012.238600456123,2335.373100076021,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_F_Existing,6,F,1,Battery,0,1,1,0,40.0,160.0,40.0,160.0,0,0,0.0,0.0,28024.477200912246,4670.746200152042,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_F_New,6,F,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,112197.93661017192,18699.65610169532,14012.238600456123,2335.373100076021,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_G_Existing,7,G,1,Battery,0,1,1,0,3.0,12.0,3.0,12.0,0,0,0.0,0.0,36820.85017704457,6136.808362840763,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_G_New,7,G,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,147414.82542133582,24569.137570222636,18410.425088522286,3068.4041814203815,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_H_New,8,H,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,147414.82542133582,24569.137570222636,18410.425088522286,3068.4041814203815,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_I_New,9,I,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,147414.82542133582,24569.137570222636,18410.425088522286,3068.4041814203815,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_J_New,10,J,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,193304.77708494882,32217.462847491468,24141.555013915648,4023.5925023192754,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_K_New,11,K,1,Battery,1,1,1,0,0.0,0.0,-1.0,-1.0,0,0,157244.16789019207,26207.361315032012,19637.997503135866,3272.9995838559785,0,0,0,None,0.0004,0.92,0.92,2,8
