Resource,Zone,region,cluster,Technology,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Num_VRE_bins
WindLand_A_Existing,1,A,1,WindLand,0,1,447.9,447.9,0,0.0,32309.373241641097,0.0,0,None,1
WindLand_A_New,1,A,1,WindLand,1,1,0.0,2239.5,0,165906.74076066297,16154.686620820548,0.0,0,None,1
WindLand_B_Existing,2,B,1,WindLand,0,1,6.6,6.6,0,0.0,32309.373241641097,0.0,0,None,1
WindLand_B_New,2,B,1,WindLand,1,1,0.0,33.0,0,165906.74076066297,16154.686620820548,0.0,0,None,1
WindLand_C_Existing,3,C,1,WindLand,0,1,914.2,914.2,0,0.0,32309.373241641097,0.0,0,None,1
WindLand_C_New,3,C,1,WindLand,1,1,0.0,4571.0,0,165906.74076066297,16154.686620820548,0.0,0,None,1
WindLand_D_Existing,4,D,1,WindLand,0,1,678.4,678.4,0,0.0,32309.373241641097,0.0,0,None,1
WindLand_D_New,4,D,1,WindLand,1,1,0.0,3392.0,0,165906.74076066297,16154.686620820548,0.0,0,None,1
WindLand_E_Existing,5,E,1,WindLand,0,1,817.2,817.2,0,0.0,32309.373241641097,0.0,0,None,1
WindLand_E_New,5,E,1,WindLand,1,1,0.0,4086.0,0,165906.74076066297,16154.686620820548,0.0,0,None,1
SolarUtility_C_Existing,3,C,1,SolarUtility,0,1,40.0,40.0,0,0.0,21608.88881661824,0.0,0,None,1
SolarUtility_C_New,3,C,1,SolarUtility,1,1,0.0,200.0,0,145819.63421422683,10804.44440830912,0.0,0,None,1
SolarUtility_F_Existing,6,F,1,SolarUtility,0,1,160.0,160.0,0,0.0,21608.88881661824,0.0,0,None,1
SolarUtility_F_New,6,F,1,SolarUtility,1,1,0.0,800.0,0,145819.63421422683,10804.44440830912,0.0,0,None,1
SolarUtility_K_Existing,11,K,1,SolarUtility,0,1,54.4,54.4,0,0.0,30284.618805483093,0.0,0,None,1
SolarUtility_K_New,11,K,1,SolarUtility,1,1,0.0,272.0,0,204364.605418149,15142.309402741546,0.0,0,None,1
