Region,Resource,Zone,Cluster,AnnualSum
A,Hydro_A,1,1,0.0
B,Hydro_B,2,1,0.0
C,Hydro_C,3,1,0.0
D,Hydro_D,4,1,0.0
E,Hydro_E,5,1,0.0
F,Hydro_F,6,1,0.0
G,Hydro_G,7,1,0.0
A,Combined_Cycle_Natural_Gas_A,1,1,0.0
A,Combustion_Turbine_Natural_Gas_A,1,1,0.0
A,Steam_Turbine_Coal_A,1,1,0.0
B,Combined_Cycle_Natural_Gas_B,2,1,0.0
C,Combined_Cycle_Natural_Gas_C,3,1,0.0
C,Steam_Turbine_Coal_C,3,1,0.0
C,Steam_Turbine_Fuel_Oil_6_C,3,1,0.0
C,Steam_Turbine_Natural_Gas_C,3,1,0.0
D,Combined_Cycle_Natural_Gas_D,4,1,0.0
E,Combined_Cycle_Natural_Gas_E,5,1,0.0
F,Combined_Cycle_Natural_Gas_F,6,1,0.0
G,Combined_Cycle_Natural_Gas_G,7,1,0.0
G,Jet_Engine_Natural_Gas_G,7,1,0.0
G,Steam_Turbine_Fuel_Oil_6_G,7,1,0.0
G,Steam_Turbine_Natural_Gas_G,7,1,0.0
J,Combined_Cycle_Natural_Gas_J,10,1,0.0
J,Combustion_Turbine_Natural_Gas_J,10,1,0.0
J,Steam_Turbine_Fuel_Oil_2_J,10,1,0.0
J,Steam_Turbine_Fuel_Oil_6_J,10,1,0.0
J,Steam_Turbine_Natural_Gas_J,10,1,0.0
K,Combined_Cycle_Natural_Gas_K,11,1,0.0
K,Combustion_Turbine_Fuel_Oil_2_K,11,1,0.0
K,Combustion_Turbine_Natural_Gas_K,11,1,0.0
K,Jet_Engine_Fuel_Oil_2_K,11,1,0.0
K,Jet_Engine_Natural_Gas_K,11,1,0.0
K,Steam_Turbine_Fuel_Oil_6_K,11,1,0.0
K,Steam_Turbine_Natural_Gas_K,11,1,0.0
B,Nuclear_B,2,1,0.0
C,Nuclear_C,3,1,0.0
A,Wind_Land_A,1,1,0.0
B,Wind_Land_B,2,1,0.0
C,Wind_Land_C,3,1,0.0
D,Wind_Land_D,4,1,0.0
E,Wind_Land_E,5,1,0.0
F,Wind_Land_F,6,1,0.0
G,Wind_Land_G,7,1,0.0
H,Wind_Land_H,8,1,0.0
K,Wind_Land_K,11,1,0.0
J,Wind_Offshore_J,11,1,0.0
K,Wind_Offshore_K,11,1,0.0
A,Solar_BTM_A,11,1,0.0
B,Solar_BTM_B,11,1,0.0
C,Solar_BTM_C,11,1,0.0
D,Solar_BTM_D,11,1,0.0
E,Solar_BTM_E,11,1,0.0
F,Solar_BTM_F,11,1,0.0
G,Solar_BTM_G,11,1,0.0
H,Solar_BTM_H,11,1,0.0
I,Solar_BTM_I,11,1,0.0
J,Solar_BTM_J,11,1,0.0
K,Solar_BTM_K,11,1,0.0
A,Solar_Utility_A,11,1,0.0
B,Solar_Utility_B,11,1,0.0
C,Solar_Utility_C,11,1,0.0
E,Solar_Utility_E,11,1,0.0
F,Solar_Utility_F,11,1,0.0
G,Solar_Utility_G,11,1,0.0
K,Solar_Utility_K,11,1,0.0
A,Battery_A,1,1,1.9403344783723492e7
B,Battery_B,2,1,54153.15503615194
C,Battery_C,3,1,9.0362406096885e6
D,Battery_D,4,1,2.83341870929648e7
E,Battery_E,5,1,1.6541133128263853e6
F,Battery_F,6,1,8.4550032457076e6
G,Battery_G,7,1,162274.19397553004
H,Battery_H,8,1,154509.8013215368
I,Battery_I,9,1,131159.87065338658
J,Battery_J,10,1,2.095220684919047e7
K,Battery_K,11,1,382785.9690458416
