Region,Resource,Zone,Cluster,AnnualSum
A,Hydro_A,1,1,4.1468986563157365e6
B,Hydro_B,2,1,5.629194326127773e7
C,Hydro_C,3,1,5.916305735535286e7
D,Hydro_D,4,1,3.209213815120761e7
E,Hydro_E,5,1,2.0406888592749834e8
F,Hydro_F,6,1,1.5691308977464527e8
G,Hydro_G,7,1,4.306241018490094e7
A,PumpedHydro_A,1,1,2.1175652537594298e8
F,PumpedHydro_F,6,1,6.331102037488552e8
A,CombinedCycle_NaturalGas_A_Existing,1,1,2.0922058897512296e8
A,CombinedCycle_NaturalGas_A_New,1,1,3.834331069089392e8
A,CombustionTurbine_NaturalGas_A_Existing,1,1,2.8798587579976764e7
A,CombustionTurbine_NaturalGas_A_New,1,1,1.4384645298279694e8
A,InternalCombustion_MethaneBio_A_Existing,1,1,2.018393564826694e7
A,SteamTurbine_NaturalGas_A_Existing,1,1,2.9478296868298076e7
A,SteamTurbine_Refuse_A_Existing,1,1,3.521392047730598e7
B,CombinedCycle_NaturalGas_B_Existing,2,1,1.0363530075458458e8
B,CombinedCycle_NaturalGas_B_New,2,1,5.186009354643309e8
B,InternalCombustion_MethaneBio_B_Existing,2,1,9.515283948469028e6
B,SteamTurbine_NaturalGas_B_Existing,2,1,0.0
C,CombinedCycle_NaturalGas_C_Existing,3,1,6.099740848079634e8
C,CombinedCycle_NaturalGas_C_New,3,1,0.0
C,InternalCombustion_MethaneBio_C_Existing,3,1,2.3198324756730665e7
C,SteamTurbine_FuelOil6_C_Existing,3,1,3.521376511103286e8
C,SteamTurbine_NaturalGas_C_Existing,3,1,3.2076440393778566e7
D,CombinedCycle_NaturalGas_D_Existing,4,1,1.7643226855907327e8
D,CombinedCycle_NaturalGas_D_New,4,1,0.0
D,InternalCombustion_MethaneBio_D_Existing,4,1,3.4546859344641278e6
E,CombinedCycle_NaturalGas_E_Existing,5,1,1.0201070536973664e8
E,CombinedCycle_NaturalGas_E_New,5,1,0.0
E,InternalCombustion_MethaneBio_E_Existing,5,1,4.700674254913833e6
F,CombinedCycle_NaturalGas_F_Existing,6,1,1.3480805238515358e9
F,CombinedCycle_NaturalGas_F_New,6,1,0.0
F,InternalCombustion_MethaneBio_F_Existing,6,1,8.310138315898937e6
F,SteamTurbine_Refuse_F_Existing,6,1,5.389345284194155e6
G,CombinedCycle_NaturalGas_G_Existing,7,1,7.621782591342343e8
G,CombinedCycle_NaturalGas_G_New,7,1,0.0
G,CombustionTurbine_Kerosene_G_Existing,7,1,1.0306448628463326e7
G,CombustionTurbine_Kerosene_G_New,7,1,5.153224314231429e7
G,CombustionTurbine_NaturalGas_G_Existing,7,1,4.673346783900014e6
G,CombustionTurbine_NaturalGas_G_New,7,1,2.3365817373959865e7
G,SteamTurbine_NaturalGas_G_Existing,7,1,5.884635241979558e8
G,SteamTurbine_Refuse_G_Existing,7,1,3.7462191248149825e6
G,JetEngine_nan_G_Existing,7,1,4.0705486805797994e7
H,SteamTurbine_Refuse_H_Existing,8,1,2.868471643615851e7
J,CombinedCycle_NaturalGas_J_Existing,10,1,8.951179136983827e8
J,CombinedCycle_NaturalGas_J_New,10,1,0.0
J,CombustionTurbine_NaturalGas_J_Existing,10,1,3.3023497600747555e8
J,CombustionTurbine_NaturalGas_J_New,10,1,4.7920479812020814e8
