Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Hydro_A,1,None,2460.0,0.0,0.0,0.0,2460.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_B,2,None,63.8,0.0,0.0,0.0,63.8,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_C,3,None,109.4,0.0,0.0,0.0,109.4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_D,4,None,909.8,0.0,0.0,0.0,909.8,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_E,5,None,376.3,0.0,0.0,0.0,376.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_F,6,None,269.6,0.0,0.0,0.0,269.6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro_G,7,None,75.8,0.0,0.0,0.0,75.8,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_A,1,None,882.9000000000001,882.9000000000001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combustion_Turbine_Natural_Gas_A,1,None,47.3,0.0,0.0,94.59999999999998,141.89999999999998,52725.28827846713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Coal_A,1,None,655.1,655.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_B,2,None,134.3,134.3,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_C,3,None,5477.9,5477.9,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Coal_C,3,None,322.5,322.5,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Fuel_Oil_6_C,3,None,1803.6,1803.6,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Natural_Gas_C,3,None,112.5,0.0,0.0,0.0,112.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_D,4,None,673.3000000000001,673.3000000000001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_E,5,None,236.0,236.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_F,6,None,5773.0,0.0,0.0,0.0,5773.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_G,7,None,770.0,0.0,0.0,1540.0,2310.0,115499.96366296509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jet_Engine_Natural_Gas_G,7,None,88.4,88.4,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Fuel_Oil_6_G,7,None,1242.0,1242.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Natural_Gas_G,7,None,1774.0,1774.0000000000002,0.0,0.0,-2.220446049250313e-13,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_J,10,None,3261.2,0.0,0.0,5525.201937943143,8786.401937943143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combustion_Turbine_Natural_Gas_J,10,None,470.0,0.0,0.0,0.0,470.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Fuel_Oil_2_J,10,None,1526.0,1526.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Fuel_Oil_6_J,10,None,1827.0,1827.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Natural_Gas_J,10,None,1447.9,1447.9,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combined_Cycle_Natural_Gas_K,11,None,945.2,0.0,0.0,0.0,945.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combustion_Turbine_Fuel_Oil_2_K,11,None,500.90000000000003,500.90000000000003,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combustion_Turbine_Natural_Gas_K,11,None,712.5,712.5,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jet_Engine_Fuel_Oil_2_K,11,None,621.0,621.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jet_Engine_Natural_Gas_K,11,None,60.5,60.5,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Fuel_Oil_6_K,11,None,376.0,376.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam_Turbine_Natural_Gas_K,11,None,1924.0,1924.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
