Resource,Battery_A_Existing,Battery_A_New,Battery_C_Existing,Battery_C_New,Battery_D_Existing,Battery_D_New,Battery_F_Existing,Battery_F_New,Battery_G_Existing,Battery_G_New,Total
Zone,1,1,3,3,4,4,6,6,7,7,0
AnnualSum,27864.747570347055,250250.30903209027,1257.962938734207,0.0,12529.92387080065,0.0,25100.013416311147,0.0,1877.2200920040916,0.0,318880.1769202874
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,270.6128734639878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.6128734639878
t5,14.031454741802879,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.078268968643
t6,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
t7,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
t8,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
t9,40.0,294.0468142268401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0468142268401
t10,0.06956521739128341,0.6956521739130151,0.038199719466541,0.0,0.3472006673587846,0.0,0.6944013347175692,0.0,0.052080100103820325,0.0,1.8970992129510134
t11,0.06956521739128341,0.6956521739130151,0.0,0.0,0.034782608695641704,0.0,0.06956521739128341,0.0,0.00521739130434701,0.0,0.8747826086955707
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.2780939575607165,2.780939575607225,0.013904697878038842,0.0,0.13904697878035824,0.0,0.2780939575607165,0.0,0.02085704681705449,0.0,3.5109362142041096
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,1.109710572774215,11.09710572774227,0.05548552863871753,0.0,0.5548552863871075,0.0,1.109710572774215,0.0,0.08322829295807065,0.0,14.010095981274596
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
