Resource,CombinedCycle_NaturalGas_A_New,CombinedCycle_NaturalGas_A_Existing,CombustionTurbine_NaturalGas_A_New,CombustionTurbine_NaturalGas_A_Existing,SteamTurbine_NaturalGas_A_New,SteamTurbine_NaturalGas_A_Existing,CombinedCycle_NaturalGas_B_New,CombinedCycle_NaturalGas_B_Existing,SteamTurbine_NaturalGas_B_New,SteamTurbine_NaturalGas_B_Existing,CombinedCycle_NaturalGas_C_New,CombinedCycle_NaturalGas_C_Existing,SteamTurbine_FuelOil6_C_New,SteamTurbine_FuelOil6_C_Existing,SteamTurbine_NaturalGas_C_New,SteamTurbine_NaturalGas_C_Existing,CombinedCycle_NaturalGas_D_New,CombinedCycle_NaturalGas_D_Existing,CombinedCycle_NaturalGas_E_New,CombinedCycle_NaturalGas_E_Existing,CombinedCycle_NaturalGas_F_New,CombinedCycle_NaturalGas_F_Existing,CombinedCycle_NaturalGas_G_New,CombinedCycle_NaturalGas_G_Existing,CombustionTurbine_NaturalGas_G_New,CombustionTurbine_NaturalGas_G_Existing,SteamTurbine_NaturalGas_G_New,SteamTurbine_NaturalGas_G_Existing,CombinedCycle_NaturalGas_J_New,CombinedCycle_NaturalGas_J_Existing,CombustionTurbine_NaturalGas_J_New,CombustionTurbine_NaturalGas_J_Existing,SteamTurbine_NaturalGas_J_New,SteamTurbine_NaturalGas_J_Existing,CombinedCycle_NaturalGas_K_New,CombinedCycle_NaturalGas_K_Existing,CombustionTurbine_FuelOil2_K_New,CombustionTurbine_FuelOil2_K_Existing,CombustionTurbine_NaturalGas_K_New,CombustionTurbine_NaturalGas_K_Existing,SteamTurbine_NaturalGas_K_New,SteamTurbine_NaturalGas_K_Existing,CombinedCycle_NaturalGas_H_New,CombustionTurbine_NaturalGas_H_New,CombustionTurbine_FuelOil2_H_New,SteamTurbine_NaturalGas_H_New,SteamTurbine_FuelOil6_H_New,CombinedCycle_NaturalGas_I_New,CombustionTurbine_NaturalGas_I_New,CombustionTurbine_FuelOil2_I_New,SteamTurbine_NaturalGas_I_New,SteamTurbine_FuelOil6_I_New,Nuclear_A_New,Nuclear_B_New,Nuclear_B_Existing,Nuclear_C_New,Nuclear_C_Existing,Nuclear_D_New,Nuclear_E_New,Nuclear_F_New,Nuclear_G_New,Nuclear_H_New,Nuclear_I_New,Nuclear_J_New,Nuclear_K_New,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,5,5,6,6,7,7,7,7,7,7,10,10,10,10,10,10,11,11,11,11,11,11,11,11,8,8,8,8,8,9,9,9,9,9,1,2,2,3,3,4,5,6,7,8,9,10,11,0
AnnualSum,0.0,3593.3792733872915,0.0,111.89715401900906,0.0,0.0,0.0,1113.9549009744069,0.0,0.0,0.0,13021.5470616913,0.0,0.0,0.0,0.0,0.0,3210.821866299744,0.0,1947.8640386071856,0.0,15826.329222343124,0.0,9385.91772041222,1510.5948434965983,13.594612018398683,0.0,0.0,0.0,30549.822736706836,0.0,2512.0961836193087,0.0,0.0,0.0,5677.3362824993865,0.0,16.564455287571942,1597.6376397577635,801.6436412053623,0.0,649.7747030539051,0.0,0.0,0.0,0.0,0.0,0.0,1805.537525992531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93346.31386137195
t1,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.675182443507295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.466882443507295
t2,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.675182443507295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.466882443507295
t3,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43416830440121146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2258683044012115
t4,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43416830440121146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2258683044012115
t5,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70236309813444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49406309813444
t6,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1362273952755924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.927927395275592
t7,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8380986945411009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.629798694541101
t8,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8380986945411009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.629798694541101
t9,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5015866806747384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293286680674739
t10,0.0,0.44039999999999996,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,1.5933,0.0,0.0,0.0,0.0,0.0,0.3877,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.530900000000001
