Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,6.990880773266758e9,6.395992381040988e8,3.7619112144006416e7,4.8938319010682994e8,3.32512323295483e8,1.1400939169458227e8,6.662959161472144e8,5.058721597970971e8,355968.64188632934,1.5597981438154662e8,2.239863866257158e9,1.8093897926989434e9
cFix,4.1781999637179003e9,4.103727881083656e8,1.131499580604716e7,1.7376577569788927e8,1.7739763827597636e8,6.711253470675926e7,2.636327951633009e8,2.745410551766464e8,0.0,0.0,1.2017255345283668e9,1.598336846254547e9
cVar,3.824278680737675e8,3.675660060854868e7,4.1206992443756196e6,4.7344774922203764e7,2.428714590391551e7,8.53261469259802e6,5.711929045904289e7,3.051021730784467e7,0.0,0.0,1.440447956910501e8,2.9711729244179573e7
cFuel,2.0858857211744075e9,1.355232649920431e8,2.2183417093583632e7,2.682726394867369e8,1.0676069539204726e8,3.836424229522499e7,3.455438305248706e8,2.0082088731260598e8,0.0,0.0,8.18585779968267e8,1.4983096410898873e8
cNSE,3.4436722030282015e8,5.694658439514143e7,0.0,0.0,2.406684372354382e7,0.0,0.0,0.0,355968.64188632934,1.5597981438154662e8,7.55077560694739e7,3.151025309122812e7
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
