Line,1,2,3,4,5,6,7,8,9,10,11,12
t1,-281.13415695624946,-1044.972456255303,-105.9885646457077,1883.4116656063475,-3600.0,6014.722363841301,-3384.1954803537333,1753.98465641868,1481.48465641868,2702.284411863774,-1802.5997554450944,300.0
t2,646.5373519093246,-49.007019575439585,933.0303731574759,1681.009806594599,-3600.0,6889.154703819046,-3234.5,2830.312476750158,2570.312476750158,3937.8122321952524,-1927.8997554450943,300.0
t3,736.1620566941971,60.42470169837543,1114.6389968345666,1876.2091818138178,-3600.0,7288.196541883434,-3395.6909607074667,3123.105581175968,2870.605581175968,4362.3053366210615,-2027.9997554450945,300.0
t4,-95.35846077253848,-711.7473595550006,318.1151962834582,1840.7630588279028,3600.0,-801.9647492806025,4024.1,2466.5352507193975,2228.6352507193974,3213.235006164493,-1500.8997554450943,-300.0
t5,823.4314298338438,177.0897008626988,1100.2178599066835,1456.518995788419,3600.0,-316.80345811656457,3824.909039292533,2760.2055811759683,2526.1055811759684,3552.005336621063,-1527.5997554450944,-300.0
t6,461.10083668780055,-178.38806209466156,748.9103116520209,1799.9297463349221,-3600.0,6866.8699698052515,-3291.6954803537333,2785.905581175968,2554.405581175968,4166.705336621062,-2121.099755445094,300.0
t7,650.9116789789296,-23.977219803532535,871.6399189677331,1890.4807852253955,-3600.0,7046.008345502417,-3345.0027643264493,2905.7055811759674,2682.3055811759673,4253.305336621062,-2094.599755445094,300.0
t8,902.9844327839389,175.37544034144503,1150.525412261643,1865.8607294830797,-3600.0,7071.205581175969,-3250.1,3028.2055811759687,2785.005581175969,4345.005336621063,-2087.4997554450947,300.0
t9,1487.4575408389303,698.4373408965159,1632.8196754425674,1449.0459742236526,3600.0,78.84934440435995,3940.356236771608,3195.2055811759683,2941.905581175968,3861.905336621063,-1454.5997554450944,-300.0
t10,1659.7045120662553,857.3265619203769,1674.6094459305402,1811.993324702648,3600.0,403.4844120785567,3920.3252397938504,3457.809651872407,3187.609651872407,4009.205336621063,-1374.7956847486553,-300.0
t11,1038.1464904600361,211.02763591687176,878.2071506800594,1801.0269358157211,-3600.0,6690.596593393448,-3468.233426163461,2329.363167229987,2045.963167229987,3330.04966954343,-1865.9865023134423,300.0
t12,1335.3217148580336,469.5579545509795,995.5591977686563,1795.2239791295706,3600.0,-480.69945318589816,3777.447805506947,2372.776081632174,2086.076081632174,3301.9758370772684,-1808.3997554450943,300.0
t13,1473.1224879745691,564.7626452111691,992.5274767462869,1512.138368143602,3600.0,-782.0096619576289,3670.604250566904,1989.094588609275,1703.594588609275,2974.7943440543695,-1855.5997554450944,300.0
t14,1295.8697967343007,354.18809888686087,740.5093860826638,1750.979252242932,3600.0,-978.7387620045032,3012.432571053607,1125.6938090491035,840.0938090491035,1557.6935644941982,-1303.5997554450946,-300.0
t15,1915.2414332265998,995.4339373402614,1417.1779570998658,1415.4276223389083,3600.0,-439.7724684988739,3615.2266452764884,2238.0541767776144,1946.8541767776146,2582.1539322227086,-1227.9997554450943,-300.0
t16,832.2131610650149,-118.50262765798544,257.86278868098935,1663.6347715008874,3600.0,-1385.650475264622,3511.441196175104,1108.840720910482,808.440720910482,1918.6929549830766,-1718.2522340725945,300.0
