Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t22,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,-0.0
t23,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,-0.0
t24,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,43.61698778233809,-0.0
t25,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t26,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t27,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t28,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t29,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t30,52.36367266856962,52.36367266856962,52.36367266856962,52.36367266856962,52.36367266856962,52.36367266856962,52.36367266856962,52.36367266856962,52.36367266856962,52.36367266856962,-0.0
t31,52.384626519177296,52.384626519177296,52.384626519177296,52.384626519177296,52.384626519177296,52.384626519177296,52.384626519177296,52.384626519177296,52.384626519177296,52.384626519177296,-0.0
t32,52.40558875467916,52.40558875467916,52.40558875467916,52.40558875467916,52.40558875467916,52.40558875467916,52.40558875467916,52.40558875467916,52.40558875467916,52.40558875467916,-0.0
t33,52.42655937843053,52.42655937843053,52.42655937843053,52.42655937843053,52.42655937843053,52.42655937843053,52.42655937843053,52.42655937843053,52.42655937843053,52.42655937843053,-0.0
t34,52.447538393788044,52.447538393788044,52.447538393788044,52.447538393788044,52.447538393788044,52.447538393788044,52.447538393788044,52.447538393788044,52.447538393788044,52.447538393788044,-0.0
t35,52.46852580410969,52.46852580410969,52.46852580410969,52.46852580410969,52.46852580410969,52.46852580410969,52.46852580410969,52.46852580410969,52.46852580410969,52.46852580410969,-0.0
t36,52.48952161275477,52.48952161275477,52.48952161275477,52.48952161275477,52.48952161275477,52.48952161275477,52.48952161275477,52.48952161275477,52.48952161275477,52.48952161275477,-0.0
t37,52.51052582308401,52.51052582308401,52.51052582308401,52.51052582308401,52.51052582308401,52.51052582308401,52.51052582308401,52.51052582308401,52.51052582308401,52.51052582308401,-0.0
t38,52.53153843845939,52.53153843845939,52.53153843845939,52.53153843845939,52.53153843845939,52.5315384384594,52.53153843845939,52.53153843845939,52.53153843845939,52.53153843845939,-0.0
t39,52.55255946224428,52.55255946224428,52.55255946224428,52.55255946224429,52.55255946224429,52.55255946224429,52.55255946224429,52.55255946224429,52.55255946224429,52.55255946224429,-0.0
t40,52.57358889780339,52.57358889780339,52.57358889780339,52.57358889780339,52.57358889780339,52.57358889780339,52.57358889780339,52.5735888978034,52.5735888978034,52.5735888978034,-0.0
t41,52.5946267485028,52.5946267485028,52.5946267485028,52.5946267485028,52.5946267485028,52.594626748502805,52.59462674850279,52.59462674850279,52.59462674850279,52.59462674850279,52.59462674850279
t42,52.61567301770988,52.61567301770988,52.615673017709874,52.615673017709874,52.615673017709874,52.615673017709874,52.615673017709874,52.615673017709874,52.615673017709874,52.615673017709874,52.615673017709874
t43,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394,52.636727708793394
t44,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435,52.657790825123435
t45,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923,52.55250894108923
t46,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,43.486305930480846
t47,43.50370741344621,43.50370741344621,43.50370741344621,43.50370741344621,43.50370741344621,43.50370741344621,43.50370741344621,43.50370741344621,43.50370741344621,43.50370741344621,36.82153795474089
t48,43.52111585979013,43.52111585979013,43.52111585979013,43.52111585979013,43.52111585979013,43.52111585979013,43.52111585979013,43.52111585979013,43.52111585979013,43.52111585979013,36.83627246372638
t49,43.538531272299046,43.538531272299046,43.538531272299046,43.538531272299046,43.538531272299046,43.538531272299046,43.538531272299046,43.538531272299046,43.538531272299046,43.538531272299046,36.85101286887393
t50,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055,43.55595365376055
t51,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326,43.573383006963326
t52,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721,43.59081933469721
t53,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312,43.60826263975312
t54,43.62571292492307,43.62571292492307,43.625712924923086,43.625712924923086,43.625712924923086,43.625712924923086,43.625712924923086,43.625712924923086,43.625712924923086,43.625712924923086,43.625712924923086
t55,43.64317019300027,43.64317019300027,43.64317019300028,43.64317019300028,43.64317019300028,43.64317019300028,43.64317019300028,43.64317019300028,43.64317019300028,43.64317019300028,43.64317019300028
t56,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985,43.660634446778985
t57,43.678105689054604,43.678105689054604,43.678105689054604,43.678105689054604,43.678105689054604,43.678105689054604,43.678105689054604,43.678105689054604,43.678105689054604,43.678105689054604,-0.0
t58,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,-0.0
t59,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,-0.0
t60,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,-0.0
t61,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,-0.0
t62,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,-0.0
t63,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t64,51.749291467327446,51.749291467327446,51.749291467327446,51.749291467327446,51.749291467327446,51.749291467327446,51.749291467327446,51.749291467327446,51.749291467327446,51.749291467327446,-0.0
t65,51.76999946711428,51.76999946711428,51.76999946711428,51.76999946711428,51.76999946711428,51.76999946711428,51.76999946711428,51.76999946711428,51.76999946711428,51.76999946711428,-0.0
t66,51.790715753415654,51.790715753415654,51.790715753415654,51.790715753415654,51.790715753415654,51.790715753415654,51.790715753415654,51.790715753415654,51.790715753415654,51.790715753415654,-0.0
t67,51.811440329547466,51.811440329547466,51.811440329547466,51.811440329547466,51.811440329547466,51.811440329547466,51.811440329547466,51.811440329547466,51.811440329547466,51.811440329547466,43.85320309492898
t68,43.88830671817445,43.88830671817445,51.832173198827,51.832173198827,51.832173198827,51.832173198827,51.832173198827,51.832173198827,51.832173198827,51.832173198827,51.832173198827
t69,43.88830671817445,43.88830671817445,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177
t70,43.905869065800765,43.905869065800765,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177
t71,43.92343844117723,43.92343844117723,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177
t72,43.94101484711608,43.94101484711608,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177
t73,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065,43.95859828643065
t74,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425,43.976188761935425
t75,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995,43.993786276445995
t76,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911,44.01139083277911
t77,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261,44.02900243375261
t78,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548,44.04662108218548
t79,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784,44.06424678089784
t80,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092,44.08187953271092
t81,44.0995193404471,44.0995193404471,44.0995193404471,44.0995193404471,44.0995193404471,44.0995193404471,44.0995193404471,44.0995193404471,44.0995193404471,44.0995193404471,-0.0
t82,44.11716620692987,44.11716620692987,44.11716620692987,44.11716620692987,44.11716620692987,44.11716620692987,44.11716620692987,44.11716620692987,44.11716620692987,44.11716620692987,-0.0
t83,44.13482013498387,44.13482013498387,44.13482013498387,44.13482013498387,44.13482013498387,44.13482013498387,44.13482013498387,44.13482013498387,44.13482013498387,44.13482013498387,-0.0
t84,44.15248112743484,44.15248112743484,44.15248112743484,44.15248112743484,44.15248112743484,44.15248112743484,44.15248112743484,44.15248112743484,44.15248112743484,44.15248112743484,-0.0
t85,44.17014918710968,44.17014918710968,44.17014918710968,44.17014918710968,44.17014918710968,44.17014918710968,44.17014918710968,44.17014918710968,44.17014918710968,44.17014918710968,-0.0
t86,44.18782431683642,44.18782431683642,44.18782431683642,44.18782431683642,44.18782431683642,44.18782431683642,44.18782431683642,44.18782431683642,44.18782431683642,44.18782431683642,-0.0
t87,46.69192335124177,46.69192335124177,46.69192335124177,44.205506519444185,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t88,52.248577265788384,52.248577265788384,52.248577265788384,52.248577265788384,52.248577265788384,52.248577265788384,52.248577265788384,52.248577265788384,52.248577265788384,52.248577265788384,-0.0
t89,52.269485059812304,52.269485059812304,52.269485059812304,52.269485059812304,52.269485059812304,52.269485059812304,52.269485059812304,52.269485059812304,52.269485059812304,52.269485059812304,-0.0
t90,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t91,52.31132575060066,52.31132575060066,52.31132575060066,52.31132575060066,52.31132575060066,52.31132575060066,52.31132575060066,52.31132575060066,52.31132575060066,52.31132575060066,-0.0
t92,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228,52.33225865406228
t93,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589,52.35319993403589
t94,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344,52.37414959387344
t95,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821,52.39510763692821
t96,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835,52.416074066554835
t97,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274,52.437048886109274
t98,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884,52.45803209894884
t99,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216,52.479023708432216
t100,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938,52.50002371791938
t101,52.521032130771694,52.521032130771694,52.521032130771694,52.521032130771694,52.521032130771694,52.521032130771694,52.521032130771694,52.521032130771694,52.521032130771694,52.521032130771694,-0.0
t102,52.542048950351834,52.542048950351834,52.542048950351834,52.542048950351834,52.542048950351834,52.542048950351834,52.542048950351834,52.542048950351834,52.542048950351834,52.542048950351834,-0.0
t103,52.56307418002385,52.56307418002385,52.56307418002385,52.56307418002385,52.56307418002385,52.56307418002385,52.56307418002385,52.56307418002385,52.56307418002385,52.56307418002385,-0.0
t104,52.5841078231531,52.5841078231531,52.5841078231531,52.5841078231531,52.5841078231531,52.5841078231531,52.5841078231531,52.5841078231531,52.5841078231531,52.5841078231531,-0.0
t105,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t106,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t107,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t108,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t109,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t110,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t111,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t112,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,52.605149883106336,-0.0
t113,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t114,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t115,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,46.69192335124177,-0.0
t116,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,43.88830671817445,-0.0
t117,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t118,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t119,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t120,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
t121,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
