Resource,Battery_A_Existing,Battery_A_New,Battery_B_New,Battery_C_Existing,Battery_C_New,Battery_D_Existing,Battery_D_New,Battery_E_New,Battery_F_Existing,Battery_F_New,Battery_G_Existing,Battery_G_New,Battery_H_New,Battery_I_New,Battery_J_New,Battery_K_New,Hydro_A,Hydro_B,Hydro_C,Hydro_D,Hydro_E,Hydro_F,Hydro_G,PumpedHydro_A,PumpedHydro_F,Total
Zone,1,1,2,3,3,4,4,5,6,6,7,7,8,9,10,11,1,2,3,4,5,6,7,1,6,0
AnnualSum,235478.02988113134,0.0,2.640055140039983e-11,14171.028094066056,276850.2308575318,139472.37379494935,294199.5680712886,280273.3349205127,267426.4199462126,297883.4519456148,21494.277812979817,0.0,0.0,0.0,0.0,0.0,1.598765415004586e8,4.1242648962779325e6,5.162914054153148e6,5.4869267209283926e7,1.7859880889781438e7,1.3886282868942305e7,3.8016029922994124e6,1.529437871923646e7,5.4848685650896125e7,3.315510674966536e8
t1,49.9429743688393,0.0,0.0,2.4971487184419665,75.74835574854701,24.97148718441965,82.7494377539211,75.96752061111503,49.9429743688393,77.68794542973049,3.7457230776629498,0.0,0.0,0.0,0.0,0.0,25003.124745802135,607.0501816155262,1300.8000000000002,13662.149226836498,4454.375301634257,3425.0679305157773,946.8000000000001,1697.7777340676578,13920.0,65460.39868773337
t2,49.922997179091766,0.0,0.0,2.49614985895459,75.7180564062476,24.961498589545883,82.71633797881954,75.93713360287059,49.922997179091766,77.6568702515586,3.7442247884318847,0.0,0.0,0.0,0.0,0.0,26068.512274211345,619.7423115001314,1300.8000000000002,13761.599999999999,4421.950603268515,3400.1358610315547,946.8000000000001,1865.5224232887435,13819.404519646267,66647.54425878117
t3,49.90302798022013,0.0,0.0,2.4951513990110086,75.6877691836851,24.951513990110065,82.68325144362801,75.90675874942944,49.90302798022013,77.62580750345798,3.742727098516512,0.0,0.0,0.0,0.0,0.0,27191.00912888533,638.8144413847367,1291.399525801427,13662.149226836498,4389.525904902773,3375.203791547332,939.9577729311126,1913.2671125098293,13920.0,67764.22594012732
t4,49.88306676902805,0.0,0.0,2.494153338451404,75.65749407601163,24.941533384514024,82.65017814305057,75.87639604592968,49.88306676902805,77.5947571804566,3.741230007677106,0.0,0.0,0.0,0.0,0.0,29037.031140783925,625.986571269342,1281.999051602854,13562.698453672998,4429.548793462968,3350.2717220631093,933.115545862225,2081.011801730915,13819.404519646267,69563.78947580875
t5,49.86311354232044,0.0,0.0,2.4931556771160235,75.62723107838123,24.93155677116022,82.61711807179336,75.84604548751132,49.86311354232044,77.56371927758441,3.7397335156740357,0.0,0.0,0.0,0.0,0.0,30134.60023036982,645.0587011539473,1300.8000000000002,13761.599999999999,4397.124095097226,3325.3396525788867,926.2733187933375,2128.7564909520006,13920.0,70982.0972759091
t6,49.843168296903514,0.0,0.0,2.492158414845177,75.59698018594987,24.921584148451757,82.58407122456464,75.81570706931632,49.843168296903514,77.53269378987338,3.738237622267766,0.0,0.0,0.0,0.0,0.0,31620.33718080856,632.2308310385525,1291.399525801427,13662.149226836498,4364.699396731484,3300.407583094664,946.8000000000001,2138.29779701023,13920.0,72318.68931037051
t7,49.823231029584754,0.0,0.0,2.491161551479239,75.5667413938755,24.911615514792377,82.55103759607482,75.78538078648859,49.823231029584754,77.50168071235743,3.736742327218859,0.0,0.0,0.0,0.0,0.0,32837.27750210203,619.4029609231578,1281.999051602854,13562.698453672998,4332.274698365742,3405.9782779368907,939.9577729311126,2186.0424862313157,13819.404519646267,73427.22654535381
t8,49.80330173717293,0.0,0.0,2.4901650868586476,75.53651469731795,24.901650868586465,82.5180171810364,75.755066634174,49.80330173717293,77.47068004007248,3.735247630287972,0.0,0.0,0.0,0.0,0.0,33627.97388700385,632.0950908077631,1272.598577404281,13463.247680509496,4486.799999999999,3381.046208452668,933.115545862225,2353.7871754524012,13718.809039292533,74311.4871503979
t9,49.78338041647806,0.0,0.0,2.4891690208239043,75.50630009143903,24.89169020823903,82.48500997416399,75.72476460752033,49.78338041647806,77.43969176805645,3.7337535312358567,0.0,0.0,0.0,0.0,0.0,33880.96435544374,676.6872206923683,1263.198103205708,13761.599999999999,4454.375301634257,3356.1141389684453,926.2733187933375,2425.531864673487,13618.2135589388,74804.79500238459
t10,49.76346706431147,0.0,0.0,2.4881733532155748,75.47609757140246,24.881733532155735,82.45201597017433,75.69447470167732,49.76346706431147,77.40871589134923,3.7322600298233626,0.0,0.0,0.0,0.0,0.0,33948.750532625425,689.3793505769736,1253.7976290071351,13662.149226836498,4421.950603268515,3331.1820694842227,919.43109172445,2377.2765538945723,13517.618078585067,74563.19554118128
t11,49.74356167748575,0.0,0.0,2.4871780838742885,75.4459071323739,24.871780838742875,82.41903516378626,75.66419691179665,49.74356167748575,77.37775240499269,3.7307671258114334,0.0,0.0,0.0,0.0,0.0,34376.399999999994,676.5514804615789,1244.3971548085622,13562.698453672998,4389.525904902773,3450.0,912.5888646555625,2449.021243115658,13417.022598231333,74919.68944086481
t12,49.723664252814764,0.0,0.0,2.486183212640739,75.41572876952095,24.861832126407382,82.38606754972075,75.63393123303193,49.723664252814764,77.34680130403069,3.729274818961109,0.0,0.0,0.0,0.0,0.0,34376.399999999994,663.7236103461842,1234.9966806099892,13463.247680509496,4364.699396731484,3450.0,934.7189082755501,2616.7659323367434,13340.0,74885.85935632937
t13,49.703774787113645,0.0,0.0,2.485188739355683,85.77294003756502,24.851887393556822,87.94444503015866,86.00552492882315,49.703774787113645,87.9532788957194,3.7277831090335245,0.0,0.0,0.0,0.0,0.0,34376.399999999994,676.4157402307894,1256.0004741985733,13622.122523262187,4332.274698365742,3450.0,927.8766812066626,2664.510621557829,13340.0,75123.74933653022
t14,86.4838932771988,0.0,0.0,4.324194663859941,115.12128424313629,43.2419466385994,118.03579834721481,115.43345112660162,86.4838932771988,118.04765483654286,6.4862919957899114,0.0,0.0,0.0,0.0,0.0,34376.399999999994,721.0078701153947,1300.8000000000002,13522.671750098685,4486.799999999999,3450.0,921.0344541377751,2832.2553107789145,13920.0,76224.6277935369
t15,123.24929971988794,0.0,0.0,6.162464985994398,144.45788911102534,61.62464985994397,148.11511512294413,144.849606153901,123.24929971988794,148.12999302699,9.243697478991596,0.0,0.0,0.0,0.0,0.0,33840.961109110576,733.6999999999999,1291.399525801427,13761.599999999999,4454.375301634257,3425.0679305157773,914.1922270688876,2880.0,13920.0,76130.37810931049
t16,160.0,0.0,0.0,8.0,173.78275933696722,80.0,178.18240017196317,174.25399471918942,160.0,178.200298282161,12.0,0.0,0.0,0.0,0.0,0.0,34376.399999999994,765.5999999999999,1300.8000000000002,13761.599999999999,4486.799999999999,3450.0,946.8000000000001,2880.0,13920.0,77012.41945251026
t17,159.936,0.0,0.0,7.9968,173.71324623323244,79.968,178.1111272118944,174.18429312130175,159.936,178.12901816284813,11.9952,0.0,0.0,0.0,0.0,0.0,34376.399999999994,765.5999999999999,1300.8000000000002,13761.599999999999,4486.799999999999,3450.0,946.8000000000001,2880.0,13920.0,77011.96968472927
t18,159.8720256,0.0,0.0,7.993601280000001,173.64376093473916,79.9360128,178.03988276100964,174.11461940405323,159.8720256,178.057766555583,11.990401920000002,0.0,0.0,0.0,0.0,0.0,33800.41254671518,752.7721298846052,1291.399525801427,13662.149226836498,4486.799999999999,3425.0679305157773,946.8000000000001,2831.7446892210855,13866.550283891067,76187.21642972103
t19,159.80807678976,0.0,0.0,7.9904038394880015,173.57430343036526,79.90403839488,177.96866680790524,174.0449735562916,159.80807678976,177.98654344896076,11.985605759232003,0.0,0.0,0.0,0.0,0.0,33396.673162713356,765.5999999999999,1300.8000000000002,13562.698453672998,4461.97349182871,3400.1358610315547,939.9577729311126,2783.489378442171,13765.954803537334,75500.35361297388
t20,159.74415355904412,0.0,0.0,7.987207677952207,173.50487370899313,79.87207677952206,177.89747934118208,173.9753555668691,159.74415355904412,177.91534883158118,11.980811516928311,0.0,0.0,0.0,0.0,0.0,32820.68570942854,752.7721298846052,1300.8000000000002,13484.99237328651,4429.548793462968,3375.203791547332,933.115545862225,2735.2340676632566,13665.3593231836,74620.33319486016
t21,159.6802558976205,0.0,0.0,7.984012794881027,173.43547175950954,79.84012794881025,177.8263203494456,173.90576542464237,159.6802558976205,177.84418269204855,11.97601919232154,0.0,0.0,0.0,0.0,0.0,32244.69825614372,739.9442597692105,1291.399525801427,13385.541600123008,4397.124095097226,3350.2717220631093,926.2733187933375,2686.978756884342,13564.763842829867,73709.16778946215
t22,159.61638379526147,0.0,0.0,7.980819189763075,173.36609757080575,79.80819189763073,177.75518982130583,173.83620311847253,159.61638379526147,177.77304501897174,11.971228784644612,0.0,0.0,0.0,0.0,0.0,31668.710802858906,727.1163896538158,1281.999051602854,13286.090826959506,4364.699396731484,3325.3396525788867,927.8766812066626,2687.6170338316283,13464.168362476134,72855.34174089199
t23,159.55253724174338,0.0,0.0,7.97762686208717,173.29675113177743,79.77626862087169,177.68408774537733,173.76666863722514,159.55253724174338,177.70193580096415,11.966440293130756,0.0,0.0,0.0,0.0,0.0,31428.85488142459,746.188519538421,1272.598577404281,13186.640053796003,4332.274698365742,3300.407583094664,921.0344541377751,2808.2553107789145,13363.5728821224,72481.10181423771
t24,159.4887162268467,0.0,0.0,7.974435811342336,173.22743243132473,79.74435811342335,177.61301411027918,173.69716196977026,159.4887162268467,177.6308550266438,11.961653717013505,0.0,0.0,0.0,0.0,0.0,30852.867428139776,733.3606494230263,1263.198103205708,13087.189280632501,4486.799999999999,3405.9782779368907,914.1922270688876,2880.0,13842.977401768667,72587.38971180895
t25,159.42492074035596,0.0,0.0,7.971246037017799,173.15814145835222,79.71246037017798,177.54196890463507,173.62768310498237,159.42492074035596,177.55980268463313,11.956869055526699,0.0,0.0,0.0,0.0,0.0,31468.078073725326,752.4327793076316,1300.8000000000002,12987.738507469,4486.799999999999,3381.046208452668,946.8000000000001,2831.7446892210855,13742.381921414933,73018.2001926867
t26,159.36115077205983,0.0,0.0,7.968057538602992,173.0888782017689,79.68057538602991,177.4709521170732,173.55823203174037,159.36115077205983,177.48877876355928,11.952086307904489,0.0,0.0,0.0,0.0,0.0,32409.670068200117,739.6049091922368,1291.399525801427,12888.287734305497,4454.375301634257,3356.1141389684453,939.9577729311126,2783.489378442171,13641.7864410612,73624.61513242727
t27,159.29740631175102,0.0,0.0,7.964870315587551,173.01964265048818,79.64870315587551,177.3999637362264,173.48880873892767,159.29740631175102,177.41778325205385,11.947305473381327,0.0,0.0,0.0,0.0,0.0,33337.483562920264,726.7770390768421,1281.999051602854,12788.836961141995,4486.799999999999,3331.1820694842227,933.115545862225,2855.2340676632566,13541.190960707467,74402.10114840517
t28,159.23368734922633,0.0,0.0,7.9616843674613165,172.950434793428,79.61684367461316,177.3290037507319,173.41941321543212,159.23368734922633,177.34681613875304,11.942526551191975,0.0,0.0,0.0,0.0,0.0,33685.62427936908,729.0846927178948,1272.598577404281,13262.786187978494,4454.375301634257,3450.0,926.2733187933375,2808.2553107789145,13440.595480353733,75148.62724622006
t29,159.16999387428663,0.0,0.0,7.958499693714332,172.88125461951063,79.58499693714332,177.25807214923162,173.35004545014596,159.16999387428663,177.27587741229755,11.937749540571499,0.0,0.0,0.0,0.0,0.0,34028.64534939839,763.2923463589473,1263.198103205708,13163.335414814992,4421.950603268515,3425.0679305157773,919.43109172445,2880.0,13920.0,75903.50732283798
t30,159.10632587673692,0.0,0.0,7.955316293836846,172.81210211766282,79.55316293836846,177.18716892037193,173.2807054319659,159.10632587673692,177.20496706133264,11.93297444075527,0.0,0.0,0.0,0.0,0.0,34376.399999999994,765.5999999999999,1253.7976290071351,13063.88464165149,4389.525904902773,3400.1358610315547,912.5888646555625,2831.7446892210855,13819.404519646267,75931.22115907363
t31,159.04268334638624,0.0,0.0,7.952134167319312,172.74297727681576,79.52134167319312,177.1162940528038,173.21139314979314,159.04268334638624,177.1340850745081,11.928201250978969,0.0,0.0,0.0,0.0,0.0,34076.842057450325,752.7721298846052,1244.3971548085622,12964.433868487988,4357.1012065370305,3375.203791547332,905.746637586675,2783.489378442171,13718.809039292533,75296.4870573754
t32,158.9790662730477,0.0,0.0,7.9489533136523844,172.67388008590504,79.48953313652385,177.0454475351827,173.14210859253322,158.9790662730477,177.06323144047832,11.923429970478578,0.0,0.0,0.0,0.0,0.0,33500.854604165506,739.9442597692105,1234.9966806099892,12864.983095324485,4324.676508171288,3350.2717220631093,898.9044105177875,2735.2340676632566,13618.2135589388,74385.32362384429
t33,158.91547464653848,0.0,0.0,7.9457737323269235,172.60481053387068,79.45773732326924,176.97462935616863,173.0728517490962,158.91547464653848,176.99240614790213,11.918660598490387,0.0,0.0,0.0,0.0,0.0,32924.86715088069,727.1163896538158,1225.5962064114162,13338.932322160985,4292.251809805546,3325.3396525788867,892.0621834489,2806.978756884342,13517.618078585067,74167.56036914384
t34,158.85190845667987,0.0,0.0,7.9425954228339934,172.53576860965714,79.42595422833993,176.90383950442617,173.00362260839657,158.85190845667987,176.92160918544297,11.91389313425099,0.0,0.0,0.0,0.0,0.0,32348.879697595872,714.288519538421,1216.1957322128433,13239.481548997483,4259.827111439804,3300.407583094664,885.2199563800125,2758.7234461054277,13501.594926937214,73340.96962190844
t35,158.7883676932972,0.0,0.0,7.93941838466486,172.46675430221327,79.3941838466486,176.83307796862442,172.9344211593532,158.7883676932972,176.8508405417688,11.90912757699729,0.0,0.0,0.0,0.0,0.0,31772.892244311057,701.4606494230263,1206.7952580142703,13140.03077583398,4227.402413074062,3275.4755136104413,878.377729311125,2710.468135326513,13400.99944658348,72429.80672465482
t36,158.7248523462199,0.0,0.0,7.936242617310994,172.3977676004924,79.36242617310995,176.762344737437,172.86524739088946,158.7248523462199,176.78010020555212,11.904363925966493,0.0,0.0,0.0,0.0,0.0,31196.90479102624,720.5327793076316,1251.5947838156974,13040.580002670478,4381.927714708319,3250.5434441262187,910.9855022422374,2782.2128245475988,13300.403966229747,71951.14400601736
t37,158.66136240528144,0.0,0.0,7.93306812026407,172.3288084934522,79.33068120264072,176.69163979954203,172.79610129193313,158.66136240528144,176.7093881654699,11.899602180396107,0.0,0.0,0.0,0.0,0.0,30620.917337741426,707.7049091922369,1242.1943096171244,12941.129229506976,4349.503016342577,3225.611374641996,904.1432751733498,2733.9575137686843,13199.808485876014,71039.98146592465
t38,158.59789786031934,0.0,0.0,7.929894893015965,172.25987697005482,79.29894893015967,176.62096314362222,172.72698285141635,158.59789786031934,176.63870441020373,11.894842339523949,0.0,0.0,0.0,0.0,0.0,30044.92988445661,694.8770390768422,1232.7938354185515,12841.678456343474,4317.078317976835,3333.129913689483,897.3010481044623,2685.70220298977,13099.21300552228,70261.26971283695
t39,115.05619783161,0.0,0.0,7.926722935058759,172.1909730192668,79.26722935058761,176.55031475836478,172.6578920582758,158.53445870117523,176.56804892843965,11.89008440258814,0.0,0.0,0.0,0.0,0.0,29468.942431171796,682.0491689614474,1223.3933612199785,12742.227683179972,4284.653619611093,3308.1978442052605,890.4588210355748,2637.4468922108554,12998.617525168547,69306.62926874988
t40,71.53191448291214,0.0,0.0,7.923552245884736,172.1220966300591,79.23552245884738,176.47969463246145,172.5888289014525,158.47104491769477,176.49742170886827,11.885328368827105,0.0,0.0,0.0,0.0,0.0,28892.95497788698,669.2212988460527,1213.9928870214055,12642.77691001647,4252.228921245351,3283.265774721038,883.6165939666873,2589.191581431941,12898.022044814814,68352.00639429774
