Region,Resource,Zone,Cluster,AnnualSum
A,Hydro_A,1,1,0.0
B,Hydro_B,2,1,0.0
C,Hydro_C,3,1,0.0
D,Hydro_D,4,1,0.0
E,Hydro_E,5,1,0.0
F,Hydro_F,6,1,0.0
G,Hydro_G,7,1,0.0
A,PumpedHydro_A,1,1,0.0
F,PumpedHydro_F,6,1,0.0
A,CombinedCycle_NaturalGas_A_New,1,1,0.0
A,CombinedCycle_NaturalGas_A_Existing,1,1,0.0
A,CombustionTurbine_NaturalGas_A_New,1,1,0.0
A,CombustionTurbine_NaturalGas_A_Existing,1,1,0.0
A,SteamTurbine_NaturalGas_A_New,1,1,0.0
A,SteamTurbine_NaturalGas_A_Existing,1,1,0.0
B,CombinedCycle_NaturalGas_B_New,2,1,0.0
B,CombinedCycle_NaturalGas_B_Existing,2,1,0.0
B,SteamTurbine_NaturalGas_B_New,2,1,0.0
B,SteamTurbine_NaturalGas_B_Existing,2,1,0.0
C,CombinedCycle_NaturalGas_C_New,3,1,0.0
C,CombinedCycle_NaturalGas_C_Existing,3,1,0.0
C,SteamTurbine_FuelOil6_C_New,3,1,0.0
C,SteamTurbine_FuelOil6_C_Existing,3,1,0.0
C,SteamTurbine_NaturalGas_C_New,3,1,0.0
C,SteamTurbine_NaturalGas_C_Existing,3,1,0.0
D,CombinedCycle_NaturalGas_D_New,4,1,0.0
D,CombinedCycle_NaturalGas_D_Existing,4,1,0.0
E,CombinedCycle_NaturalGas_E_New,5,1,0.0
E,CombinedCycle_NaturalGas_E_Existing,5,1,0.0
F,CombinedCycle_NaturalGas_F_New,6,1,0.0
F,CombinedCycle_NaturalGas_F_Existing,6,1,0.0
G,CombinedCycle_NaturalGas_G_New,7,1,0.0
G,CombinedCycle_NaturalGas_G_Existing,7,1,0.0
G,CombustionTurbine_NaturalGas_G_New,7,1,0.0
G,CombustionTurbine_NaturalGas_G_Existing,7,1,0.0
G,SteamTurbine_NaturalGas_G_New,7,1,0.0
G,SteamTurbine_NaturalGas_G_Existing,7,1,0.0
J,CombinedCycle_NaturalGas_J_New,10,1,0.0
J,CombinedCycle_NaturalGas_J_Existing,10,1,0.0
J,CombustionTurbine_NaturalGas_J_New,10,1,0.0
J,CombustionTurbine_NaturalGas_J_Existing,10,1,0.0
J,SteamTurbine_NaturalGas_J_New,10,1,0.0
J,SteamTurbine_NaturalGas_J_Existing,10,1,0.0
K,CombinedCycle_NaturalGas_K_New,11,1,0.0
K,CombinedCycle_NaturalGas_K_Existing,11,1,0.0
K,CombustionTurbine_FuelOil2_K_New,11,1,0.0
K,CombustionTurbine_FuelOil2_K_Existing,11,1,0.0
K,CombustionTurbine_NaturalGas_K_New,11,1,0.0
K,CombustionTurbine_NaturalGas_K_Existing,11,1,0.0
K,SteamTurbine_NaturalGas_K_New,11,1,0.0
K,SteamTurbine_NaturalGas_K_Existing,11,1,0.0
A,Nuclear_A_New,1,1,0.0
B,Nuclear_B_New,2,1,0.0
B,Nuclear_B_Existing,2,1,0.0
C,Nuclear_C_New,3,1,0.0
C,Nuclear_C_Existing,3,1,0.0
D,Nuclear_D_New,4,1,0.0
E,Nuclear_E_New,5,1,0.0
F,Nuclear_F_New,6,1,0.0
G,Nuclear_G_New,7,1,0.0
H,Nuclear_H_New,8,1,0.0
I,Nuclear_I_New,9,1,0.0
J,Nuclear_J_New,10,1,0.0
K,Nuclear_K_New,11,1,0.0
A,SolarBTM_A_New,1,1,0.0
B,SolarBTM_B_New,2,1,0.0
C,SolarBTM_C_New,3,1,0.0
