Region,Resource,Zone,Cluster,AnnualSum
A,Hydro_A,1,1,2.4107844988917494e6
B,Hydro_B,2,1,3.2725117240276277e7
C,Hydro_C,3,1,3.3494285676933836e7
D,Hydro_D,4,1,1.8168487064610705e7
E,Hydro_E,5,1,1.1553056655540146e8
F,Hydro_F,6,1,8.883401413393287e7
G,Hydro_G,7,1,2.4379143357103158e7
A,PumpedHydro_A,1,1,1.2310388930511819e8
F,PumpedHydro_F,6,1,3.584259352882067e8
A,CombinedCycle_NaturalGas_A_Existing,1,1,2.068225510627727e8
A,CombinedCycle_NaturalGas_A_New,1,1,3.384629397026461e7
A,CombustionTurbine_NaturalGas_A_Existing,1,1,1.2116323293739414e7
A,CombustionTurbine_NaturalGas_A_New,1,1,3.063431472207512e8
A,InternalCombustion_MethaneBio_A_Existing,1,1,1.2099349952691711e7
A,SteamTurbine_NaturalGas_A_Existing,1,1,1.4846648063467333e7
A,SteamTurbine_Refuse_A_Existing,1,1,2.0963446694315244e7
B,CombinedCycle_NaturalGas_B_Existing,2,1,6.183747187761458e7
B,CombinedCycle_NaturalGas_B_New,2,1,1.5561051392646006e8
B,InternalCombustion_MethaneBio_B_Existing,2,1,5.703979263411824e6
B,SteamTurbine_NaturalGas_B_Existing,2,1,0.0
C,CombinedCycle_NaturalGas_C_Existing,3,1,3.4204752311692244e8
C,CombinedCycle_NaturalGas_C_New,3,1,-4.386176840909062e-11
C,InternalCombustion_MethaneBio_C_Existing,3,1,1.3011167292725744e7
C,SteamTurbine_FuelOil6_C_Existing,3,1,1.2607520897832306e8
C,SteamTurbine_NaturalGas_C_Existing,3,1,1.0746139671083765e7
D,CombinedCycle_NaturalGas_D_Existing,4,1,8.507574842905991e7
D,CombinedCycle_NaturalGas_D_New,4,1,-3.4926607541921034e-11
D,InternalCombustion_MethaneBio_D_Existing,4,1,1.9306451782685788e6
E,CombinedCycle_NaturalGas_E_Existing,5,1,4.885310164056063e7
E,CombinedCycle_NaturalGas_E_New,5,1,0.0
E,InternalCombustion_MethaneBio_E_Existing,5,1,2.642945144230908e6
F,CombinedCycle_NaturalGas_F_Existing,6,1,4.5437747997528046e8
F,CombinedCycle_NaturalGas_F_New,6,1,-3.8349917542949805e-11
F,InternalCombustion_MethaneBio_F_Existing,6,1,4.678368899328807e6
F,SteamTurbine_Refuse_F_Existing,6,1,3.190260417830575e6
G,CombinedCycle_NaturalGas_G_Existing,7,1,2.1389434314207107e8
G,CombinedCycle_NaturalGas_G_New,7,1,0.0
G,CombustionTurbine_Kerosene_G_Existing,7,1,5.062578478925578e6
G,CombustionTurbine_Kerosene_G_New,7,1,1.455174801644606e9
G,CombustionTurbine_NaturalGas_G_Existing,7,1,0.0
G,CombustionTurbine_NaturalGas_G_New,7,1,0.0
G,SteamTurbine_NaturalGas_G_Existing,7,1,1.8504277552911973e8
G,SteamTurbine_Refuse_G_Existing,7,1,2.106758136966539e6
G,JetEngine_nan_G_Existing,7,1,2.3128602715179008e7
H,SteamTurbine_Refuse_H_Existing,8,1,1.6133013565063132e7
J,CombinedCycle_NaturalGas_J_Existing,10,1,-8.000226038688804e-11
J,CombinedCycle_NaturalGas_J_New,10,1,-6.31189323030412e-12
J,CombustionTurbine_NaturalGas_J_Existing,10,1,1.024821429133842e8
J,CombustionTurbine_NaturalGas_J_New,10,1,0.0
J,InternalCombustion_NaturalGas_J_Existing,10,1,0.0
J,SteamTurbine_NaturalGas_J_Existing,10,1,3.392509807550233e8
J,JetEngine_nan_J_Existing,10,1,1.8003266836023122e8
K,CombinedCycle_NaturalGas_K_Existing,11,1,0.0
K,CombinedCycle_NaturalGas_K_New,11,1,2.4940756412552566e-11
K,CombustionTurbine_FuelOil2_K_Existing,11,1,2.748070896263203e7
K,CombustionTurbine_FuelOil2_K_New,11,1,0.0
K,CombustionTurbine_Kerosene_K_Existing,11,1,4.397986764187009e6
K,CombustionTurbine_Kerosene_K_New,11,1,1.3711844055468497e9
K,CombustionTurbine_NaturalGas_K_Existing,11,1,3.991274628896496e7
K,CombustionTurbine_NaturalGas_K_New,11,1,0.0
K,InternalCombustion_FuelOil2_K_Existing,11,1,0.0
K,InternalCombustion_NaturalGas_K_Existing,11,1,0.0
K,SteamTurbine_NaturalGas_K_Existing,11,1,1.9257232322321767e8
K,SteamTurbine_Refuse_K_Existing,11,1,4.218395226350769e7
K,JetEngine_nan_K_Existing,11,1,2.8315334160999465e8
B,Nuclear_B_Existing,2,1,0.0
B,Nuclear_B_New,2,1,1.1722753899104631e-11
C,Nuclear_C_Existing,3,1,1.9337570478228384e-11
C,Nuclear_C_New,3,1,4.619330821150772e-10
A,SolarUtility_A_Existing,1,1,6.864926369533173e6
A,SolarUtility_A_New,1,1,0.0
B,SolarUtility_B_Existing,2,1,6.519268558965152e6
B,SolarUtility_B_New,2,1,0.0
C,SolarUtility_C_Existing,3,1,3.2159144554438214e6
C,SolarUtility_C_New,3,1,0.0
D,SolarUtility_D_Existing,4,1,0.0
D,SolarUtility_D_New,4,1,0.0
E,SolarUtility_E_Existing,5,1,3.017554706526907e6
E,SolarUtility_E_New,5,1,0.0
F,SolarUtility_F_Existing,6,1,3.075259158065491e6
F,SolarUtility_F_New,6,1,0.0
G,SolarUtility_G_Existing,7,1,2.9867084074187954e6
G,SolarUtility_G_New,7,1,0.0
H,SolarUtility_H_Existing,8,1,2.976469204535189e6
H,SolarUtility_H_New,8,1,0.0
I,SolarUtility_I_Existing,9,1,3.071544716220255e6
I,SolarUtility_I_New,9,1,0.0
J,SolarUtility_J_Existing,10,1,2.9789230659195804e6
J,SolarUtility_J_New,10,1,0.0
K,SolarUtility_K_Existing,11,1,0.0
K,SolarUtility_K_New,11,1,0.0
A,Battery_A_Existing,1,1,6.778372651535599e6
A,Battery_A_New,1,1,0.0
C,Battery_C_Existing,3,1,229443.35808554533
C,Battery_C_New,3,1,0.0
D,Battery_D_Existing,4,1,2.292464089410134e6
D,Battery_D_New,4,1,0.0
F,Battery_F_Existing,6,1,4.58686724330453e6
F,Battery_F_New,6,1,0.0
G,Battery_G_Existing,7,1,344283.446668775
G,Battery_G_New,7,1,0.0
