Resource,Fuel,Zone,AnnualSumCosts
CombinedCycle_NaturalGas_A_Existing,NG_A2E,1,7.495572576148736e7
CombinedCycle_NaturalGas_A_New,NG_A2E,1,1.1178495531413324e7
CombustionTurbine_NaturalGas_A_Existing,NG_A2E,1,4.691624257868622e6
CombustionTurbine_NaturalGas_A_New,NG_A2E,1,5.455515133612599e7
SteamTurbine_NaturalGas_A_Existing,NG_A2E,1,3.349673296764096e6
CombinedCycle_NaturalGas_B_Existing,NG_A2E,2,2.1797311678514432e7
CombinedCycle_NaturalGas_B_New,NG_A2E,2,5.2560186558667004e7
SteamTurbine_NaturalGas_B_Existing,NG_A2E,2,0.0
CombinedCycle_NaturalGas_C_Existing,NG_A2E,3,1.729589833108519e8
CombinedCycle_NaturalGas_C_New,NG_A2E,3,-3.727066193971094e-11
SteamTurbine_FuelOil6_C_Existing,FO6_UPNY,3,3.781704149145834e6
SteamTurbine_NaturalGas_C_Existing,NG_A2E,3,2.495840718507759e6
CombinedCycle_NaturalGas_D_Existing,NG_A2E,4,4.283709006096372e7
CombinedCycle_NaturalGas_D_New,NG_A2E,4,-9.334951300843385e-12
CombinedCycle_NaturalGas_E_Existing,NG_A2E,5,2.444933584502891e7
CombinedCycle_NaturalGas_E_New,NG_A2E,5,0.0
CombinedCycle_NaturalGas_F_Existing,NG_F2I,6,1.5890709661398053e8
CombinedCycle_NaturalGas_F_New,NG_F2I,6,-3.4802503634982486e-11
CombinedCycle_NaturalGas_G_Existing,NG_F2I,7,8.42215265889009e7
CombinedCycle_NaturalGas_G_New,NG_F2I,7,0.0
CombustionTurbine_NaturalGas_G_Existing,NG_F2I,7,0.0
CombustionTurbine_NaturalGas_G_New,NG_F2I,7,0.0
SteamTurbine_NaturalGas_G_Existing,NG_F2I,7,5.215856166195778e6
CombinedCycle_NaturalGas_J_Existing,NG_J,10,-8.116007254037789e-11
CombinedCycle_NaturalGas_J_New,NG_J,10,-1.695934770395979e-11
CombustionTurbine_NaturalGas_J_Existing,NG_J,10,1.9183761866126567e7
CombustionTurbine_NaturalGas_J_New,NG_J,10,0.0
InternalCombustion_NaturalGas_J_Existing,NG_J,10,0.0
SteamTurbine_NaturalGas_J_Existing,NG_J,10,1.0156650438522996e8
CombinedCycle_NaturalGas_K_Existing,NG_K,11,0.0
CombinedCycle_NaturalGas_K_New,NG_K,11,3.8956373568258367e-11
CombustionTurbine_FuelOil2_K_Existing,FO2_DSNY,11,636552.503835469
CombustionTurbine_FuelOil2_K_New,FO2_DSNY,11,0.0
CombustionTurbine_NaturalGas_K_Existing,NG_K,11,2.3912588602640773e6
CombustionTurbine_NaturalGas_K_New,NG_K,11,0.0
InternalCombustion_FuelOil2_K_Existing,FO2_DSNY,11,0.0
InternalCombustion_NaturalGas_K_Existing,NG_K,11,0.0
SteamTurbine_NaturalGas_K_Existing,NG_K,11,1.2358983865818962e7
