region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
A,Hydro_A,1,1,1,0.0,0.0,0.0,1.476568030645162e8,0.0,0.0,1.1420665113599073e7,0.0,0.0,0.0,0.0,0.0,1.398803982400423e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.398803982400423e9,1.5907746817811525e8,1.2397265142223077e9
B,Hydro_B,2,1,2,0.0,0.0,0.0,3.2884783870967757e6,0.0,0.0,254350.69439998033,0.0,0.0,0.0,0.0,0.0,3.1152893523632422e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1152893523632422e7,3.542829081496756e6,2.7610064442135666e7
C,Hydro_C,3,1,3,0.0,0.0,0.0,5.587320645161293e6,0.0,0.0,542090.5661739086,0.0,0.0,0.0,0.0,0.0,6.090985169780767e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.090985169780767e7,6.129411211335202e6,5.4780440486472465e7
D,Hydro_D,4,1,4,0.0,0.0,0.0,5.911014129032261e7,0.0,0.0,5.7350246443645125e6,0.0,0.0,0.0,0.0,0.0,6.443858407491462e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.443858407491462e8,6.484516593468712e7,5.795406748144591e8
E,Hydro_E,5,1,5,0.0,0.0,0.0,1.927213274193549e7,0.0,0.0,1.86981238646093e6,0.0,0.0,0.0,0.0,0.0,2.100940364373668e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.100940364373668e8,2.114194512839642e7,1.889520913089704e8
F,Hydro_F,6,1,6,0.0,0.0,0.0,1.481877016129033e7,0.0,0.0,1.4377568758761673e6,0.0,0.0,0.0,0.0,0.0,1.615459794344078e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615459794344078e8,1.6256527037166499e7,1.452894523972413e8
G,Hydro_G,7,1,7,0.0,0.0,0.0,5.343276013564982e6,0.0,0.0,394570.495675298,0.0,0.0,0.0,0.0,0.0,4.4333835747391954e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4333835747391954e7,5.737846509240281e6,3.859598923815167e7
A,PumpedHydro_A,1,1,8,0.0,0.0,0.0,4.836e6,0.0,0.0,956805.1200000081,0.0,0.0,0.0,0.0,0.0,1.1718956811397915e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1718956811397915e8,5.7928051200000085e6,1.1139676299397914e8
F,PumpedHydro_F,6,1,9,0.0,0.0,0.0,2.3374e7,0.0,0.0,5.801004713921901e6,0.0,0.0,0.0,0.0,0.0,6.518028766022489e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.518028766022489e8,2.91750047139219e7,6.22627871888327e8
A,CombinedCycle_NaturalGas_A_New,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,4.5945398596813894e-11,2.44770171775599e-10,0.0,0.0,0.0,0.0,3.100243132676779e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.100243132676779e-10,2.907155703724129e-10,1.930874289526499e-11
A,CombinedCycle_NaturalGas_A_Existing,1,1,11,0.0,0.0,0.0,2.562149333333333e7,0.0,0.0,1.3289373420508401e7,7.609502883710437e7,0.0,0.0,0.0,0.0,2.076997771312998e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.076997771312998e8,1.150058955909461e8,9.26938815403537e7
A,CombustionTurbine_NaturalGas_A_New,1,1,12,1.8711735070356494e8,0.0,0.0,1.9319005680530675e7,0.0,0.0,1.0504077419741526e7,5.68195122725666e7,0.0,0.0,0.0,0.0,2.7375994607640517e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7375994607640517e8,2.7375994607640374e8,1.430511474609375e-6
A,CombustionTurbine_NaturalGas_A_Existing,1,1,13,0.0,0.0,0.0,1.22034e6,0.0,0.0,473661.8588786564,2.5820277069581794e6,0.0,0.0,0.0,0.0,9.575759680098686e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.575759680098686e6,4.276029565836836e6,5.299730114261851e6
A,SteamTurbine_NaturalGas_A_New,1,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,SteamTurbine_NaturalGas_A_Existing,1,1,15,0.0,0.0,0.0,8.262128571428573e6,0.0,0.0,186927.3269844712,399513.81738032773,0.0,0.0,0.0,0.0,1.0803256461114446e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0803256461114446e7,8.848569715793371e6,1.9546867453210745e6
B,CombinedCycle_NaturalGas_B_New,2,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,CombinedCycle_NaturalGas_B_Existing,2,1,17,0.0,0.0,0.0,7.813275555555555e6,0.0,0.0,3.8792654246046715e6,2.2255903225283384e7,0.0,0.0,0.0,0.0,5.799874052740684e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799874052740684e7,3.394844420544361e7,2.405029632196323e7
B,SteamTurbine_NaturalGas_B_New,2,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,SteamTurbine_NaturalGas_B_Existing,2,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,CombinedCycle_NaturalGas_C_New,3,1,20,0.0,0.0,0.0,0.0,0.0,0.0,3.776811868993684e-11,2.1785086232739555e-10,0.0,0.0,0.0,0.0,2.9806893892355375e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9806893892355375e-10,2.5561898101733237e-10,4.244995790622138e-11
C,CombinedCycle_NaturalGas_C_Existing,3,1,21,0.0,0.0,0.0,9.269465333333331e7,0.0,0.0,4.631192492661538e7,2.6690174856567356e8,0.0,0.0,0.0,0.0,7.204071357293073e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.204071357293073e8,4.0590832682562226e8,3.1449880890368503e8
C,SteamTurbine_FuelOil6_C_New,3,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,SteamTurbine_FuelOil6_C_Existing,3,1,23,0.0,0.0,0.0,1.9993489723934207e7,0.0,0.0,108513.02907997234,888816.5197973826,0.0,0.0,0.0,0.0,2.099081927281156e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099081927281156e7,2.099081927281156e7,0.0
C,SteamTurbine_NaturalGas_C_New,3,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,SteamTurbine_NaturalGas_C_Existing,3,1,25,0.0,0.0,0.0,1.7308928571428575e7,0.0,0.0,489648.0689865604,1.053242385711931e6,0.0,0.0,0.0,0.0,1.9613537252914928e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9613537252914928e7,1.8851819026127066e7,761718.2267878614
D,CombinedCycle_NaturalGas_D_New,4,1,26,5.799181758249046e7,0.0,0.0,7.006347564182114e6,0.0,0.0,6.808105295377467e6,3.927106924831981e7,0.0,0.0,0.0,0.0,1.1107733969037391e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1107733969037391e8,1.1107733969036984e8,4.06801700592041e-6
D,CombinedCycle_NaturalGas_D_Existing,4,1,27,0.0,0.0,0.0,2.2555524444444448e7,0.0,0.0,1.1541313500321595e7,6.638287572094886e7,0.0,0.0,0.0,0.0,1.8254843811699268e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8254843811699268e8,1.004797136657149e8,8.206872445127778e7
E,CombinedCycle_NaturalGas_E_New,5,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,CombinedCycle_NaturalGas_E_Existing,5,1,29,0.0,0.0,0.0,1.3729955555555552e7,0.0,0.0,6.735866026666253e6,3.877092609773981e7,0.0,0.0,0.0,0.0,1.0779487916806902e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0779487916806902e8,5.9236747679961614e7,4.8558131488107406e7
F,CombinedCycle_NaturalGas_F_New,6,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,CombinedCycle_NaturalGas_F_Existing,6,1,31,0.0,0.0,0.0,2.1223253333333328e8,0.0,0.0,4.652534308509409e7,3.200323242412535e8,0.0,0.0,0.0,0.0,1.246248445658846e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.246248445658846e9,5.787902006596808e8,6.67458244999165e8
G,CombinedCycle_NaturalGas_G_New,7,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,CombinedCycle_NaturalGas_G_Existing,7,1,33,0.0,0.0,0.0,1.4881854905900633e8,0.0,0.0,3.2225388702217154e7,2.2300387360157138e8,0.0,0.0,0.0,0.0,7.430350217259998e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.430350217259998e8,4.040478113627949e8,3.3898721036320496e8
G,CombustionTurbine_NaturalGas_G_New,7,1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,CombustionTurbine_NaturalGas_G_Existing,7,1,35,0.0,0.0,0.0,732200.0421115957,0.0,0.0,35872.68965873363,193037.88745646112,0.0,0.0,0.0,0.0,3.493652172485583e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.493652172485583e6,961110.6192267905,2.5325415532587925e6
G,SteamTurbine_NaturalGas_G_New,7,1,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,SteamTurbine_NaturalGas_G_Existing,7,1,37,0.0,0.0,0.0,1.1946292581107852e8,0.0,0.0,1.122566484787858e6,2.5918206048136754e6,0.0,0.0,0.0,0.0,1.2317731290068017e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2317731290068017e8,1.2317731290068005e8,1.1920928955078125e-7
J,CombinedCycle_NaturalGas_J_New,10,1,38,0.0,0.0,0.0,0.0,0.0,0.0,-5.322392529921838e-12,-3.4320919473514816e-11,0.0,0.0,0.0,0.0,-4.656431430941324e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.656431430941324e-11,-3.9643312003436655e-11,-6.921002305976587e-12
