Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
A,Hydro_A,1,1,1,0.0
B,Hydro_B,2,1,2,0.0
C,Hydro_C,3,1,3,0.0
D,Hydro_D,4,1,4,0.0
E,Hydro_E,5,1,5,0.0
F,Hydro_F,6,1,6,0.0
G,Hydro_G,7,1,7,0.0
A,PumpedHydro_A,1,1,8,0.0
F,PumpedHydro_F,6,1,9,0.0
A,CombinedCycle_NaturalGas_A_Existing,1,1,10,0.0
A,CombinedCycle_NaturalGas_A_New,1,1,11,0.0
A,CombustionTurbine_NaturalGas_A_Existing,1,1,12,0.0
A,CombustionTurbine_NaturalGas_A_New,1,1,13,0.0
A,InternalCombustion_MethaneBio_A_Existing,1,1,14,0.0
A,SteamTurbine_NaturalGas_A_Existing,1,1,15,0.0
A,SteamTurbine_Refuse_A_Existing,1,1,16,0.0
B,CombinedCycle_NaturalGas_B_Existing,2,1,17,0.0
B,CombinedCycle_NaturalGas_B_New,2,1,18,0.0
B,InternalCombustion_MethaneBio_B_Existing,2,1,19,0.0
B,SteamTurbine_NaturalGas_B_Existing,2,1,20,0.0
C,CombinedCycle_NaturalGas_C_Existing,3,1,21,0.0
C,CombinedCycle_NaturalGas_C_New,3,1,22,0.0
C,InternalCombustion_MethaneBio_C_Existing,3,1,23,0.0
C,SteamTurbine_FuelOil6_C_Existing,3,1,24,0.0
C,SteamTurbine_NaturalGas_C_Existing,3,1,25,0.0
D,CombinedCycle_NaturalGas_D_Existing,4,1,26,0.0
D,CombinedCycle_NaturalGas_D_New,4,1,27,0.0
D,InternalCombustion_MethaneBio_D_Existing,4,1,28,0.0
E,CombinedCycle_NaturalGas_E_Existing,5,1,29,0.0
E,CombinedCycle_NaturalGas_E_New,5,1,30,0.0
E,InternalCombustion_MethaneBio_E_Existing,5,1,31,0.0
F,CombinedCycle_NaturalGas_F_Existing,6,1,32,0.0
F,CombinedCycle_NaturalGas_F_New,6,1,33,0.0
F,InternalCombustion_MethaneBio_F_Existing,6,1,34,0.0
F,SteamTurbine_Refuse_F_Existing,6,1,35,0.0
G,CombinedCycle_NaturalGas_G_Existing,7,1,36,0.0
G,CombinedCycle_NaturalGas_G_New,7,1,37,0.0
G,CombustionTurbine_Kerosene_G_Existing,7,1,38,0.0
G,CombustionTurbine_Kerosene_G_New,7,1,39,0.0
G,CombustionTurbine_NaturalGas_G_Existing,7,1,40,0.0
G,CombustionTurbine_NaturalGas_G_New,7,1,41,0.0
G,SteamTurbine_NaturalGas_G_Existing,7,1,42,0.0
G,SteamTurbine_Refuse_G_Existing,7,1,43,0.0
G,JetEngine_nan_G_Existing,7,1,44,0.0
H,SteamTurbine_Refuse_H_Existing,8,1,45,0.0
J,CombinedCycle_NaturalGas_J_Existing,10,1,46,0.0
J,CombinedCycle_NaturalGas_J_New,10,1,47,0.0
J,CombustionTurbine_NaturalGas_J_Existing,10,1,48,0.0
J,CombustionTurbine_NaturalGas_J_New,10,1,49,0.0
J,InternalCombustion_NaturalGas_J_Existing,10,1,50,0.0
J,SteamTurbine_NaturalGas_J_Existing,10,1,51,0.0
J,JetEngine_nan_J_Existing,10,1,52,0.0
K,CombinedCycle_NaturalGas_K_Existing,11,1,53,0.0
K,CombinedCycle_NaturalGas_K_New,11,1,54,0.0
K,CombustionTurbine_FuelOil2_K_Existing,11,1,55,0.0
K,CombustionTurbine_FuelOil2_K_New,11,1,56,0.0
K,CombustionTurbine_Kerosene_K_Existing,11,1,57,0.0
K,CombustionTurbine_Kerosene_K_New,11,1,58,0.0
K,CombustionTurbine_NaturalGas_K_Existing,11,1,59,0.0
K,CombustionTurbine_NaturalGas_K_New,11,1,60,0.0
K,InternalCombustion_FuelOil2_K_Existing,11,1,61,0.0
K,InternalCombustion_NaturalGas_K_Existing,11,1,62,0.0
K,SteamTurbine_NaturalGas_K_Existing,11,1,63,0.0
K,SteamTurbine_Refuse_K_Existing,11,1,64,0.0
K,JetEngine_nan_K_Existing,11,1,65,0.0
B,Nuclear_B_Existing,2,1,66,0.0
B,Nuclear_B_New,2,1,67,0.0
C,Nuclear_C_Existing,3,1,68,0.0
C,Nuclear_C_New,3,1,69,0.0
A,SolarUtility_A_Existing,1,1,70,0.0
A,SolarUtility_A_New,1,1,71,0.0
B,SolarUtility_B_Existing,2,1,72,0.0
B,SolarUtility_B_New,2,1,73,0.0
C,SolarUtility_C_Existing,3,1,74,0.0
C,SolarUtility_C_New,3,1,75,0.0
D,SolarUtility_D_Existing,4,1,76,0.0
D,SolarUtility_D_New,4,1,77,0.0
E,SolarUtility_E_Existing,5,1,78,0.0
E,SolarUtility_E_New,5,1,79,0.0
F,SolarUtility_F_Existing,6,1,80,0.0
F,SolarUtility_F_New,6,1,81,0.0
G,SolarUtility_G_Existing,7,1,82,0.0
G,SolarUtility_G_New,7,1,83,0.0
H,SolarUtility_H_Existing,8,1,84,0.0
H,SolarUtility_H_New,8,1,85,0.0
I,SolarUtility_I_Existing,9,1,86,0.0
I,SolarUtility_I_New,9,1,87,0.0
J,SolarUtility_J_Existing,10,1,88,0.0
J,SolarUtility_J_New,10,1,89,0.0
K,SolarUtility_K_Existing,11,1,90,0.0
K,SolarUtility_K_New,11,1,91,0.0
A,Battery_A_Existing,1,1,92,0.0
A,Battery_A_New,1,1,93,0.0
C,Battery_C_Existing,3,1,94,0.0
C,Battery_C_New,3,1,95,0.0
D,Battery_D_Existing,4,1,96,0.0
D,Battery_D_New,4,1,97,0.0
F,Battery_F_Existing,6,1,98,0.0
F,Battery_F_New,6,1,99,0.0
G,Battery_G_Existing,7,1,100,0.0
G,Battery_G_New,7,1,101,0.0
