Resource,Zone,AnnualSum,Capacity,CapacityFactor
Hydro_A,1,32305.92000000273,4.7,0.7846575342466416
Hydro_B,2,438535.67999997037,63.8,0.7846575342465223
Hydro_C,3,934638.907196396,108.4,0.9842614315283282
Hydro_D,4,506981.2522429208,58.8,0.9842614315280512
Hydro_E,5,3.223814459415391e6,373.9,0.984261431528035
Hydro_F,6,2.478862415303739e6,287.5,0.9842614315281869
Hydro_G,7,680286.0680608577,78.9,0.9842614315283459
PumpedHydro_A,1,1.6496640000000014e6,240.0,0.784657534246576
PumpedHydro_F,6,1.0001670962616822e7,1160.0,0.9842614315281867
CombinedCycle_NaturalGas_A_Existing,1,3.189688852234061e6,440.4,0.8267932152365796
CombinedCycle_NaturalGas_A_New,1,473946.87411624007,76.82922897314857,0.7042049642513276
CombustionTurbine_NaturalGas_A_Existing,1,130349.98870446799,47.3,0.3145906066988811
CombustionTurbine_NaturalGas_A_New,1,1.48540179656807e6,1751.8172413228351,0.09679458058381596
InternalCombustion_MethaneBio_A_Existing,1,184646.68995511706,28.0,0.7527996165815275
SteamTurbine_NaturalGas_A_Existing,1,94231.49769686889,53.7,0.20031695130410976
SteamTurbine_Refuse_A_Existing,1,316325.4141266945,50.0,0.7222041418417682
CombinedCycle_NaturalGas_B_Existing,2,930406.4983589664,134.3,0.7908472634691011
CombinedCycle_NaturalGas_B_New,2,2.2349972748853513e6,348.0582396639316,0.7330286892836398
InternalCombustion_MethaneBio_B_Existing,2,87047.72526454841,13.2,0.752799616581469
SteamTurbine_NaturalGas_B_Existing,2,0.0,0.0,0.0
CombinedCycle_NaturalGas_C_Existing,3,7.390211436963927e6,1593.3,0.529486877911122
CombinedCycle_NaturalGas_C_New,3,-1.6145878667506048e-12,0.0,0.0
InternalCombustion_MethaneBio_C_Existing,3,363011.8965580469,42.9,0.9659607044045484
SteamTurbine_FuelOil6_C_Existing,3,27563.44132030492,1803.6,0.001744572835575989
SteamTurbine_NaturalGas_C_Existing,3,66574.40584833012,112.5,0.06755393794858461
CombinedCycle_NaturalGas_D_Existing,4,1.8357615937083624e6,387.7000000000001,0.5405257306314025
CombinedCycle_NaturalGas_D_New,4,-5.684341886080801e-13,0.0,0.0
InternalCombustion_MethaneBio_D_Existing,4,54055.78700047602,6.4,0.9641799907333763
CombinedCycle_NaturalGas_E_Existing,5,1.0572265876752352e6,236.0,0.5113896891084452
CombinedCycle_NaturalGas_E_New,5,0.0,0.0,0.0
InternalCombustion_MethaneBio_E_Existing,5,73858.67598203644,11.2,0.7527996165814217
CombinedCycle_NaturalGas_F_Existing,6,6.366831597315436e6,3648.0,0.1992344462630251
CombinedCycle_NaturalGas_F_New,6,-1.1551238815544556e-12,0.0,0.0
InternalCombustion_MethaneBio_F_Existing,6,131162.81686830748,15.2,0.9850608092128356
SteamTurbine_Refuse_F_Existing,6,87684.96916285704,14.4,0.6951180330642522
CombinedCycle_NaturalGas_G_Existing,7,3.265177509668736e6,1522.0510283746605,0.2448913680877146
CombinedCycle_NaturalGas_G_New,7,0.0,0.0,0.0
CombustionTurbine_Kerosene_G_Existing,7,165786.39145479962,21.6,0.8761753311284437
CombustionTurbine_Kerosene_G_New,7,4.679034647943164e7,6241.71396377818,0.8557527282340551
CombustionTurbine_NaturalGas_G_Existing,7,0.0,0.0,0.0
CombustionTurbine_NaturalGas_G_New,7,0.0,0.0,0.0
SteamTurbine_NaturalGas_G_Existing,7,133171.03925105714,3016.0,0.005040508431858745
SteamTurbine_Refuse_G_Existing,7,58203.87619931376,9.2,0.7222041418417928
JetEngine_nan_G_Existing,7,655445.933364091,88.4,0.8464094472046052
SteamTurbine_Refuse_H_Existing,8,451649.84999997803,59.7,0.86362147495464
CombinedCycle_NaturalGas_J_Existing,10,-2.7530549534847587e-12,0.0,0.0
CombinedCycle_NaturalGas_J_New,10,-9.094947017729282e-13,0.0,0.0
CombustionTurbine_NaturalGas_J_Existing,10,563977.5002100678,1195.1,0.05387080007921118
CombustionTurbine_NaturalGas_J_New,10,0.0,0.0,0.0
InternalCombustion_NaturalGas_J_Existing,10,0.0,0.0,0.0
SteamTurbine_NaturalGas_J_Existing,10,2.929048398323631e6,3010.9,0.11105192982709362
JetEngine_nan_J_Existing,10,4.941733893207027e6,1223.0,0.46126318369073604
CombinedCycle_NaturalGas_K_Existing,11,0.0,0.0,0.0
CombinedCycle_NaturalGas_K_New,11,1.3317600990246446e-12,0.0,0.0
CombustionTurbine_FuelOil2_K_Existing,11,3610.211568939819,526.9,0.0007821685487311887
CombustionTurbine_FuelOil2_K_New,11,0.0,0.0,0.0
CombustionTurbine_Kerosene_K_Existing,11,127083.55301974196,18.2,0.7971019181829367
CombustionTurbine_Kerosene_K_New,11,3.9269013461853266e7,5686.977421356635,0.7882507282312187
CombustionTurbine_NaturalGas_K_Existing,11,65292.44027589603,702.0,0.010617485637236081
CombustionTurbine_NaturalGas_K_New,11,0.0,0.0,0.0
InternalCombustion_FuelOil2_K_Existing,11,0.0,0.0,0.0
InternalCombustion_NaturalGas_K_Existing,11,0.0,0.0,0.0
SteamTurbine_NaturalGas_K_Existing,11,329720.26867279934,2300.0,0.01636491307687112
SteamTurbine_Refuse_K_Existing,11,1.1401601999325596e6,136.1,0.9563208961418374
JetEngine_nan_K_Existing,11,7.8342082859237e6,949.1,0.9422779626750095
Nuclear_B_Existing,2,0.0,0.0,0.0
Nuclear_B_New,2,4.1109070506433633e-13,0.0,0.0
