Resource,Battery_A_Existing,Battery_A_New,Battery_C_Existing,Battery_C_New,Battery_D_Existing,Battery_D_New,Battery_F_Existing,Battery_F_New,Battery_G_Existing,Battery_G_New,Total
Zone,1,1,3,3,4,4,6,6,7,7,0
AnnualSum,45734.50523613905,0.0,2941.025921008252,0.0,29362.36834657218,0.0,58755.54577111399,0.0,4418.849168049456,0.0,141212.29444288294
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,21.51616115558532,0.0,1.3495791415730112,0.0,13.495791415730082,0.0,26.991582831460164,0.0,2.024368712359517,0.0,65.37748325670809
t13,38.13069419884767,0.0,1.8381603680736032,0.0,18.38160368073603,0.0,36.76320736147206,0.0,2.757240552110405,0.0,97.87090616123976
t14,38.13069419884767,0.0,1.8381603680736032,0.0,18.38160368073603,0.0,36.76320736147206,0.0,2.757240552110405,0.0,97.87090616123976
t15,38.13069419884767,0.0,1.8381603680736032,0.0,18.38160368073603,0.0,36.76320736147206,0.0,2.757240552110405,0.0,97.87090616123976
t16,38.13069419884767,0.0,1.8381603680736032,0.0,18.38160368073603,0.0,36.76320736147206,0.0,2.757240552110405,0.0,97.87090616123976
t17,0.0,0.0,0.003478260869564834,0.0,0.03478260869559335,0.0,0.0695652173913004,0.0,0.005217391304345321,0.0,0.1130434782608039
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
