Resource,CombinedCycle_NaturalGas_A_New,CombinedCycle_NaturalGas_A_Existing,CombustionTurbine_NaturalGas_A_New,CombustionTurbine_NaturalGas_A_Existing,SteamTurbine_NaturalGas_A_New,SteamTurbine_NaturalGas_A_Existing,CombinedCycle_NaturalGas_B_New,CombinedCycle_NaturalGas_B_Existing,SteamTurbine_NaturalGas_B_New,SteamTurbine_NaturalGas_B_Existing,CombinedCycle_NaturalGas_C_New,CombinedCycle_NaturalGas_C_Existing,SteamTurbine_FuelOil6_C_New,SteamTurbine_FuelOil6_C_Existing,SteamTurbine_NaturalGas_C_New,SteamTurbine_NaturalGas_C_Existing,CombinedCycle_NaturalGas_D_New,CombinedCycle_NaturalGas_D_Existing,CombinedCycle_NaturalGas_E_New,CombinedCycle_NaturalGas_E_Existing,CombinedCycle_NaturalGas_F_New,CombinedCycle_NaturalGas_F_Existing,CombinedCycle_NaturalGas_G_New,CombinedCycle_NaturalGas_G_Existing,CombustionTurbine_NaturalGas_G_New,CombustionTurbine_NaturalGas_G_Existing,SteamTurbine_NaturalGas_G_New,SteamTurbine_NaturalGas_G_Existing,CombinedCycle_NaturalGas_J_New,CombinedCycle_NaturalGas_J_Existing,CombustionTurbine_NaturalGas_J_New,CombustionTurbine_NaturalGas_J_Existing,SteamTurbine_NaturalGas_J_New,SteamTurbine_NaturalGas_J_Existing,CombinedCycle_NaturalGas_K_New,CombinedCycle_NaturalGas_K_Existing,CombustionTurbine_FuelOil2_K_New,CombustionTurbine_FuelOil2_K_Existing,CombustionTurbine_NaturalGas_K_New,CombustionTurbine_NaturalGas_K_Existing,SteamTurbine_NaturalGas_K_New,SteamTurbine_NaturalGas_K_Existing,Nuclear_A_New,Nuclear_B_New,Nuclear_B_Existing,Nuclear_C_New,Nuclear_C_Existing,Nuclear_D_New,Nuclear_E_New,Nuclear_F_New,Nuclear_G_New,Nuclear_H_New,Nuclear_I_New,Nuclear_J_New,Nuclear_K_New,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,5,5,6,6,7,7,7,7,7,7,10,10,10,10,10,10,11,11,11,11,11,11,11,11,1,2,2,3,3,4,5,6,7,8,9,10,11,0
AnnualSum,3.731078739479341e-13,3.586085307694415e6,1.8304020555089035e6,79884.83277099727,0.0,20096.971371990738,0.0,1.1091635463385622e6,0.0,0.0,-8.774155263075397e-13,1.2882887250870256e7,0.0,12537.444683588908,0.0,49289.89711212095,1.8844047389342044e6,3.185357488627559e6,0.0,1.9329280033715242e6,0.0,1.370201945022714e7,0.0,9.326557302456403e6,0.0,6897.736690711863,0.0,117104.2165956049,-3.453954810497738e-13,3.0326026741674874e7,3.402092244655279e6,2.1781543550606202e6,0.0,0.0,0.0,5.384022066731276e6,0.0,19904.804526755834,164017.3374409152,284937.7370515137,0.0,847324.4833706862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.233209601376592e7
t1,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6771.759923902365
t2,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2314.0201286197816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5346.580052522147
t3,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.559923902365
t4,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.559923902365
t5,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.559923902365
t6,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.05988230352935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.619806205894
t7,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.05988230352935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.619806205894
t8,0.0,440.4,0.0,0.0,0.0,0.0,0.0,134.3,0.0,0.0,0.0,1593.3,0.0,0.0,0.0,0.0,240.85992390236453,387.7000000000001,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.1472585230307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3153.7071824253953
