Line,1,2,3,4,5,6,7,8,9,10,11,12
t1,-959.9383317830006,-1600.0,-3046.2999999999997,-474.40000000000003,3600.0,-7508.82,3841.3149196462664,1057.5818038480102,838.7818038480102,4603.692459239131,-4346.71065539112,300.0
t2,-1053.6909085277805,-1600.0,-2988.2999999999997,-463.8,3600.0,-7399.320000000001,3310.4149196462663,673.992459239131,467.69245923913104,4427.292459239131,-4520.0,300.0
t3,-1034.4658913516487,-1600.0,-2939.2999999999997,-452.7,3600.0,-7310.5199999999995,3930.4149196462663,455.6924592391304,256.8924592391304,4240.59245923913,-4520.0,300.0
t4,-1025.314322622397,-1600.0,-2958.7,-498.1,3600.0,-7548.370000000001,3905.8603999999996,283.7924592391311,99.59245923913113,4103.292459239131,-4520.0,300.0
t5,-1029.814322622397,-1600.0,-2875.3999999999996,-464.50000000000006,3600.0,-7230.92,4051.6103999999996,754.6924592391315,574.2924592391315,4030.292459239131,-3957.6999999999994,300.0
t6,-1085.7708913516487,-1600.0,-2900.5,-454.59999999999997,3600.0,-7257.02,4034.4103999999998,1018.1088476790592,840.3088476790592,4044.9924592391308,-3713.4836115600715,300.0
t7,-1033.1349742868515,-1600.0,-2977.0,-461.40000000000003,3600.0,-7376.42,4011.0103999999997,841.9088476790603,672.2088476790602,4131.59245923913,-3982.98361156007,300.0
t8,-1063.6865430161029,-1600.0,-3023.7999999999997,-497.90000000000003,3600.0,-7501.02,3711.5940115600706,420.29245923913095,230.79245923913095,4223.292459239131,-4520.0,300.0
t9,-1080.1324163478214,-1600.0,-3063.0265607352267,-519.2,3600.0,-7595.64198844093,3956.3915205023463,545.6755791777424,349.5405526111326,4338.405526044523,-4520.0,300.0
t10,-1005.8144272082741,-1600.0,-3139.0585646563522,-534.2,3600.0,-7742.016113028334,3924.104981529909,711.5262373246474,504.5879945966353,4480.949751868623,-4520.0,300.0
t11,-1050.6086623677184,-1600.0,-3219.3368049783576,-532.8000000000001,3600.0,-7864.934639844404,3516.9424353915742,472.9873771218199,256.499559641966,4207.811742162112,-4520.0,-126.63524843835035
