Resource,Battery_A_Existing,Battery_A_New,Battery_B_New,Battery_C_Existing,Battery_C_New,Battery_D_Existing,Battery_D_New,Battery_E_New,Battery_F_Existing,Battery_F_New,Battery_G_Existing,Battery_G_New,Battery_H_New,Battery_I_New,Battery_J_New,Battery_K_New,Hydro_A,Hydro_B,Hydro_C,Hydro_D,Hydro_E,Hydro_F,Hydro_G,PumpedHydro_A,PumpedHydro_F,Total
Zone,1,1,2,3,3,4,4,5,6,6,7,7,8,9,10,11,1,2,3,4,5,6,7,1,6,0
AnnualSum,241514.41309642425,-1.3268291304937598e-11,0.0,12513.618458399711,496980.1918713494,140659.79033125483,438064.2278675895,198092.33778112015,280519.9901658284,-3.2392151197723753e-12,18904.277688388727,1.579068787365422e-10,2.2245698530339546e-11,4.179345718241565e-11,0.0,1.4713315527075545e-11,1.1624898147534804e8,2.569985303291481e6,4.261250063088326e6,4.643170750511539e7,1.6053145104424078e7,1.223405248060834e7,3.2560845274382485e6,1.0049517881505061e7,4.875000167670305e7,2.616819748647824e8
t1,49.9429743688393,0.0,0.0,1.4227653974096475,153.53057519976855,24.97148718441965,119.51600430726218,40.181063357323836,49.9429743688393,0.0,3.7457230776629498,0.0,0.0,0.0,0.0,0.0,24227.142699613793,230.63018161552608,1300.8000000000002,13761.599999999999,4454.375301634257,3450.0,939.9577729311126,2544.510621557829,13920.0,65272.27014461404
t2,49.922997179091766,0.0,0.0,1.4221962912506836,153.46916296968865,24.961498589545883,119.46819790553928,40.16499093198091,49.922997179091766,0.0,3.7442247884318847,0.0,0.0,0.0,0.0,0.0,25287.56803154482,217.80231150013137,1300.8000000000002,13761.599999999999,4421.950603268515,3425.0679305157773,933.115545862225,2592.2553107789145,13920.0,66303.235999305
t3,49.90302798022013,0.0,0.0,1.4216274127341835,153.40777530450077,24.951513990110065,119.42041062637708,40.14892493560812,49.90302798022013,0.0,3.742727098516512,0.0,0.0,0.0,0.0,0.0,26027.041183547328,230.49444138473663,1291.399525801427,13662.149226836498,4389.525904902773,3400.1358610315547,926.2733187933375,2760.0,13819.404519646267,66949.32301727221
t4,49.88306676902805,0.0,0.0,1.42105876176909,153.34641219437898,24.941533384514024,119.37264246212654,40.13286536563388,49.88306676902805,0.0,3.741230007677106,0.0,0.0,0.0,0.0,0.0,26430.082020410184,275.0865712693419,1300.8000000000002,13761.599999999999,4486.799999999999,3450.0,919.43109172445,2880.0,13920.0,67866.52155911813
t5,49.86311354232044,0.0,0.0,1.4204903382643823,153.28507362950123,24.93155677116022,119.3248934051417,40.116812219487635,49.86311354232044,0.0,3.7397335156740357,0.0,0.0,0.0,0.0,0.0,27474.005659912436,319.6787011539472,1291.399525801427,13662.149226836498,4486.799999999999,3425.0679305157773,912.5888646555625,2880.0,13920.0,68814.23469583952
t6,49.843168296903514,0.0,0.0,1.4199221421290766,153.22375960004942,24.921584148451757,119.27716344777964,40.10076549459984,49.843168296903514,0.0,3.738237622267766,0.0,0.0,0.0,0.0,0.0,28606.848766391624,364.2708310385525,1281.999051602854,13562.698453672998,4454.375301634257,3450.0,905.746637586675,2831.7446892210855,13819.404519646267,69719.45601984339
t7,49.823231029584754,0.0,0.0,1.419354173272225,153.1624700962094,24.911615514792377,119.22945258240054,40.084725188402004,49.823231029584754,0.0,3.736742327218859,0.0,0.0,0.0,0.0,0.0,29595.82210036026,408.8629609231578,1272.598577404281,13463.247680509496,4421.950603268515,3425.0679305157773,898.9044105177875,2783.489378442171,13718.809039292533,70430.94350317544
t8,49.80330173717293,0.0,0.0,1.4187864316029162,153.10120510817092,24.901650868586465,119.18176080136759,40.06869129832665,49.80330173717293,0.0,3.735247630287972,0.0,0.0,0.0,0.0,0.0,30306.287467452414,453.4550908077631,1263.198103205708,13363.796907345994,4389.525904902773,3400.1358610315547,892.0621834489,2833.021243115658,13618.2135589388,70961.71026586226
