Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_A,Demand_MW_B,Demand_MW_C,Demand_MW_D,Demand_MW_E,Demand_MW_F,Demand_MW_G,Demand_MW_H,Demand_MW_I,Demand_MW_J,Demand_MW_K
10000.0,1.0,1.0,1.0,1.0,8760.0,8760.0,1,1443.2,897.5,1597.6,539.6,770.7,1131.1,948.6,272.5,581.8,4896.0,1974.2
,,,,,,,2,1454.3,861.0,1539.6,529.0,729.8,1082.0,896.4,260.0,560.4,4719.6,1848.9
,,,,,,,3,1421.8,834.9,1490.6,517.9,701.1,1042.0,848.3,252.5,536.3,4532.9,1748.8
,,,,,,,4,1397.6,807.5,1455.8,533.9,687.2,1023.4,834.5,237.9,516.3,4395.6,1675.9
,,,,,,,5,1364.4,803.0,1426.7,529.7,673.6,1021.4,826.8,234.1,501.7,4322.6,1649.2
,,,,,,,6,1375.5,830.6,1451.8,519.8,684.5,1038.6,840.8,231.5,508.8,4337.3,1655.7
,,,,,,,7,1415.2,866.0,1528.3,526.6,720.6,1062.0,874.2,223.4,523.6,4423.9,1682.2
,,,,,,,8,1460.8,893.2,1575.1,563.1,761.9,1097.6,871.8,243.2,527.5,4515.6,1689.3
,,,,,,,9,1479.3,922.7,1617.9,584.4,798.2,1121.5,902.9,253.3,534.6,4632.5,1722.2
,,,,,,,10,1535.8,967.3,1702.4,599.4,860.6,1160.1,944.9,270.2,553.2,4779.8,1798.4
,,,,,,,11,1601.0,1017.0,1784.8,598.0,905.2,1209.6,971.9,283.4,581.9,4937.5,1905.2
,,,,,,,12,1625.8,1055.0,1838.8,600.7,942.3,1258.5,973.9,286.7,592.5,5058.9,1968.4
,,,,,,,13,1636.6,1071.9,1867.4,616.0,940.8,1283.8,978.4,285.5,584.4,5094.6,1921.2
,,,,,,,14,1646.2,1073.3,1867.5,590.3,920.5,1303.2,983.9,285.6,586.0,5115.5,1873.2
,,,,,,,15,1655.1,1083.2,1864.7,587.3,915.6,1298.5,1013.3,291.2,592.7,5169.3,1948.8
,,,,,,,16,1686.5,1094.5,1887.0,589.7,932.0,1333.7,1053.4,300.4,608.0,5233.0,2053.4
,,,,,,,17,1766.8,1149.3,1966.7,609.0,987.8,1416.5,1132.0,326.4,653.8,5422.4,2282.7
,,,,,,,18,1854.9,1230.4,2051.8,643.1,1056.5,1490.8,1227.4,356.8,706.4,5664.0,2547.9
