Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,8.563497928111879e9,5.580491623244845e8,2.1529e7,1.6398933781299776e8,6.404036797518522e8,1.405715e8,7.562953390813398e8,5.474446357307655e8,1.76152131147541e7,6.070133854714996e6,2.2814645752668e9,3.4300653511741424e9
cFix,7.906937978826367e9,5.5632519e8,2.1529e7,1.63228e8,6.404036797518522e8,1.405715e8,6.989109333241708e8,3.6907464942096555e8,1.76152131147541e7,6.070133854714996e6,1.8670208568407302e9,3.426188822519177e9
cVar,8.277012879812402e7,152916.5747932671,0.0,65719.3725634474,0.0,0.0,6.800271403094922e6,2.4886924996672805e7,0.0,0.0,5.040903229041914e7,455264.16058016004
cFuel,5.737898204873605e8,1.5710557496911262e6,0.0,695618.4404342892,0.0,0.0,5.058413435407412e7,1.53483061313127e8,0.0,0.0,3.640346861356505e8,3.4212644943852914e6
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
