Resource,Battery_A,Battery_B,Battery_C,Battery_D,Battery_E,Battery_F,Battery_G,Battery_H,Battery_I,Battery_J,Battery_K,Hydro_A,Hydro_B,Hydro_C,Hydro_D,Hydro_E,Hydro_F,Hydro_G,Total
Zone,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,0
AnnualSum,2.6004565477307174e7,30571.36451165555,2.7362849008581307e7,2.8906134451299995e7,1.0002236980135456e7,5.002350899742784e7,384680.28807205,402914.3098335543,376155.48454721546,4.472272804017643e7,3.166032222928887e7,8.890243605908561e7,407417.52049575705,711874.3289065105,8.270169238906481e6,2.6033926437338856e6,1.7696224517552198e6,498136.77299875236,3.2303971564706385e8
t1,606.3064111044318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3752.6800000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4358.986411104433
t2,2401.4752914877454,0.0,2334.96,0.0,0.0,0.0,0.0,0.0,0.0,3751.1789280000007,0.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,9717.614219487747
t3,4681.194701371151,0.0,4668.986016,0.0,0.0,0.0,0.0,0.0,0.0,4032.7644134388574,0.0,1965.3830645161283,0.0,0.0,0.0,0.0,134.8,0.0,15483.128195326135
t4,4679.3222234906025,0.0,7002.0784215936,0.0,0.0,0.0,0.0,0.0,0.0,6079.92067944842,0.0,3684.7661290322567,0.0,0.0,533.7980758843333,0.0,0.0,0.0,21979.885529449213
t5,4677.450494601207,0.0,6999.277590224963,0.0,0.0,0.0,0.0,0.0,0.0,6077.488711176641,0.0,5404.149193548385,0.0,0.0,909.8,0.0,0.0,0.0,24068.165989551195
t6,6708.214393586167,0.0,8814.297166467806,2357.04,0.0,757.7051762551209,0.0,0.0,0.0,6075.057715692171,0.0,7123.5322580645125,0.0,0.0,454.9,188.15,0.0,0.0,32478.896710065776
t7,8795.56889150371,0.0,10152.0,3437.8259982041213,0.0,757.4020941846189,0.0,0.0,128.8,8795.310456307572,0.0,8842.91532258064,0.0,0.0,0.0,0.0,0.0,0.0,40909.82276278066
t8,8792.050663947108,0.0,10147.939199999999,5178.972281273429,0.0,1474.1816872527522,0.0,0.0,128.74848000000003,12713.752332125048,0.0,10562.29838709677,31.9,0.0,0.0,0.0,0.0,0.0,49029.843031695105
t9,8788.53384368153,0.0,10143.88002432,5893.466150985726,0.0,2514.466410319676,0.0,0.0,128.69698060800002,16630.6268311922,0.0,12281.681451612898,0.0,0.0,739.9219241156665,0.0,0.0,37.9,57159.1736168357
t10,9672.012001861773,0.0,10152.0,5891.108764525332,0.0,3166.122783018677,0.0,0.0,128.64550181575686,16623.974580459722,0.0,14001.064516129025,0.0,0.0,1479.843848231333,188.15,0.0,75.8,61378.721996041626
t11,9668.14319706103,0.0,10147.939199999999,6769.059831736938,0.0,6715.8158093762995,0.0,0.0,128.59404361503056,16617.32499062754,0.0,15720.447580645154,0.0,0.0,1855.8457723469996,376.3,134.8,75.8,68210.070425409
t12,9664.275939782206,3.2521439877212486,10152.0,7202.338922981705,820.64,9803.135368559673,138.0,128.8,257.3426059975846,16610.67806063129,0.0,16455.83064516128,0.0,0.0,2595.767696462666,376.3,0.0,75.8,74284.16138356412
t13,9660.410229406294,3.25084313012616,10147.939199999999,7595.938529116987,820.3117440000001,12858.753790737015,186.53835629057156,128.74848000000003,386.0396689551856,16604.033789407036,0.0,18175.213709677413,0.0,0.0,3335.689620578333,188.15,0.0,37.9,80128.91796129897
t14,9656.546065314531,3.24954279287411,10143.88002432,8024.181495779313,819.9836193024,15818.491997153296,186.46374094805535,128.69698060800002,385.88525308760353,16597.392175891277,0.0,19894.596774193542,31.9,0.0,4075.6115446939984,0.0,0.0,0.0,85766.87921408488
t15,9652.683446888404,3.2482429757569604,10152.0,8550.611994934578,1300.4356908634068,17014.392646879678,186.38915545167617,257.44550181575687,385.73089898636846,17052.0,0.0,21613.97983870967,63.8,0.0,4801.191152970521,0.0,0.0,37.9,91071.80857047581
t16,9878.733643532636,12.44694367856666,10147.939199999999,9149.233843445138,2120.5555165870614,17794.794198581105,324.3145997894955,302.86631361188716,385.576606626774,17052.0,1466.1362518865105,23333.3629032258,63.8,54.7,5541.113077086187,0.0,0.0,0.0,97627.57309805116
t17,9916.0,21.641964901095232,10152.0,9757.00105926713,2940.347294380427,18169.56296186447,462.1848739495798,431.5451670864424,514.2223759841233,17045.1792,1465.5497973857562,25003.701012442554,63.8,109.4,6281.035001201853,188.15,0.0,37.9,102559.22070846343
t18,9912.0336,21.633308115134795,10152.0,10237.618202403315,2939.1711554626745,18908.0,600.0,431.37254901960785,560.0,17052.0,1464.963577466802,26521.76860240216,63.8,109.4,7020.9569253175205,376.3,0.0,75.8,106446.81792018723
t19,9916.0,30.824654791888744,10152.0,10233.523155122353,3568.0,18900.436800000003,599.76,560.0,560.0,17052.0,1464.3775920358155,27824.805385139094,63.8,109.4,7760.878849433187,376.3,134.8,37.9,109344.80643652234
t20,9912.0336,30.812324929971986,10147.939199999999,10229.429745860305,3566.5728000000004,18892.87662528,599.520096,559.7760000000001,559.7760000000001,17045.1792,1463.7918409990011,28948.099540223557,63.8,109.4,8270.998991280256,376.3,269.6,75.8,111121.70596457309
t21,9916.0,40.0,10152.0,10248.0,3568.0,18908.0,600.0,560.0,560.0,17052.0,1463.2063242626016,29520.0,63.8,109.4,8326.219133127326,376.3,269.6,75.8,111808.32545738993
t22,9912.0336,39.98400000000001,10147.939199999999,10243.900800000001,3566.5728000000004,18900.436800000003,599.76,559.7760000000001,559.7760000000001,17045.1792,3232.7010417328966,29491.63969879634,63.8,109.4,8247.321057242993,376.3,269.6,75.8,113441.92019777224
