Region,Resource,Zone,Cluster,AnnualSum
NY,Hydro_NY,1,1,0.0
NY,PumpedHydro_NY,1,1,0.0
NY,CombinedCycle_NaturalGas_NY_Existing,1,1,0.0
NY,CombinedCycle_NaturalGas_NY_New,1,1,0.0
NY,CombustionTurbine_NaturalGas_NY_Existing,1,1,0.0
NY,CombustionTurbine_NaturalGas_NY_New,1,1,0.0
NY,SteamTurbine_NaturalGas_NY_Existing,1,1,0.0
NY,SteamTurbine_NaturalGas_NY_New,1,1,0.0
NY,SteamTurbine_FuelOil6_NY_Existing,1,1,0.0
NY,SteamTurbine_FuelOil6_NY_New,1,1,0.0
NY,CombustionTurbine_FuelOil2_NY_Existing,1,1,0.0
NY,CombustionTurbine_FuelOil2_NY_New,1,1,0.0
NY,Nuclear_NY_Existing,1,1,0.0
NY,Nuclear_NY_New,1,1,0.0
NY,WindOffshore_NY_New,1,1,0.0
NY,SolarUtility_NY_Existing,1,1,0.0
NY,SolarUtility_NY_New,1,1,0.0
NY,SolarBTM_NY_New,1,1,0.0
NY,WindLand_NY_Existing,1,1,0.0
NY,WindLand_NY_New,1,1,0.0
NY,Battery_NY_Existing,1,1,238081.05559025187
NY,Battery_NY_New,1,1,0.0
