Region,Resource,Zone,Cluster,AnnualSum
NY,Hydro_NY,1,1,7.520258845638555e8
NY,PumpedHydro_NY,1,1,2.1671183788588268e8
NY,CombinedCycle_NaturalGas_NY_Existing,1,1,8.234621652893999e8
NY,CombinedCycle_NaturalGas_NY_New,1,1,0.0
NY,CombustionTurbine_NaturalGas_NY_Existing,1,1,1.1780719710467207e8
NY,CombustionTurbine_NaturalGas_NY_New,1,1,0.0
NY,SteamTurbine_NaturalGas_NY_Existing,1,1,0.0
NY,SteamTurbine_NaturalGas_NY_New,1,1,0.0
NY,SteamTurbine_FuelOil6_NY_Existing,1,1,0.0
NY,SteamTurbine_FuelOil6_NY_New,1,1,0.0
NY,CombustionTurbine_FuelOil2_NY_Existing,1,1,3.0181714893418673e7
NY,CombustionTurbine_FuelOil2_NY_New,1,1,0.0
NY,Nuclear_NY_Existing,1,1,0.0
NY,Nuclear_NY_New,1,1,0.0
NY,WindOffshore_NY_New,1,1,0.0
NY,SolarUtility_NY_Existing,1,1,3.984516560159421e7
NY,SolarUtility_NY_New,1,1,1.561756588945001e9
NY,SolarBTM_NY_New,1,1,0.0
NY,WindLand_NY_Existing,1,1,4.4861834839880866e8
NY,WindLand_NY_New,1,1,0.0
NY,Battery_NY_Existing,1,1,9.276043956093868e6
NY,Battery_NY_New,1,1,0.0
