Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
NY,Hydro_NY,1,1,1,0.0
NY,PumpedHydro_NY,1,1,2,0.0
NY,CombinedCycle_NaturalGas_NY_Existing,1,1,3,0.0
NY,CombinedCycle_NaturalGas_NY_New,1,1,4,0.0
NY,CombustionTurbine_NaturalGas_NY_Existing,1,1,5,0.0
NY,CombustionTurbine_NaturalGas_NY_New,1,1,6,0.0
NY,SteamTurbine_NaturalGas_NY_Existing,1,1,7,0.0
NY,SteamTurbine_NaturalGas_NY_New,1,1,8,0.0
NY,SteamTurbine_FuelOil6_NY_Existing,1,1,9,0.0
NY,SteamTurbine_FuelOil6_NY_New,1,1,10,0.0
NY,CombustionTurbine_FuelOil2_NY_Existing,1,1,11,0.0
NY,CombustionTurbine_FuelOil2_NY_New,1,1,12,0.0
NY,Nuclear_NY_Existing,1,1,13,0.0
NY,Nuclear_NY_New,1,1,14,0.0
NY,WindOffshore_NY_New,1,1,15,0.0
NY,SolarUtility_NY_Existing,1,1,16,0.0
NY,SolarUtility_NY_New,1,1,17,0.0
NY,SolarBTM_NY_New,1,1,18,0.0
NY,WindLand_NY_Existing,1,1,19,0.0
NY,WindLand_NY_New,1,1,20,0.0
NY,Battery_NY_Existing,1,1,21,0.0
NY,Battery_NY_New,1,1,22,0.0
