Resource,Zone,AnnualSum,Capacity,CapacityFactor
Hydro_NY,1,2.7138865617478326e7,4923.999999999999,0.6291722218237374
PumpedHydro_NY,1,8.382008480449237e6,1400.0,0.6834644879687897
CombinedCycle_NaturalGas_NY_Existing,1,5.7064615810691295e6,11277.25391080448,0.057764289078607534
CombinedCycle_NaturalGas_NY_New,1,0.0,0.0,0.0
CombustionTurbine_NaturalGas_NY_Existing,1,99888.22992046064,1966.0,0.005799982692093247
CombustionTurbine_NaturalGas_NY_New,1,0.0,0.0,0.0
SteamTurbine_NaturalGas_NY_Existing,1,0.0,0.0,0.0
SteamTurbine_NaturalGas_NY_New,1,0.0,0.0,0.0
SteamTurbine_FuelOil6_NY_Existing,1,0.0,0.0,0.0
SteamTurbine_FuelOil6_NY_New,1,0.0,0.0,0.0
CombustionTurbine_FuelOil2_NY_Existing,1,6047.262174803712,526.9,0.0013101665065164713
CombustionTurbine_FuelOil2_NY_New,1,0.0,0.0,0.0
Nuclear_NY_Existing,1,0.0,0.0,0.0
Nuclear_NY_New,1,0.0,0.0,0.0
WindOffshore_NY_New,1,0.0,0.0,0.0
SolarUtility_NY_Existing,1,2.2268417303182976e6,254.4,0.9992361516390511
SolarUtility_NY_New,1,8.720748751746763e7,9971.369681338845,0.998377650927054
SolarBTM_NY_New,1,0.0,0.0,0.0
WindLand_NY_Existing,1,2.5065664393563278e7,2864.3,0.9989795810065588
WindLand_NY_New,1,0.0,0.0,0.0
Battery_NY_Existing,1,96737.0667310863,105.0,0.0
Battery_NY_New,1,0.0,0.0,0.0
