Resource,Hydro_NY,PumpedHydro_NY,CombinedCycle_NaturalGas_NY_Existing,CombinedCycle_NaturalGas_NY_New,CombustionTurbine_NaturalGas_NY_Existing,CombustionTurbine_NaturalGas_NY_New,SteamTurbine_NaturalGas_NY_Existing,SteamTurbine_NaturalGas_NY_New,SteamTurbine_FuelOil6_NY_Existing,SteamTurbine_FuelOil6_NY_New,CombustionTurbine_FuelOil2_NY_Existing,CombustionTurbine_FuelOil2_NY_New,Nuclear_NY_Existing,Nuclear_NY_New,WindOffshore_NY_New,SolarUtility_NY_Existing,SolarUtility_NY_New,SolarBTM_NY_New,WindLand_NY_Existing,WindLand_NY_New,Battery_NY_Existing,Battery_NY_New,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,3.815048760513989e7,1.0847011098130817e7,8.855353198016247e7,0.0,3.884830537189925e6,5.810414526405622e6,0.0,0.0,0.0,0.0,24713.023762139306,37390.25471266793,0.0,0.0,0.0,246850.71500647318,0.0,0.0,8.265368664350663e6,0.0,64779.8949064235,0.0,1.558853782997671e8
t1,4923.999999999999,1400.0,6665.901292068408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062.898707931591,0.0,0.0,0.0,15052.8
t2,4923.999999999999,1400.0,6109.859485999719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.1405140002814,0.0,0.0,0.0,14480.999999999998
t3,4923.999999999999,1400.0,5563.866598747829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.2334012521708,0.0,0.0,0.0,13927.099999999999
t4,4923.999999999999,1400.0,5229.500414539436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0995854605649,0.0,0.0,0.0,13565.599999999999
t5,4923.999999999999,1400.0,5170.668125263317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1858.5318747366841,0.0,0.0,0.0,13353.2
t6,4923.999999999999,1400.0,5175.491383082514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.4086169174861,0.0,0.0,0.0,13474.9
t7,4923.999999999999,1400.0,5495.2282377335305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.7717622664704,0.0,0.0,0.0,13846.0
t8,4923.999999999999,1400.0,5812.925403201759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062.1745967982424,0.0,0.0,0.0,14199.1
t9,4923.999999999999,1400.0,6188.859090218058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.770359855973542,0.0,0.0,2041.8705499259686,0.0,0.0,0.0,14569.499999999998
