BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.5583326481243563e8,96737.0667310863,-114570.13027024803,0.0,0.0,0.0,2867.351102669294,0.0,0.0,-1.5581829909999925e8
t1,15052.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15052.8
t2,14481.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14481.0
t3,13927.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13927.099999999999
t4,13565.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13565.6
t5,13353.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13353.2
t6,13474.899999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13474.9
t7,13846.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13846.0
t8,14199.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14199.1
t9,14569.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14569.5
t10,15172.099999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15172.1
t11,15795.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15795.5
t12,16201.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16201.5
t13,16280.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16280.6
t14,16245.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16245.2
t15,16419.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16419.7
t16,16771.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16771.6
t17,17713.399999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17713.399999999998
t18,18830.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18830.0
t19,18788.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18788.2
t20,18507.600000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18507.600000000002
t21,18069.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18069.5
t22,17387.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17387.5
t23,16399.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16399.2
t24,15459.699999999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15459.699999999999
t25,14780.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14780.5
t26,14410.399999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14410.4
t27,14206.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14206.5
t28,14214.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14214.7
t29,14547.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14547.3
t30,15508.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15508.6
t31,17188.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17188.8
t32,18528.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18528.2
t33,18925.4,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18925.4
t34,19077.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19077.1
t35,19017.9,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19017.9
t36,18895.532568697232,0.0,-36.832568697232496,0.0,0.0,0.0,0.0,0.0,0.0,-18858.7
t37,18837.7,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18732.7
t38,19002.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-18897.0
t39,19174.600000000002,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19069.600000000002
t40,19434.5,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,-19329.5
t41,20044.106728100855,70.99327189914358,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20115.1
t42,21004.3,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21109.3
t43,20857.7,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20962.7
t44,20413.0,105.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20518.0
t45,19859.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19859.0
t46,18942.100000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18942.100000000002
t47,17616.3,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17616.3
t48,16315.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16315.6
t49,15368.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15368.6
t50,14858.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14858.0
t51,14574.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14574.8
t52,14452.8,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14452.8
t53,14642.599999999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14642.6
t54,15481.699999999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15481.699999999999
t55,17057.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17057.1
t56,18332.699999999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18332.699999999997
t57,18754.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18754.7
t58,18975.100000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18975.100000000002
t59,19141.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19141.6
