Resource,Battery_NY_Existing,Battery_NY_New,Hydro_NY,PumpedHydro_NY,Total
Zone,1,1,1,1,0
AnnualSum,638835.6784000634,0.0,7.925020859579769e7,2.012444374279578e7,1.0001348801699354e8
t1,0.0,0.0,39.18562944006953,1351.7446892210858,1390.9303186611553
t2,0.0,0.0,0.0,837.0303186611545,837.0303186611545
t3,0.0,0.0,338.5,137.03031866115452,475.5303186611545
t4,0.0,0.0,0.0,263.1303186611567,263.1303186611567
t5,0.0,0.0,328.8999999999978,55.93031866115598,384.8303186611538
t6,0.0,0.0,0.0,755.930318661156,755.930318661156
t7,0.0,0.0,0.0,1205.540940218983,1205.540940218983
t8,0.0,0.0,79.43031866115598,1448.2553107789142,1527.6856294400702
t9,0.0,0.0,682.0303186611545,1400.0,2082.0303186611545
t10,0.0,0.0,1353.6856294400695,1351.7446892210858,2705.430318661155
t11,0.0,0.0,1759.6856294400695,1351.7446892210858,3111.430318661155
t12,0.0,0.0,2490.5303186611545,700.0,3190.5303186611545
t13,0.0,0.0,3155.1303186611567,0.0,3155.1303186611567
t14,0.0,0.0,2629.6303186611567,748.2553107789142,3377.885629440071
t15,0.0,0.0,2281.5303186611545,1400.0,3681.5303186611545
t16,0.0,0.0,4112.522719659015,748.2553107789142,4860.778030437929
t17,0.0,0.0,4437.754174549544,1400.0,5837.754174549544
t18,0.0,0.0,4346.38562944007,1351.7446892210858,5698.130318661156
t19,0.0,0.0,4248.561773551683,1217.2238558883898,5465.785629440073
t20,0.0,0.0,3579.430318661156,1400.0,4979.430318661156
t21,0.0,0.0,3042.1962509978966,1351.7446892210858,4393.940940218982
t22,0.0,0.0,1909.1303186611567,1448.2553107789142,3357.385629440071
t23,0.0,0.0,969.6303186611531,1400.0,2369.630318661153
t24,0.0,0.0,338.68562944006953,1351.7446892210858,1690.4303186611553
t25,0.0,0.0,668.5856294400674,651.7446892210858,1320.3303186611531
t26,0.0,0.0,1116.430318661156,0.0,1116.430318661156
t27,0.0,0.0,859.8000000000011,264.8303186611556,1124.6303186611567
t28,0.0,0.0,2341.6805493587985,964.8303186611556,3306.510868019954
t29,0.0,0.0,6097.842322910481,748.2553107789142,6846.0976336893955
t30,0.0,0.0,8627.873777801009,1400.0,10027.873777801009
t31,0.0,0.0,10177.705232691536,1351.7446892210858,11529.449921912623
t32,0.0,0.0,10291.626066024235,1400.0,11691.626066024235
t33,0.0,0.0,10104.85752091476,1351.7446892210858,11456.602210135847
t34,0.0,0.0,9429.419294466445,1640.459059781017,11069.878354247461
t35,0.0,0.0,9150.15074935697,1592.2037490021028,10742.354498359073
t36,33.8859632014539,0.0,8993.249635550264,1543.9484382231885,10571.084036974906
t37,130.47240881617336,0.0,8894.18109044079,1495.6931274442743,10520.346626701237
t38,227.02021985264687,0.0,8388.718497323192,1689.5318646734854,10305.270581849325
t39,323.52941176470586,0.0,7952.749952213717,1641.2765538945712,9917.555917872995
t40,420.0,0.0,7537.920387835138,1593.021243115657,9550.941630950794
