Time_Index,BIT,UM,None,NG,DFO
0,2.37,86.0,0,5.28,6
1,2.37,86.0,0,5.28,6
2,2.37,86.0,0,5.28,6
3,2.37,86.0,0,5.28,6
4,2.37,86.0,0,5.28,6
5,2.37,86.0,0,5.28,6
6,2.37,86.0,0,5.28,6
7,2.37,86.0,0,5.28,6
8,2.37,86.0,0,5.28,6
9,2.37,86.0,0,5.28,6
10,2.37,86.0,0,5.28,6
11,2.37,86.0,0,5.28,6
12,2.37,86.0,0,5.28,6
13,2.37,86.0,0,5.28,6
14,2.37,86.0,0,5.28,6
15,2.37,86.0,0,5.28,6
16,2.37,86.0,0,5.28,6
17,2.37,86.0,0,5.28,6
18,2.37,86.0,0,5.28,6
19,2.37,86.0,0,5.28,6
20,2.37,86.0,0,5.28,6
21,2.37,86.0,0,5.28,6
22,2.37,86.0,0,5.28,6
23,2.37,86.0,0,5.28,6
24,2.37,86.0,0,5.28,6
25,2.37,86.0,0,5.28,6
26,2.37,86.0,0,5.28,6
27,2.37,86.0,0,5.28,6
28,2.37,86.0,0,5.28,6
29,2.37,86.0,0,5.28,6
30,2.37,86.0,0,5.28,6
31,2.37,86.0,0,5.28,6
32,2.37,86.0,0,5.28,6
33,2.37,86.0,0,5.28,6
34,2.37,86.0,0,5.28,6
35,2.37,86.0,0,5.28,6
36,2.37,86.0,0,5.28,6
37,2.37,86.0,0,5.28,6
38,2.37,86.0,0,5.28,6
39,2.37,86.0,0,5.28,6
40,2.37,86.0,0,5.28,6
41,2.37,86.0,0,5.28,6
42,2.37,86.0,0,5.28,6
43,2.37,86.0,0,5.28,6
44,2.37,86.0,0,5.28,6
45,2.37,86.0,0,5.28,6
46,2.37,86.0,0,5.28,6
47,2.37,86.0,0,5.28,6
48,2.37,86.0,0,5.28,6
49,2.37,86.0,0,5.28,6
50,2.37,86.0,0,5.28,6
51,2.37,86.0,0,5.28,6
52,2.37,86.0,0,5.28,6
53,2.37,86.0,0,5.28,6
54,2.37,86.0,0,5.28,6
55,2.37,86.0,0,5.28,6
56,2.37,86.0,0,5.28,6
57,2.37,86.0,0,5.28,6
58,2.37,86.0,0,5.28,6
59,2.37,86.0,0,5.28,6
60,2.37,86.0,0,5.28,6
61,2.37,86.0,0,5.28,6
62,2.37,86.0,0,5.28,6
63,2.37,86.0,0,5.28,6
64,2.37,86.0,0,5.28,6
65,2.37,86.0,0,5.28,6
66,2.37,86.0,0,5.28,6
67,2.37,86.0,0,5.28,6
68,2.37,86.0,0,5.28,6
69,2.37,86.0,0,5.28,6
70,2.37,86.0,0,5.28,6
71,2.37,86.0,0,5.28,6
72,2.37,86.0,0,5.28,6
73,2.37,86.0,0,5.28,6
74,2.37,86.0,0,5.28,6
75,2.37,86.0,0,5.28,6
76,2.37,86.0,0,5.28,6
77,2.37,86.0,0,5.28,6
78,2.37,86.0,0,5.28,6
79,2.37,86.0,0,5.28,6
