Resource,CEM,PF,DLAC-p,DLAC-i,SLAC,Case
NG CC,-1.9808290603592032e-14,3.8890965473593524,-11.808142529517115,22.950153132952984,-32.43895750072417,Thermal_Base
NG CT,4.491870556594662e-15,3.5476853204709338,2.0111659360591543,26.779041559396116,-0.7409236001005794,Thermal_Base
Wind,2.136036502809576e-13,-1.6884695618006824,-5.190146970071854,-1.8176735562294761,-29.2043572567816,Thermal_Base
Solar,1.3550004385420843e-14,-0.04873940007170983,-3.3994138022337057,2.5277795132003194,-9.961166910577896,Thermal_Base
NG CC,-6.521138018314951e-13,1.483782974625613,-4.586540986115559,-13.361699382812114,-17.748828722230783,2_Hr_BESS
NG CT,1.100331753381848e-14,0.42055026420437425,-2.4207594308685665,-18.01026308678085,-18.88851016326108,2_Hr_BESS
Wind,1.9790596700621033e-13,-1.598977377769442,-1.694381396865803,-1.9569265086518801,-10.869243094911763,2_Hr_BESS
Solar,-2.4418699477208886e-13,2.090002482100364,-1.1649768979018642,-5.958751619948747,-5.255927248027892,2_Hr_BESS
BESS,-1.484615591071832e-13,22.316312755629355,-14.346343457916582,-3.9368124409644727,3.7364644861532876,2_Hr_BESS
NG CC,-3.3840981235321327e-13,36.230701509038674,-21.725120498274435,-21.915217366072582,-19.408913281979554,2_Hr_BESS_Fuelx2
NG CT,-2.4166855915671483e-14,41.652984804068126,-24.759949875473882,-27.294542768060765,-24.67058246976025,2_Hr_BESS_Fuelx2
Wind,-3.1158194340339106e-13,8.908990433772185,-4.816092671589864,-3.64020489315899,-4.291906647387039,2_Hr_BESS_Fuelx2
Solar,-1.51199363043096e-13,7.330780695146514,-0.8758378808840586,2.101989186840369,0.05149567793599026,2_Hr_BESS_Fuelx2
BESS,1.7355130132770732e-13,21.95092128079021,-6.825995408651699,-15.570334756603883,-10.846823333353646,2_Hr_BESS_Fuelx2
NG CC,-8.950578696682418e-13,8.583443048984446,4.202465316356295,-6.741768597927955,-8.543528474084223,4_Hr_BESS
NG CT,4.800273227223254e-14,9.442250423596434,6.8255561649393055,-9.449584933856178,-11.429490429523035,4_Hr_BESS
Wind,2.599930415214367e-13,0.09903135111667474,-0.508478585611576,-3.1908524464363373,-8.101604911012867,4_Hr_BESS
Solar,2.036421831200064e-14,3.59239696020694,0.441282075504469,-1.108210662754176,1.2689466504806,4_Hr_BESS
BESS,-5.459144055273899e-14,13.88960917644435,-0.6747372202530342,-13.119592944073824,-1.7621238097903933,4_Hr_BESS
NG CC,-1.5366688165674972e-12,38.076276075838166,-6.4923005573098145,-21.379980302270283,-17.429606913973192,4_Hr_BESS_Fuelx2
NG CT,-5.825130792724304e-14,44.17592229514931,-7.8007543211548,-28.331393479307433,-23.664988567543404,4_Hr_BESS_Fuelx2
Wind,-7.949717871192064e-14,10.02046011019096,-0.8189647989541889,-0.8361631780414787,-0.8041299411127852,4_Hr_BESS_Fuelx2
Solar,-3.5635815153828856e-13,5.386698130285422,-0.6063116867048929,3.4920916340565427,2.105320923132133,4_Hr_BESS_Fuelx2
BESS,1.5792230554009626e-13,30.441399365834027,-8.121266425723297,-11.378068128092789,-9.635594875008513,4_Hr_BESS_Fuelx2
NG CC,-6.703814706384807e-13,0.8791225444453901,-7.950326810705343,-26.582475755214794,-34.60422491129652,4_Hr_BESS_Fuelx3
NG CT,1.9585292486993364e-13,3.724348199860208,-6.270999600788474,-31.18980144739907,-42.504937309995526,4_Hr_BESS_Fuelx3
Wind,-3.386363128226032e-13,2.1633331944667873,-0.06693260904423835,4.965712292851693,-0.5841433772117637,4_Hr_BESS_Fuelx3
Solar,-1.9221157682587877e-13,-0.001762827520079387,-3.488565326903994,-0.6335855015836752,-1.6778824682415803,4_Hr_BESS_Fuelx3
BESS,2.0040251223711206e-13,6.1639327926454275,-1.0249762768755368,2.2266921257356476,-15.224963030536326,4_Hr_BESS_Fuelx3
NG CC,-1.5893904638654137e-12,3.3129590637249433,-9.535550473933313,-15.85190862601064,-22.378640798402692,4_Hr_BESS_Fuelx4
NG CT,-7.700785495750266e-15,6.720532620554252,-6.75101663090007,-16.891699900570632,-29.255649728632292,4_Hr_BESS_Fuelx4
Wind,-4.1618888601673194e-14,3.3258319643174468,8.853292911223832,22.292563568184892,14.824033749267809,4_Hr_BESS_Fuelx4
Solar,9.993409020876263e-14,-0.12597748141788428,4.799543989338821,9.695807048278134,6.960034429358397,4_Hr_BESS_Fuelx4
BESS,9.169628488650071e-14,10.003559068279042,-7.311402175889875,13.91637733432345,-6.09870832421925,4_Hr_BESS_Fuelx4
NG CC,1.0776546242627973e-12,19.150632890114956,6.199938672195062,-10.513349325024826,-9.252531293073055,6_Hr_BESS
NG CT,-1.4820659098980052e-14,21.550045262529572,9.309746210576565,-13.817816711061251,-10.843475898954548,6_Hr_BESS
Wind,2.999302080133133e-14,2.267913757340144,-1.3021846175692744,-3.735617274514009,-10.061985151115934,6_Hr_BESS
Solar,1.132799442462946e-14,6.036961882193401,2.5023984603515816,2.8947971842366105,2.296397740157171,6_Hr_BESS
BESS,1.7353380069939228e-13,25.906487007413624,-0.1541137781451383,-10.34248227567794,6.854114026825667,6_Hr_BESS
NG CC,-2.316558220981876e-12,3.114343222957463,-10.007970045763813,-22.26900150661536,-20.024267686906512,6_Hr_BESS_Fuelx2
NG CT,-1.3572625369163213e-13,4.380682378670887,-11.787612431865364,-30.50310035714211,-26.904890346996417,6_Hr_BESS_Fuelx2
Wind,0.0,1.450054964180345,-2.60171815633722,0.14929766390501029,-0.6575920149193535,6_Hr_BESS_Fuelx2
Solar,-4.625498766446653e-13,1.266100495945922,-0.8989359082248716,1.5730776836831297,-0.5695344460484202,6_Hr_BESS_Fuelx2
BESS,9.769650478371419e-14,8.388116752018163,-12.08230934990585,-9.067176880542556,-1.7705807729764798,6_Hr_BESS_Fuelx2
NG CC,-1.978872409198143e-12,39.34342516655453,-6.927188811791013,-4.358704363112956,-7.501347394440443,8_Hr_BESS
NG CT,3.953438506108199e-14,44.9668645054957,-5.681400700472924,-5.848809946868835,-6.749421284109941,8_Hr_BESS
Wind,2.087870075011866e-13,6.19861731352279,-4.092999400593682,-2.2715397521635246,-10.186457114053255,8_Hr_BESS
Solar,7.151499333414558e-14,8.226728342684844,-0.4479159667794226,4.6029178531398705,3.5994116510809984,8_Hr_BESS
BESS,-8.482043800584836e-14,38.16665512978064,-1.4848724327116016,5.69363503654383,22.473881421561902,8_Hr_BESS
NG CC,2.0657386323662365e-12,5.7039175073182,4.689157760814125,-37.07884201473213,-32.514754948161496,8_Hr_BESS_Fuelx2
NG CT,-5.01850673923115e-14,6.387955034866817,6.029907927976199,-48.64506186511632,-42.1461843192715,8_Hr_BESS_Fuelx2
Wind,2.571849153475875e-13,2.2743186442703305,0.4948302218824969,-3.7467340618451543,-5.534388756358629,8_Hr_BESS_Fuelx2
Solar,-3.190952736448503e-13,0.32285983093624704,1.9861131818469873,2.4257130018104824,-1.710848573324211,8_Hr_BESS_Fuelx2
BESS,-1.224003699757263e-13,15.096508901848122,-0.46359403330143445,-20.757999008787003,-10.881274362821786,8_Hr_BESS_Fuelx2
