Resource,dlac-p,dlac-i,slac,Case
NG CC,-18.28,18.59,-63.34,Thermal_Base
NG CT,-0.8,27.31,-16.17,Thermal_Base
Wind,-6.29,-2.17,-32.45,Thermal_Base
Solar,-3.35,-2.95,-37.95,Thermal_Base
BESS,,,,Thermal_Base
NG CC,12.22,47.82,33.38,2_Hr_BESS
NG CT,20.75,55.36,43.4,2_Hr_BESS
Wind,3.5,11.51,0.16,2_Hr_BESS
Solar,-3.19,1.47,0.24,2_Hr_BESS
BESS,-20.78,18.8,32.95,2_Hr_BESS
NG CC,-23.98,44.2,32.64,2_Hr_BESS_Fuelx2
NG CT,-29.61,45.93,34.13,2_Hr_BESS_Fuelx2
Wind,3.07,17.24,14.41,2_Hr_BESS_Fuelx2
Solar,-4.22,6.28,2.92,2_Hr_BESS_Fuelx2
BESS,-10.84,11.68,10.94,2_Hr_BESS_Fuelx2
NG CC,16.14,54.08,44.11,4_Hr_BESS
NG CT,22.16,62.79,51.76,4_Hr_BESS
Wind,6.62,13.34,7.48,4_Hr_BESS
Solar,-2.43,6.0,6.85,4_Hr_BESS
BESS,1.64,32.87,37.1,4_Hr_BESS
NG CC,-20.7,44.88,45.08,4_Hr_BESS_Fuelx2
NG CT,-27.18,45.39,45.79,4_Hr_BESS_Fuelx2
Wind,6.21,21.89,21.55,4_Hr_BESS_Fuelx2
Solar,1.48,12.72,8.85,4_Hr_BESS_Fuelx2
BESS,-19.99,21.84,27.21,4_Hr_BESS_Fuelx2
NG CC,-0.52,62.17,33.48,4_Hr_BESS_Fuelx3
NG CT,-3.52,63.52,30.61,4_Hr_BESS_Fuelx3
Wind,13.9,37.84,26.74,4_Hr_BESS_Fuelx3
Solar,6.96,20.18,14.5,4_Hr_BESS_Fuelx3
BESS,5.55,53.33,24.53,4_Hr_BESS_Fuelx3
NG CC,-2.23,76.64,42.99,4_Hr_BESS_Fuelx4
NG CT,-6.95,78.31,37.65,4_Hr_BESS_Fuelx4
Wind,19.25,50.23,35.42,4_Hr_BESS_Fuelx4
Solar,12.08,26.47,19.6,4_Hr_BESS_Fuelx4
BESS,1.13,66.72,31.27,4_Hr_BESS_Fuelx4
NG CC,7.5,50.2,40.98,6_Hr_BESS
NG CT,12.48,58.43,50.13,6_Hr_BESS
Wind,4.34,13.71,5.32,6_Hr_BESS
Solar,-2.15,8.45,5.24,6_Hr_BESS
BESS,-9.01,28.07,36.39,6_Hr_BESS
NG CC,-5.6,44.42,43.37,6_Hr_BESS_Fuelx2
NG CT,-10.37,43.32,42.64,6_Hr_BESS_Fuelx2
Wind,8.77,22.28,21.08,6_Hr_BESS_Fuelx2
Solar,4.93,14.93,9.42,6_Hr_BESS_Fuelx2
BESS,-17.06,15.43,26.37,6_Hr_BESS_Fuelx2
NG CC,-22.07,56.46,37.02,8_Hr_BESS
NG CT,-20.91,66.31,47.45,8_Hr_BESS
Wind,-0.95,15.87,4.93,8_Hr_BESS
Solar,-8.69,8.67,0.97,8_Hr_BESS
BESS,-17.0,39.44,43.37,8_Hr_BESS
NG CC,6.27,47.29,27.72,8_Hr_BESS_Fuelx2
NG CT,5.54,46.24,23.62,8_Hr_BESS_Fuelx2
Wind,13.13,24.37,18.21,8_Hr_BESS_Fuelx2
Solar,12.28,19.01,12.82,8_Hr_BESS_Fuelx2
BESS,-12.24,21.59,15.21,8_Hr_BESS_Fuelx2
NG CC,-16.64,52.33,39.79,10_Hr_BESS
NG CT,-15.51,59.38,50.65,10_Hr_BESS
Wind,0.24,15.52,6.58,10_Hr_BESS
Solar,-3.74,10.73,2.28,10_Hr_BESS
BESS,-16.99,34.6,40.95,10_Hr_BESS
NG CC,5.31,48.96,22.89,10_Hr_BESS_Fuelx2
NG CT,5.43,48.33,20.78,10_Hr_BESS_Fuelx2
Wind,13.16,25.28,16.32,10_Hr_BESS_Fuelx2
Solar,13.23,21.69,11.48,10_Hr_BESS_Fuelx2
BESS,-17.22,21.65,10.6,10_Hr_BESS_Fuelx2
