,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,171.0814334599645,178.51547315028276,178.05627844445874,208.05360678830598,172.05531617089406
2_Hr_BESS,273.5134440316699,274.9381175877092,270.5676643501888,248.36894618948193,244.99975704955213
2_Hr_BESS_Fuelx2,251.7618826023865,332.2135509899361,228.7865654158661,236.22030809552564,229.13683749869
4_Hr_BESS,270.66079345939056,293.8801041674501,290.9994408219077,266.10232604035525,259.55657387801966
4_Hr_BESS_Fuelx2,236.9789365158978,337.1655296811168,254.03368575601013,234.80250039994536,231.27619233015614
4_Hr_BESS_Fuelx3,271.0682957968997,275.615274390722,257.5396138437554,232.09425154587993,199.36147718734676
4_Hr_BESS_Fuelx4,285.73886180642535,289.6378185523878,264.74834344092363,267.80864447820096,231.08877633514737
6_Hr_BESS,252.5618766707587,299.87990317658193,279.55326667145926,257.84346442129106,259.25183797123384
6_Hr_BESS_Fuelx2,261.77053927033086,272.3990968203391,239.898752503139,229.4650278958938,224.93740087619918
8_Hr_BESS,246.88011688861016,333.68168206327874,244.77263058482527,273.66083222242514,263.8834671067604
8_Hr_BESS_Fuelx2,273.7617375158901,277.3538593753432,277.1273579845504,186.7859522931363,188.0985160718207
10_Hr_BESS,233.0714467564548,283.95350051212307,213.62887208828502,250.5885060154911,246.2480575056467
10_Hr_BESS_Fuelx2,277.14768869296284,280.1484380434735,279.7939212027073,204.48744015759107,199.8389822227547
